Date,TTE.PA,SGO.PA,ORA.PA,DSY.PA,GLE.PA,ENGI.PA,SU.PA,MC.PA,EL.PA,AI.PA,ACA.PA,RI.PA,CS.PA,SAF.PA,PUB.PA,SAN.PA,DG.PA,CAP.PA,AIR.PA,BNP.PA,STMPA.PA,KER.PA,OR.PA,LR.PA,BN.PA,STLAP.PA,ML.PA,VIE.PA,RMS.PA,HO.PA
2014-01-02,43.75,38.94,8.727,9.011,41.52,16.715,62.26,131.25,74.692,61.053,8.902,81.34,19.715,50.29,67.12,74.811,47.375,48.62,56.55,55.54,5.74,142.995,125.6,39.76,51.46,6.527,19.02,11.146,261.8,46.915
2014-01-03,43.88,39.13,8.839,9.025,41.325,16.745,62.31,131.0,75.22,61.416,8.828,81.72,19.79,51.2,66.6,75.846,47.67,49.105,56.4,55.68,5.786,142.391,126.55,39.64,51.68,6.413,19.005,11.208,262.85,47.665
2014-01-06,43.5,38.945,8.874,8.998,41.71,16.545,62.59,128.55,75.964,60.176,8.956,80.43,19.75,51.59,65.15,75.945,47.745,49.85,55.43,55.77,5.758,140.811,125.4,39.475,51.18,6.479,18.885,11.281,257.65,47.325
2014-01-07,43.97,39.14,9.124,8.956,43.39,16.75,61.9,127.65,76.424,59.239,9.5,79.77,20.25,51.36,65.56,75.856,48.2,49.785,55.91,57.37,5.672,140.346,126.1,38.91,51.82,6.413,18.875,11.411,253.95,47.21
2014-01-08,43.545,39.08,9.14,8.957,44.68,16.85,61.57,125.8,79.526,59.735,9.607,80.01,20.39,51.13,65.02,74.921,48.735,50.74,55.35,58.19,5.594,138.673,123.75,38.935,51.17,6.261,19.225,11.464,251.15,46.97
2014-01-09,43.345,39.165,9.183,8.739,44.57,16.72,61.71,122.95,80.524,59.402,9.54,80.06,20.18,51.1,65.86,74.036,47.965,49.8,54.71,57.22,5.443,133.143,122.15,38.9,50.8,6.413,19.375,11.372,252.55,47.145
2014-01-10,43.585,40.365,9.469,8.741,44.0,16.775,62.89,125.8,80.69,59.838,9.574,79.66,20.225,51.5,66.16,73.608,48.055,50.91,55.28,57.36,5.585,135.327,123.45,38.445,51.27,6.384,19.462,11.478,249.5,47.725
2014-01-13,43.055,41.13,9.526,8.631,44.945,16.77,63.25,126.35,79.653,59.614,9.822,81.51,20.15,51.53,65.13,72.802,48.2,51.55,55.78,57.95,5.763,135.095,122.85,38.55,51.32,6.489,19.692,11.845,247.25,47.195
2014-01-14,43.67,41.07,9.533,8.672,44.61,16.885,63.13,126.25,79.536,59.305,9.875,81.12,20.095,52.46,65.75,73.737,47.605,51.49,56.1,57.74,5.827,135.838,122.45,38.32,51.61,6.441,19.782,11.97,245.05,47.6
2014-01-15,43.905,41.5,9.685,8.707,46.23,17.15,64.04,128.7,80.191,59.523,10.207,80.76,20.5,53.61,67.69,74.513,48.81,51.71,56.64,59.56,5.93,139.463,122.6,39.025,51.72,6.584,20.042,11.97,245.85,48.45
2014-01-16,43.7,41.12,9.625,8.691,45.19,17.01,65.0,126.65,79.546,59.511,10.121,82.54,20.15,53.25,67.49,74.612,49.125,50.78,56.99,58.5,5.896,140.625,125.75,40.91,51.12,6.802,20.028,11.753,242.85,48.41
2014-01-17,44.105,41.02,9.671,8.716,44.85,17.345,65.35,126.7,77.677,59.735,9.957,82.2,20.14,53.39,67.55,75.11,48.745,51.77,57.03,57.72,5.732,141.461,125.15,41.15,50.69,7.02,20.3,11.753,244.0,48.95
2014-01-20,44.385,40.895,9.696,8.79,44.4,17.435,65.61,127.5,77.579,59.62,9.88,81.28,19.885,53.45,67.09,75.07,49.005,51.5,57.01,57.61,5.767,141.601,124.3,41.15,51.06,6.878,20.222,11.724,247.15,48.93
2014-01-21,44.155,40.77,9.481,8.775,44.55,17.055,65.21,129.0,78.489,59.704,9.817,84.25,19.93,53.73,67.44,75.239,48.71,52.1,57.0,58.7,5.76,141.787,125.65,40.6,52.11,7.134,20.36,11.695,246.15,49.225
2014-01-22,44.295,40.565,9.361,8.825,44.63,17.0,64.12,127.95,78.782,59.559,9.764,84.56,19.88,54.18,67.0,75.488,48.71,53.1,57.1,58.78,5.871,142.437,127.75,39.99,52.98,7.001,20.045,11.922,245.65,49.08
2014-01-23,43.92,40.0,9.42,8.86,44.48,16.95,62.6,125.45,77.921,59.13,9.813,84.45,19.46,53.54,66.1,74.772,48.405,52.62,54.9,58.48,5.767,140.532,127.1,39.465,52.22,7.21,19.8,11.864,244.45,48.8
2014-01-24,42.88,39.09,9.178,8.67,42.8,16.575,60.71,124.2,75.945,57.467,9.63,84.5,18.73,52.25,64.81,71.639,47.775,51.08,52.78,56.67,5.633,138.487,124.9,39.605,50.81,7.058,19.405,11.57,240.75,47.62
2014-01-27,42.375,38.805,9.07,8.687,42.815,16.38,60.17,123.25,75.064,57.176,9.607,82.84,18.72,52.28,64.41,71.838,48.2,51.04,52.76,57.0,5.651,135.095,123.1,39.465,50.86,6.916,19.375,11.353,233.6,47.615
2014-01-28,42.745,39.38,9.035,8.646,43.425,16.375,60.8,124.1,75.455,56.953,9.827,82.2,19.465,53.6,65.67,71.818,49.355,51.3,54.83,58.22,5.812,136.21,123.3,39.585,50.26,7.115,19.675,11.368,235.05,47.85
2014-01-29,42.36,38.895,9.037,8.83,43.235,16.255,60.25,123.35,74.702,56.759,9.683,82.94,19.13,52.99,65.41,71.012,48.76,51.3,53.56,58.0,5.855,136.303,121.7,39.34,49.66,6.83,19.675,11.266,234.0,47.78
2014-01-30,42.885,38.87,9.173,8.893,42.93,16.515,60.16,122.5,73.821,56.59,9.745,79.5,19.65,52.93,66.29,72.981,48.955,51.36,53.2,58.28,6.105,134.63,121.1,39.375,49.435,7.049,19.708,11.435,226.9,48.35
2014-01-31,42.34,38.965,9.176,8.791,42.08,16.385,59.89,132.15,72.931,56.366,9.617,79.64,19.5,52.76,65.78,72.404,48.565,50.57,52.61,57.45,6.087,137.604,122.0,39.385,49.005,6.944,19.58,11.242,236.25,48.325
2014-02-03,41.765,37.97,8.94,8.755,40.98,16.345,58.9,129.6,73.704,56.179,9.335,79.7,18.73,52.78,65.04,71.977,47.475,50.58,51.98,55.75,5.936,137.0,121.8,39.16,49.325,6.811,19.407,11.286,237.45,47.99
2014-02-04,41.635,38.58,8.885,8.806,42.225,16.33,59.07,130.15,73.048,56.366,9.581,79.36,18.94,52.14,64.51,71.161,48.205,50.78,52.16,56.81,5.987,135.699,120.75,38.855,48.7,6.84,19.395,11.31,235.5,47.425
2014-02-05,41.88,38.37,8.86,8.707,42.62,16.525,59.16,130.35,73.665,56.554,9.697,79.87,18.755,52.25,65.07,70.913,47.97,50.64,51.12,57.4,5.967,135.466,120.85,38.575,48.825,6.773,19.288,11.397,235.45,46.68
2014-02-06,42.685,39.515,9.046,8.072,43.56,16.775,60.4,133.7,73.831,57.261,9.88,81.58,19.175,52.9,66.22,69.023,50.6,52.06,52.2,58.73,6.038,137.418,123.5,39.01,49.825,6.735,19.75,11.474,239.75,47.845
2014-02-07,43.175,40.36,9.155,8.034,43.895,16.985,60.83,134.2,74.516,58.362,9.952,81.91,19.405,53.72,66.88,70.346,51.06,52.2,52.51,59.51,6.038,137.093,123.5,39.72,49.6,6.735,19.972,11.464,241.0,48.465
2014-02-10,42.945,39.74,9.037,8.007,43.925,16.95,60.8,133.5,75.123,59.112,9.899,82.88,19.395,53.27,66.81,71.599,50.74,52.67,52.45,59.01,6.151,138.673,129.0,39.99,50.03,6.84,20.25,11.56,241.0,48.08
2014-02-11,43.585,40.33,9.11,8.193,44.265,17.005,62.31,134.5,75.387,59.632,10.0,83.03,19.72,53.95,67.55,71.649,51.97,53.32,53.6,60.34,6.17,144.993,124.8,40.675,50.3,6.859,20.917,11.715,242.55,48.455
2014-02-12,44.0,40.995,9.121,8.284,46.35,17.06,62.59,133.85,74.369,59.65,10.164,83.22,19.82,53.66,65.74,72.186,51.99,53.74,53.24,60.85,6.163,143.227,123.05,40.69,50.04,6.925,21.78,11.7,240.65,49.04
2014-02-13,44.0,41.01,9.192,8.308,46.77,17.175,62.79,133.4,75.191,60.188,10.198,84.87,19.95,53.59,66.8,71.937,52.23,54.25,52.13,59.3,6.122,141.787,123.45,42.525,50.44,6.935,21.77,11.618,241.4,48.745
2014-02-14,44.44,40.87,9.231,8.397,47.2,17.43,63.05,134.8,75.445,60.479,10.318,84.12,20.09,54.41,68.17,72.822,52.58,54.1,53.2,58.75,6.225,141.554,122.95,42.33,50.36,7.134,21.74,11.7,241.05,48.69
2014-02-17,44.29,40.7,9.226,8.418,47.155,17.425,63.0,135.2,75.543,60.073,10.395,84.77,20.01,54.27,68.32,72.613,52.44,54.33,52.7,58.45,6.251,142.948,122.3,43.125,50.47,7.115,21.8,11.869,240.45,47.845
2014-02-18,44.44,40.815,9.303,8.376,47.08,17.38,63.51,135.75,75.25,59.336,10.39,84.74,19.95,53.81,68.4,72.812,52.72,53.81,52.98,58.38,6.245,142.205,121.9,43.355,50.38,7.067,21.558,11.859,238.15,47.2
2014-02-19,44.43,41.225,9.34,8.376,46.8,17.735,63.61,136.25,76.101,59.717,10.602,85.89,19.79,53.51,68.66,73.081,52.3,53.9,52.84,58.38,6.142,141.554,122.1,43.41,50.96,7.039,21.57,11.864,237.3,46.92
2014-02-20,44.89,41.225,9.384,8.379,46.72,17.885,65.39,137.15,75.191,59.62,10.761,85.56,19.55,52.43,67.83,73.17,52.12,56.31,52.57,58.52,6.06,144.064,122.55,43.245,51.7,7.2,21.875,12.235,236.45,47.655
2014-02-21,45.6,42.78,9.434,8.475,47.29,18.005,65.89,137.45,75.367,59.674,10.679,85.85,19.615,52.0,67.62,73.598,53.01,56.06,52.38,58.63,6.092,140.764,122.05,43.86,50.95,7.115,22.228,12.428,238.7,47.75
2014-02-24,46.235,43.675,9.613,8.513,47.95,18.025,65.72,138.75,76.904,60.019,10.833,86.59,19.635,50.93,68.87,74.244,53.66,56.68,53.07,59.34,6.155,142.902,123.25,44.47,50.94,7.143,22.188,12.496,240.0,48.495
2014-02-25,46.405,43.45,9.63,8.454,47.535,17.775,65.51,137.35,77.432,60.092,10.829,86.46,19.375,50.7,69.06,74.115,53.95,57.32,53.11,59.5,6.195,142.112,125.2,44.465,51.38,7.181,22.185,12.476,235.75,48.75
2014-02-26,46.555,42.91,9.305,8.348,47.86,17.555,64.03,135.15,77.168,59.946,10.848,86.62,19.075,49.54,68.62,74.951,53.51,56.51,53.97,59.04,6.494,139.045,123.55,44.46,51.43,7.295,22.208,12.293,235.3,48.75
2014-02-27,46.34,43.165,9.2,8.265,48.2,18.615,64.68,135.6,74.692,60.019,11.04,85.46,18.91,49.865,68.02,74.921,54.19,56.22,53.78,59.15,6.491,137.837,122.6,44.855,51.32,7.2,21.927,13.306,232.15,48.615
2014-02-28,47.03,43.5,9.069,8.328,48.375,18.59,64.75,134.85,74.036,60.333,11.093,85.29,18.94,51.01,68.8,74.921,54.13,56.73,53.39,59.46,6.569,138.115,122.75,44.93,51.18,7.2,22.142,13.219,233.5,48.1
2014-03-03,46.22,41.47,8.853,8.247,45.75,18.225,63.86,131.05,71.502,58.852,10.674,83.7,18.35,50.51,67.05,72.991,52.43,55.08,51.7,57.27,6.425,135.745,120.7,43.995,49.89,7.115,21.81,12.925,230.7,47.555
2014-03-04,47.02,42.74,9.087,8.379,47.3,18.71,65.57,133.15,72.265,60.539,11.036,84.5,18.89,51.13,67.71,75.388,53.66,55.83,53.36,59.09,6.6,138.441,123.2,44.54,51.25,7.333,22.545,13.277,231.85,48.37
2014-03-05,46.925,42.83,9.165,8.331,47.68,18.88,65.45,132.25,71.61,60.273,11.223,83.34,18.86,50.0,67.31,74.851,54.16,56.44,52.75,59.36,6.649,135.606,121.5,44.235,50.71,7.589,22.52,13.455,230.9,47.945
2014-03-06,47.06,43.175,10.13,8.408,47.505,19.04,65.01,131.65,72.128,59.753,11.349,84.18,18.91,49.74,67.89,75.199,53.96,56.95,52.96,59.5,6.66,135.745,121.5,44.1,50.71,7.732,23.335,13.494,232.3,47.0
2014-03-07,46.14,42.4,10.235,8.41,46.91,18.745,64.4,131.65,71.668,59.584,11.036,84.15,18.65,49.2,68.0,74.493,53.26,56.16,51.31,58.47,6.725,134.723,120.5,43.99,50.53,7.589,22.675,13.744,230.15,46.5
2014-03-10,46.5,42.905,10.675,8.409,47.025,18.915,64.75,131.35,71.668,59.692,11.141,84.2,18.645,48.205,66.31,74.682,53.58,55.85,50.49,58.71,6.757,134.398,120.1,43.75,50.4,7.608,22.343,13.788,231.35,46.385
2014-03-11,46.385,42.29,10.595,8.401,46.45,19.28,64.0,130.9,71.502,59.571,11.214,83.95,18.515,48.235,65.77,73.638,53.64,55.68,50.36,58.05,6.716,132.678,120.3,43.63,50.33,7.257,22.09,13.768,235.85,46.9
2014-03-12,46.24,42.03,10.555,8.336,46.005,19.235,62.47,129.0,70.308,58.912,11.084,81.92,18.355,47.38,65.29,72.404,53.73,55.35,50.1,57.46,6.666,131.47,118.65,43.475,49.575,7.333,21.892,13.735,234.05,46.35
2014-03-13,45.715,41.42,10.3,8.312,44.985,18.965,61.6,128.25,69.809,58.059,10.906,81.59,18.045,47.0,64.82,71.35,53.05,54.55,50.11,56.44,6.605,129.332,116.5,43.585,49.485,7.532,21.69,13.566,233.15,47.0
2014-03-14,46.0,41.1,10.115,8.356,44.0,18.87,61.19,126.75,69.584,57.533,10.655,81.54,17.73,46.835,64.06,70.913,52.37,53.65,49.96,55.26,6.534,127.659,116.8,43.335,49.38,7.305,21.802,13.426,231.45,46.92
2014-03-17,46.475,41.585,10.18,8.36,44.34,19.18,63.26,128.0,70.044,57.812,10.915,81.16,18.1,47.955,64.74,71.947,53.13,54.48,50.36,56.62,6.717,129.193,116.95,43.86,49.75,7.475,22.205,13.662,232.75,47.595
2014-03-18,47.325,42.215,10.205,8.444,45.045,19.7,63.07,129.1,70.797,58.338,11.04,81.56,18.33,48.325,65.11,72.245,53.65,55.7,50.55,57.66,6.729,130.076,116.7,43.99,49.88,7.475,22.642,13.629,234.6,47.35
2014-03-19,47.29,42.135,10.145,8.384,44.89,19.71,63.0,128.3,71.365,57.957,11.247,80.8,18.315,49.085,64.39,72.802,53.3,55.11,51.33,56.65,6.727,129.75,116.75,44.325,49.96,7.513,22.64,13.653,237.5,47.11
2014-03-20,47.24,42.24,10.22,8.41,45.275,19.63,63.54,129.3,72.265,58.12,11.166,80.39,19.035,49.965,64.3,72.842,53.7,55.02,52.5,56.88,6.852,130.68,116.35,44.405,49.435,7.494,22.433,13.73,236.9,47.47
2014-03-21,47.565,41.99,10.225,8.425,44.705,19.515,64.46,128.95,72.314,59.027,10.8,80.93,18.89,50.37,64.75,74.105,53.06,54.01,51.9,56.98,6.865,130.494,115.4,44.385,49.42,7.589,22.375,13.72,239.0,47.24
2014-03-24,46.33,42.0,10.03,8.382,43.42,19.385,63.16,128.45,71.199,58.338,10.814,81.1,18.515,50.2,63.94,73.17,52.42,53.15,51.18,55.94,6.699,130.355,115.2,44.0,49.785,7.637,22.21,13.821,238.6,46.425
2014-03-25,46.8,42.8,10.225,8.427,43.74,19.73,64.74,131.3,71.208,59.19,10.949,81.7,18.865,50.73,64.25,74.821,53.5,54.79,52.01,56.87,6.725,134.072,116.9,44.69,51.6,7.542,22.29,14.005,239.95,46.995
2014-03-26,47.5,43.555,10.27,8.486,44.275,19.705,65.34,132.55,71.385,59.571,10.934,83.51,19.215,50.33,65.79,75.209,53.71,56.22,52.86,56.48,6.816,138.58,118.2,45.5,52.27,7.494,22.763,14.048,241.1,48.0
2014-03-27,47.89,43.42,10.435,8.483,43.965,19.705,64.63,132.9,71.659,59.559,10.906,84.03,19.16,50.31,65.26,74.702,54.04,55.91,52.2,55.68,6.776,136.768,118.7,45.38,51.91,7.637,22.647,13.802,241.05,47.795
2014-03-28,48.03,43.65,10.71,8.566,44.555,19.96,64.45,133.75,72.461,59.904,10.973,84.96,19.105,50.19,65.57,75.388,54.29,55.18,52.6,56.1,6.73,137.465,119.95,45.03,52.15,7.684,22.843,14.019,242.15,48.045
2014-03-31,47.6,43.85,10.72,8.504,44.705,19.86,64.35,131.95,71.629,59.463,11.021,84.5,18.865,50.29,65.58,75.269,53.91,54.95,51.99,55.99,6.724,137.604,119.7,45.095,51.33,8.035,22.695,13.846,241.6,48.13
2014-04-01,47.885,45.36,10.75,8.51,46.67,19.83,64.46,134.3,71.844,59.275,11.474,84.38,19.03,50.53,64.57,74.662,54.52,53.66,52.87,57.5,6.729,137.604,119.25,45.16,51.06,8.301,23.073,14.072,242.55,49.21
2014-04-02,47.84,44.94,10.755,8.527,46.85,19.735,65.04,134.2,72.021,59.287,11.358,84.16,19.32,49.965,64.31,74.583,54.04,53.36,52.49,57.97,6.787,137.929,119.55,45.58,51.25,8.121,22.907,14.125,243.25,49.22
2014-04-03,48.0,45.765,10.815,8.508,47.39,19.71,65.08,133.55,72.05,59.299,11.45,83.16,19.48,51.16,65.26,75.378,54.23,53.25,53.12,58.62,6.777,138.069,119.1,45.655,51.31,8.187,22.87,13.874,243.6,49.315
2014-04-04,48.685,46.0,10.835,8.518,47.645,19.605,65.85,133.65,72.412,59.965,11.531,84.21,19.52,51.59,64.84,75.438,54.75,54.03,54.0,59.38,6.704,137.093,119.55,46.08,51.59,8.187,23.038,13.879,242.3,49.86
2014-04-07,47.91,45.375,10.66,8.466,46.32,19.805,64.15,133.45,72.216,59.571,11.3,84.45,19.04,50.05,63.32,74.622,53.95,53.19,53.32,58.25,6.67,135.374,118.7,45.52,51.73,8.329,22.942,14.091,243.05,49.02
2014-04-08,48.3,44.0,10.71,8.516,45.525,19.96,64.76,135.05,72.422,59.94,11.016,84.03,18.7,48.34,62.25,75.706,53.91,52.4,51.35,57.62,6.56,134.305,118.4,44.81,52.96,8.168,22.495,13.952,243.85,48.025
2014-04-09,48.64,44.0,10.88,8.511,45.09,19.93,65.68,136.45,72.314,59.541,11.18,85.23,18.69,48.815,63.33,76.035,54.4,52.81,51.02,56.9,6.673,139.37,118.35,45.22,52.94,8.434,22.757,14.009,244.6,49.3
2014-04-10,47.89,43.79,10.795,8.551,44.375,19.915,65.5,140.85,71.59,59.62,10.997,84.82,18.405,49.21,63.04,75.12,53.88,52.35,50.07,56.13,6.574,139.091,118.1,45.53,52.65,8.472,22.583,13.927,246.8,47.86
2014-04-11,47.725,43.65,10.72,8.318,43.76,19.625,64.22,141.2,70.602,59.021,10.809,84.34,18.135,48.45,60.83,73.986,53.77,51.19,49.815,55.02,6.41,136.349,117.45,44.81,52.69,8.253,22.345,13.744,248.5,46.085
2014-04-14,49.1,42.52,10.84,8.45,43.055,19.79,64.27,142.15,71.042,59.257,10.65,86.7,18.325,47.765,61.0,74.622,53.07,51.27,49.005,54.7,6.208,139.463,120.7,44.585,53.47,8.064,22.085,13.489,250.8,45.045
2014-04-15,48.99,42.065,10.65,8.542,42.03,19.655,62.95,142.0,70.543,59.015,10.477,87.24,17.94,47.48,61.2,73.618,52.61,51.26,49.06,53.55,6.262,138.72,122.0,44.705,53.27,7.921,21.847,13.291,254.15,44.095
2014-04-16,49.0,43.39,10.81,8.559,42.655,19.97,65.33,142.95,70.788,59.65,10.751,88.06,18.27,49.0,63.05,74.364,54.0,51.86,50.59,54.27,6.318,138.673,122.1,45.045,53.28,8.187,22.47,13.86,253.2,45.355
2014-04-17,49.28,44.1,10.935,8.647,43.195,19.94,65.78,142.7,70.563,59.717,10.954,85.65,18.475,49.66,63.89,75.07,54.1,51.55,51.33,54.49,6.446,139.091,121.35,45.49,52.71,8.158,22.85,13.831,255.65,45.825
2014-04-18,49.28,44.1,10.935,8.647,43.195,19.94,65.78,142.7,70.563,59.717,10.954,85.65,18.475,49.66,63.89,75.07,54.1,51.55,51.33,54.49,6.446,139.091,121.35,45.49,52.71,8.158,22.85,13.831,255.65,45.825
2014-04-21,49.28,44.1,10.935,8.647,43.195,19.94,65.78,142.7,70.563,59.717,10.954,85.65,18.475,49.66,63.89,75.07,54.1,51.55,51.33,54.49,6.446,139.091,121.35,45.49,52.71,8.158,22.85,13.831,255.65,45.825
