Date,HEI.DE,SIE.DE,HEN3.DE,BAS.DE,DHL.DE,MTX.DE,MBG.DE,SY1.DE,DBK.DE,BAYN.DE,MRK.DE,IFX.DE,AIR.DE,SAP.DE,BEI.DE,ADS.DE,PAH3.DE,CON.DE,VOW3.DE,HNR1.DE,SRT3.DE,EOAN.DE,QIA.DE,DB1.DE,ALV.DE,BMW.DE,FRE.DE,RWE.DE,DTE.DE,MUV2.DE
2014-01-02,55.27,89.235,82.77,76.38,25.91,71.0,51.277,33.95,29.019,98.459,64.5,7.667,56.87,61.67,73.12,91.4,74.74,140.842,200.5,61.88,21.663,11.832,19.017,59.77,128.15,83.54,36.916,25.645,12.13,156.3
2014-01-03,55.96,89.695,84.04,76.57,25.98,70.85,51.344,34.25,29.283,99.197,65.325,7.732,56.61,61.71,73.5,91.22,75.36,140.44,200.5,61.79,21.767,11.909,19.012,59.76,127.9,83.98,37.115,25.655,12.27,154.2
2014-01-06,55.82,89.416,83.37,76.42,25.95,70.25,51.186,34.25,29.381,98.754,65.65,7.679,55.42,62.0,73.2,91.17,75.02,141.11,198.75,61.77,21.728,11.873,19.034,59.74,128.4,82.99,37.681,25.66,12.19,156.15
2014-01-07,55.82,89.867,82.68,78.52,26.0,70.15,51.901,34.13,30.271,99.787,65.75,7.646,55.98,61.51,73.4,91.07,76.35,143.077,200.0,61.42,22.722,11.941,19.386,59.45,130.1,83.55,37.531,25.65,12.25,156.8
2014-01-08,56.13,88.722,82.12,78.0,26.05,70.37,51.743,34.16,30.875,98.508,66.05,7.65,55.36,62.55,72.77,90.61,76.5,143.435,200.15,60.78,22.45,11.841,19.59,60.0,129.4,84.45,37.88,25.12,12.225,154.15
2014-01-09,56.05,88.127,81.61,76.72,25.69,70.4,51.693,33.555,30.786,97.248,65.275,7.495,54.7,61.75,72.88,88.63,76.87,141.557,199.45,60.47,22.25,11.719,19.656,61.62,127.95,83.86,38.28,24.95,12.25,152.45
2014-01-10,56.87,88.289,81.62,77.4,26.005,70.48,51.66,34.295,31.356,97.583,65.325,7.536,55.26,61.0,73.23,90.0,77.04,141.378,202.05,60.75,22.325,11.909,19.491,63.14,129.15,83.15,38.795,25.37,12.22,152.85
2014-01-13,57.8,88.812,81.45,77.49,25.99,69.95,52.292,33.9,32.829,96.658,65.0,7.667,55.85,61.21,73.53,89.04,77.99,143.033,202.6,60.22,22.415,11.9,19.628,61.79,128.5,84.15,38.063,25.525,12.205,152.6
2014-01-14,57.55,89.001,82.61,77.57,26.055,67.7,52.924,33.915,32.982,96.55,65.475,7.56,56.07,60.36,74.1,90.27,76.49,143.212,197.8,61.2,22.375,12.244,19.491,61.43,129.4,84.12,38.047,26.81,12.42,153.9
2014-01-15,57.47,91.363,82.6,78.18,26.32,67.6,54.479,34.1,34.012,100.082,66.25,7.642,56.51,60.98,75.35,90.64,77.67,145.313,202.7,61.91,22.35,12.507,19.92,60.7,133.5,84.96,38.563,27.595,12.64,157.3
2014-01-16,57.6,90.146,83.45,78.99,26.34,67.2,54.513,34.0,33.68,99.64,66.0,7.641,56.81,60.8,76.65,89.87,77.7,146.923,202.35,62.2,22.587,12.371,19.942,60.36,133.55,85.5,38.746,27.545,12.445,157.25
2014-01-17,57.49,90.642,84.06,79.49,26.6,67.6,54.97,33.89,33.488,99.689,65.675,7.697,57.18,60.68,76.81,90.79,78.41,147.415,203.35,62.28,22.837,12.289,19.843,60.33,133.9,86.21,38.845,26.82,12.46,158.15
2014-01-20,57.54,90.507,83.66,79.86,26.635,67.6,54.87,34.4,31.675,100.427,65.975,7.706,57.09,60.65,75.92,90.66,78.82,146.744,203.3,62.02,23.045,12.376,19.942,59.95,132.75,86.13,39.078,26.955,12.565,158.0
2014-01-21,57.5,90.119,85.35,80.61,26.86,67.2,54.538,35.115,32.024,101.46,66.5,7.721,57.08,59.62,76.86,91.68,79.1,145.268,202.6,61.93,23.4,12.33,19.815,59.8,132.6,85.93,39.228,26.885,12.665,158.55
2014-01-22,59.5,88.803,84.6,80.22,26.765,66.85,54.887,34.945,31.854,102.395,67.725,7.706,57.16,58.94,76.88,92.92,79.25,146.252,201.3,61.53,23.325,12.475,19.799,60.11,130.95,85.73,39.228,27.61,12.825,156.4
2014-01-23,59.44,88.334,84.16,79.74,26.46,66.72,54.28,35.175,31.867,101.067,67.45,7.6,54.99,58.0,76.93,91.09,78.54,145.0,198.25,60.85,23.5,12.548,19.529,58.91,127.4,84.64,39.261,27.685,12.82,153.95
2014-01-24,57.36,86.838,82.53,77.81,25.305,64.9,52.259,34.72,31.322,97.544,66.375,7.378,52.85,56.78,75.49,86.12,75.92,142.452,193.3,59.79,23.728,12.317,19.017,57.02,124.75,81.97,38.746,27.15,12.59,151.15
2014-01-27,56.5,87.811,81.75,77.61,25.38,63.96,51.843,33.595,31.173,96.471,59.65,7.289,52.6,57.2,74.86,85.58,74.39,140.44,192.6,59.14,23.788,12.217,18.681,56.53,124.1,80.44,38.696,27.04,12.485,151.05
2014-01-28,57.02,89.19,81.08,79.13,25.77,64.28,52.259,34.125,31.39,96.5,59.35,7.381,55.02,56.47,74.56,85.59,75.63,142.452,195.55,59.42,24.675,12.058,18.665,57.37,126.1,81.53,38.829,26.81,12.405,152.0
2014-01-29,57.09,85.521,80.38,79.0,25.75,65.22,51.394,33.9,31.165,96.441,58.35,7.384,53.55,56.73,73.7,84.6,73.37,142.139,191.7,59.11,24.875,11.868,18.445,56.64,124.1,80.83,38.746,26.87,12.25,152.1
2014-01-30,56.64,84.863,80.34,79.73,26.15,66.24,51.984,34.315,31.428,96.874,58.075,7.695,53.09,56.93,73.19,83.34,73.55,144.955,190.15,59.22,24.44,12.04,18.059,57.19,124.95,80.82,39.295,27.315,12.195,153.75
2014-01-31,55.25,84.701,80.38,79.53,25.67,65.85,51.676,33.785,30.552,96.333,57.575,7.656,52.68,56.66,73.44,82.89,72.61,142.854,188.05,58.9,24.612,12.208,17.91,57.09,123.8,80.82,38.479,27.44,12.0,153.15
2014-02-03,54.39,83.583,81.34,77.99,25.22,64.99,50.479,33.745,29.981,95.674,58.25,7.498,51.92,55.94,73.73,81.02,70.96,140.663,185.5,58.88,24.513,12.122,17.839,56.67,121.55,79.99,38.546,27.23,11.68,153.1
2014-02-04,55.31,82.79,80.75,76.59,25.08,64.25,50.479,33.46,29.722,94.434,57.225,7.438,52.2,55.87,72.65,82.45,71.75,138.919,183.4,59.0,25.013,12.018,17.872,57.0,122.7,80.29,38.097,26.89,11.5,151.35
2014-02-05,55.31,83.006,81.17,76.65,25.015,63.84,50.637,34.475,29.913,93.332,57.0,7.448,51.2,55.28,72.96,82.55,71.45,137.22,184.6,59.56,24.177,12.036,17.613,56.83,122.6,79.88,38.097,27.035,11.47,152.2
2014-02-06,55.73,83.809,82.69,78.17,25.405,63.79,51.968,34.77,30.407,93.745,58.325,7.501,52.16,56.02,73.83,85.0,73.48,141.334,186.6,59.98,24.425,12.235,17.751,58.1,124.55,81.44,38.363,27.59,11.69,153.2
2014-02-07,56.46,84.196,81.63,78.82,25.55,63.19,52.849,34.85,30.156,93.942,58.65,7.501,52.4,56.07,73.33,84.98,73.9,141.423,187.95,60.02,24.6,12.326,18.021,57.47,126.1,81.8,38.612,27.78,11.755,152.8
2014-02-10,56.13,84.052,82.11,78.32,25.33,63.35,52.566,35.085,29.892,93.932,59.125,7.544,52.44,55.97,73.72,85.0,76.4,142.317,189.7,60.02,24.45,12.271,18.07,57.5,125.7,82.0,38.779,27.475,11.655,153.55
2014-02-11,57.14,84.809,83.21,80.04,25.845,63.53,54.504,35.425,30.224,97.425,59.875,7.723,53.53,57.21,74.81,85.82,78.42,146.565,194.7,60.55,24.47,12.421,18.23,58.97,128.0,84.45,38.746,27.845,11.785,155.65
2014-02-12,57.9,85.107,83.12,80.57,26.255,63.74,55.27,35.61,30.569,97.524,60.55,7.724,53.28,57.52,73.9,86.07,79.84,147.549,198.35,60.79,24.45,12.434,18.147,59.8,128.4,84.97,38.978,27.84,11.83,156.4
2014-02-13,57.8,84.999,83.98,81.26,26.3,62.3,55.436,35.445,30.432,98.4,60.575,7.737,52.29,57.7,73.79,86.38,79.5,149.337,199.9,61.09,24.25,12.548,18.147,59.25,129.5,85.36,39.344,28.405,12.06,158.4
2014-02-14,58.1,85.693,83.83,82.51,26.25,62.66,55.735,35.725,30.377,99.492,61.2,7.817,53.22,58.25,74.24,86.7,80.09,150.902,202.1,61.5,23.66,12.607,18.34,59.92,129.65,86.0,39.71,28.875,12.065,158.05
