Date,NVDA,V,SHW,CSCO,DIS,TRV,JPM,MCD,AMZN,MRK,AMGN,VZ,MSFT,AAPL,AXP,UNH,MMM,IBM,WMT,GS,CVX,PG,CAT,KO,HON,HD,JNJ,BA,CRM,NKE
2014-01-02,0.396,55.252,60.803,22.0,76.27,89.33,58.21,96.41,19.899,47.223,115.8,49.0,37.16,19.755,89.45,74.57,115.493,177.371,26.303,176.89,124.14,80.54,89.87,40.66,81.158,82.02,91.03,136.67,54.86,39.12
2014-01-03,0.392,55.29,60.933,21.98,76.11,89.16,58.66,96.54,19.822,47.452,114.47,48.42,36.91,19.321,89.74,75.1,115.761,178.432,26.217,178.15,124.35,80.45,89.82,40.46,81.337,81.89,91.85,137.62,55.12,39.015
2014-01-06,0.397,54.958,60.897,22.01,75.82,88.92,59.0,95.85,19.681,47.462,113.48,48.69,36.13,19.426,89.7,74.24,115.075,177.82,26.07,179.37,124.02,80.64,88.64,40.27,81.257,81.1,92.33,138.41,54.23,38.715
2014-01-07,0.403,55.377,62.537,22.31,76.34,88.4,58.32,96.38,19.902,47.815,116.43,49.3,36.41,19.287,89.36,76.51,115.092,181.367,26.15,178.29,125.07,81.42,88.93,40.39,81.589,81.5,94.29,140.51,54.95,38.745
2014-01-08,0.409,55.555,63.227,22.29,75.22,87.58,58.87,95.41,20.096,47.51,115.88,48.5,35.76,19.409,89.41,75.62,114.239,179.704,25.943,178.44,123.29,80.24,89.14,39.94,81.266,81.93,94.16,140.82,56.94,38.545
2014-01-09,0.394,55.478,62.957,22.09,74.9,87.68,58.76,95.46,20.051,47.252,118.89,47.5,35.53,19.161,88.88,76.08,114.089,179.14,26.03,177.4,123.29,80.42,89.71,39.73,81.292,81.57,94.73,142.13,56.29,38.545
2014-01-10,0.393,55.283,64.28,22.22,75.39,87.49,58.49,95.8,19.883,47.595,117.99,47.75,36.04,19.034,88.55,74.7,113.863,179.025,26.013,178.39,121.01,80.3,90.51,40.13,81.014,82.01,94.74,141.9,56.95,38.46
2014-01-13,0.384,54.725,63.73,22.19,73.27,86.34,57.7,94.83,19.549,50.687,116.4,47.03,34.98,19.133,86.99,73.94,112.609,176.061,25.83,175.88,119.25,80.01,89.89,39.53,79.855,80.97,94.5,140.7,56.21,37.59
2014-01-14,0.396,55.662,64.493,22.41,74.45,87.45,57.74,95.22,19.877,50.573,117.72,47.08,35.78,19.514,87.12,74.02,114.891,177.744,25.987,176.6,119.57,80.87,90.56,39.69,80.322,81.01,94.72,140.01,57.51,37.585
2014-01-15,0.4,55.94,64.38,22.78,74.28,87.88,59.49,95.46,19.794,50.115,118.51,48.27,36.76,19.906,88.25,74.84,115.753,179.484,25.887,178.75,119.18,80.79,92.41,39.76,80.789,81.07,94.8,140.62,59.72,37.715
