Date,LSEG.L,VOD.L,BP.L,EXPN.L,IMB.L,AZN.L,LLOY.L,ULVR.L,SHEL.L,HSBA.L,CRH.L,GSK.L,CPG.L,BATS.L,AHT.L,FLTR.L,NG.L,RIO.L,RKT.L,NWG.L,SSE.L,AAL.L,STAN.L,BA.L,REL.L,BARC.L,TSCO.L,DGE.L,PRU.L,GLEN.L
2014-01-02,1603.715,247.313,488.85,1100.0,2344.0,3558.0,79.12,2605.197,2155.5,659.7,1539.0,1611.269,1063.011,3207.5,783.5,2800.073,859.636,3370.0,4610.403,366.262,1339.0,1261.515,1282.548,430.5,902.0,271.05,418.063,1984.0,1113.242,310.5
2014-01-03,1614.769,245.749,487.9,1108.0,2339.0,3585.5,79.76,2614.822,2158.5,656.4,1580.0,1616.305,1066.879,3200.0,776.5,2774.393,862.363,3370.0,4676.866,369.708,1351.0,1266.397,1274.458,432.2,899.5,272.85,418.633,1986.5,1109.1,307.5
2014-01-06,1607.4,245.801,488.95,1120.0,2347.0,3598.5,80.11,2610.544,2147.0,660.0,1579.0,1628.897,1063.563,3205.5,790.0,2792.369,856.909,3266.0,4647.544,370.785,1360.0,1244.916,1269.223,431.6,903.5,277.5,420.786,1977.0,1108.272,306.3
2014-01-07,1614.769,248.043,494.0,1102.0,2314.0,3562.5,82.51,2612.683,2159.0,675.8,1592.0,1628.394,1061.906,3185.5,804.0,2818.061,854.182,3215.0,4603.561,377.354,1358.0,1246.381,1269.223,426.4,901.0,280.95,420.216,1965.0,1117.383,308.85
2014-01-08,1625.823,246.062,492.85,1101.0,2247.0,3549.5,83.8,2576.321,2143.5,674.5,1587.0,1610.765,1048.646,3154.5,790.0,2774.393,844.363,3190.0,4577.171,385.431,1346.0,1232.711,1248.759,426.5,903.0,283.7,415.846,1938.5,1125.666,314.8
2014-01-09,1643.325,245.749,495.3,1101.0,2221.0,3572.5,85.26,2534.612,2145.0,668.1,1625.0,1609.254,1042.568,3111.5,790.5,2784.665,845.454,3115.0,4541.985,387.908,1347.0,1197.561,1221.633,429.9,903.5,284.4,410.843,1939.0,1128.979,309.65
2014-01-10,1657.142,244.654,497.0,1107.0,2217.0,3652.0,83.04,2553.863,2190.0,675.6,1619.0,1609.758,1053.066,3084.5,812.0,2764.11,852.545,3140.0,4572.284,384.354,1364.0,1220.018,1224.488,434.0,907.5,283.6,407.613,1978.0,1139.748,318.75
2014-01-13,1658.063,243.716,495.8,1131.0,2224.0,3663.5,84.03,2568.835,2190.0,677.0,1645.0,1602.706,1059.144,3042.5,803.5,2735.861,847.636,3177.0,4543.939,396.308,1344.0,1242.964,1229.723,429.7,907.0,291.7,413.63,1996.0,1134.778,318.95
2014-01-14,1670.038,245.957,491.05,1136.0,2253.0,3755.5,85.33,2580.599,2174.0,672.9,1653.0,1603.21,1059.696,3054.0,802.5,2679.341,851.454,3168.0,4608.448,398.031,1349.0,1232.711,1251.614,428.2,918.5,291.75,419.52,2003.5,1118.212,317.4
2014-01-15,1685.698,248.616,492.85,1150.0,2185.0,3845.0,86.3,2573.113,2180.0,681.0,1655.0,1630.912,1066.879,3084.0,811.5,2648.513,854.182,3254.0,4584.99,403.846,1320.0,1301.06,1271.602,436.6,927.5,296.5,420.85,1981.5,1140.576,319.45
