Date,TEN.MI,AMP.MI,MB.MI,BZU.MI,UCG.MI,ISP.MI,UNI.MI,BMED.MI,IP.MI,STLAM.MI,FCT.MI,LDO.MI,A2A.MI,TRN.MI,PRY.MI,SPM.MI,STMMI.MI,BPE.MI,G.MI,CPR.MI,HER.MI,ENEL.MI,TIT.MI,REC.MI,ENI.MI,AZM.MI,BGN.MI,SRG.MI,DIA.MI,BAMI.MI
2014-01-02,15.73,4.07,6.31,13.11,26.981,1.783,4.35,6.265,8.77,4.363,5.759,5.445,0.836,3.616,17.992,48.789,5.725,4.215,16.92,3.033,1.63,3.134,0.709,10.33,17.32,18.447,22.76,4.079,35.01,7.69
2014-01-03,15.85,4.15,6.38,13.09,27.231,1.809,4.394,6.245,8.945,4.263,5.759,5.545,0.836,3.64,18.002,50.021,5.8,4.283,16.88,3.05,1.631,3.178,0.757,10.37,17.48,18.773,22.74,4.057,35.47,7.893
2014-01-06,15.5,4.178,6.535,13.13,28.133,1.828,4.4,6.161,9.13,4.288,5.759,5.585,0.836,3.622,18.166,49.831,5.765,4.314,17.0,3.057,1.655,3.186,0.757,10.48,17.58,18.81,21.5,4.091,35.69,8.14
2014-01-07,15.47,4.182,6.88,13.03,29.11,1.888,4.3,6.305,9.3,4.215,5.759,5.66,0.828,3.61,18.205,49.231,5.675,4.547,17.28,3.05,1.661,3.226,0.789,10.6,17.66,19.257,22.38,4.024,35.5,8.595
2014-01-08,15.28,4.216,6.9,12.94,29.686,1.929,4.21,6.151,9.2,4.149,5.759,5.625,0.838,3.61,17.576,48.757,5.585,4.637,17.4,3.003,1.698,3.242,0.799,10.47,17.37,18.95,21.95,4.012,34.95,8.707
2014-01-09,15.76,4.22,6.905,13.23,29.561,1.944,4.28,6.31,9.245,4.256,5.759,5.685,0.85,3.632,17.47,49.515,5.47,4.744,17.43,3.043,1.69,3.22,0.809,10.49,17.27,19.118,23.02,4.008,34.74,9.112
2014-01-10,15.9,4.236,6.815,13.47,29.536,1.911,4.248,6.623,9.35,4.231,5.759,5.715,0.84,3.626,17.837,49.357,5.58,4.775,17.36,3.085,1.709,3.27,0.813,10.84,17.4,19.35,24.3,4.101,35.58,9.067
2014-01-13,15.81,4.24,6.9,13.83,30.087,1.932,4.254,6.782,9.25,4.282,5.759,5.765,0.836,3.636,18.002,51.759,5.755,4.855,17.08,3.155,1.695,3.304,0.807,10.63,17.33,20.244,25.11,4.077,35.53,9.364
2014-01-14,15.98,4.25,6.97,14.09,29.987,1.95,4.33,6.732,9.245,4.294,5.759,5.84,0.841,3.586,18.002,52.454,5.855,4.92,17.03,3.138,1.69,3.316,0.799,10.53,17.21,20.16,24.19,4.095,35.14,9.421
2014-01-15,16.3,4.28,7.18,14.18,30.788,2.014,4.334,6.851,9.305,4.382,5.759,6.32,0.835,3.56,18.205,52.644,5.93,4.996,17.18,3.1,1.695,3.342,0.833,10.58,17.29,20.262,23.81,4.093,35.0,9.819
2014-01-16,16.2,4.27,6.95,14.34,30.087,1.946,4.542,6.677,9.05,4.531,5.759,6.19,0.836,3.586,18.466,52.928,5.88,4.846,16.96,3.098,1.7,3.32,0.843,10.67,17.24,20.076,23.15,4.131,33.96,9.437
2014-01-17,16.41,4.234,7.025,14.39,29.811,1.958,4.58,6.628,9.55,4.691,5.759,6.365,0.831,3.594,18.891,54.792,5.745,4.883,16.99,3.11,1.72,3.366,0.858,10.6,17.23,20.123,23.27,4.105,34.43,9.364
2014-01-20,16.74,4.268,6.85,14.2,29.586,1.948,4.59,6.484,9.49,4.619,5.759,6.26,0.841,3.644,18.727,56.688,5.78,4.775,16.83,3.115,1.74,3.37,0.873,10.97,17.37,20.3,23.65,4.133,34.05,9.078
2014-01-21,16.48,4.266,6.825,14.17,29.837,1.954,4.54,6.464,9.435,4.701,5.759,6.48,0.836,3.648,18.562,54.508,5.765,4.818,16.86,3.11,1.749,3.39,0.838,11.28,17.39,20.3,23.46,4.165,34.39,8.96
2014-01-22,16.7,4.27,6.805,14.12,29.411,1.977,4.412,6.513,9.38,4.682,5.759,6.5,0.814,3.626,18.031,53.465,5.885,4.692,16.79,3.108,1.747,3.47,0.83,11.07,17.52,20.328,23.05,4.151,34.51,8.831
2014-01-23,17.0,4.188,6.72,13.96,28.659,1.961,4.4,6.434,9.485,4.805,5.759,6.535,0.809,3.624,17.828,53.623,5.76,4.612,16.7,3.075,1.714,3.48,0.835,11.3,17.39,20.151,22.74,4.129,34.1,8.595
2014-01-24,16.28,4.114,6.66,13.6,27.958,1.931,4.254,6.19,9.29,4.641,5.759,6.37,0.793,3.586,17.518,52.991,5.615,4.597,16.34,3.033,1.704,3.38,0.795,11.49,16.91,19.239,22.19,4.107,33.64,8.511
2014-01-27,16.04,4.05,6.635,13.59,27.832,1.946,4.086,6.126,9.2,4.732,5.759,6.36,0.784,3.568,17.373,53.402,5.64,4.234,16.23,3.033,1.695,3.334,0.815,11.39,16.98,19.071,21.33,4.099,33.49,7.241
2014-01-28,16.1,4.04,6.585,13.66,28.283,1.968,4.186,6.335,9.57,4.758,5.759,6.525,0.811,3.626,17.895,53.37,5.785,4.305,16.45,3.078,1.71,3.38,0.814,11.31,16.89,19.871,22.9,4.083,33.94,6.966
2014-01-29,16.04,4.04,6.72,13.27,28.108,1.952,4.22,6.33,9.7,4.562,5.759,6.565,0.795,3.61,17.451,55.235,5.835,4.348,16.2,3.027,1.695,3.324,0.82,11.25,16.73,20.123,22.85,4.083,33.42,6.848
2014-01-30,16.48,4.014,6.825,13.43,27.908,1.958,4.31,6.335,9.59,4.698,5.759,6.65,0.801,3.622,17.518,55.33,6.095,4.302,16.21,2.957,1.696,3.38,0.832,11.5,16.9,20.234,22.75,4.107,33.73,7.129
2014-01-31,16.62,3.996,6.815,13.55,27.958,2.01,4.248,6.354,9.6,4.663,5.759,6.52,0.8,3.602,17.538,54.982,6.11,4.314,16.05,2.96,1.713,3.388,0.825,11.61,16.85,19.992,22.72,4.105,33.3,7.157
2014-02-03,16.0,4.2,6.6,13.19,26.855,1.952,4.11,6.205,9.565,4.499,5.759,6.31,0.791,3.596,16.88,53.876,5.93,4.016,15.65,2.922,1.714,3.29,0.8,11.51,16.51,19.527,22.4,4.115,32.5,6.657
2014-02-04,16.1,4.174,6.575,13.31,27.156,1.997,4.114,6.349,9.39,4.59,5.759,6.335,0.813,3.564,17.006,53.181,6.0,3.997,15.76,2.943,1.7,3.324,0.807,11.3,16.43,19.834,23.24,4.055,32.8,6.73
2014-02-05,15.92,4.164,6.805,13.23,27.156,2.034,4.138,6.25,9.36,4.512,5.759,6.495,0.817,3.572,17.325,52.833,5.94,4.102,15.59,2.928,1.713,3.34,0.822,11.34,16.25,19.648,22.7,4.028,33.2,6.825
2014-02-06,16.36,4.21,7.055,13.47,27.532,2.094,4.3,6.449,9.365,4.59,5.759,6.6,0.825,3.636,17.75,52.833,6.04,4.292,15.95,3.01,1.75,3.488,0.842,11.57,16.46,20.895,23.53,4.121,32.98,7.078
2014-02-07,16.37,4.19,7.025,14.09,28.509,2.096,4.47,6.747,9.55,4.603,5.759,6.645,0.833,3.668,17.808,51.948,6.035,4.32,16.13,3.003,1.785,3.564,0.865,11.55,16.52,21.314,24.19,4.119,33.23,7.117
2014-02-10,16.37,4.23,7.0,14.66,28.384,2.082,4.512,6.513,9.7,4.565,5.759,6.6,0.836,3.658,17.915,52.296,6.13,4.274,16.18,2.987,1.79,3.572,0.849,11.59,16.59,21.202,23.58,4.115,33.36,7.162
2014-02-11,16.78,4.268,7.135,14.53,28.935,2.14,4.56,6.563,10.03,4.565,5.759,6.77,0.838,3.68,18.002,50.495,6.16,4.578,16.12,3.0,1.791,3.564,0.847,11.77,16.8,21.64,23.68,4.117,33.69,7.713
2014-02-12,17.05,4.47,7.22,14.56,29.561,2.15,4.54,6.623,10.24,4.609,5.759,6.89,0.834,3.692,18.147,51.538,6.155,4.809,16.48,3.05,1.78,3.588,0.855,12.21,17.01,22.291,23.89,4.161,33.4,7.634
2014-02-13,17.0,4.47,7.12,14.65,29.461,2.132,4.52,6.508,10.15,4.613,5.759,6.91,0.836,3.694,18.214,50.748,6.115,4.898,16.49,3.055,1.783,3.62,0.856,12.48,16.98,21.863,23.7,4.113,33.88,7.971
2014-02-14,17.16,4.48,7.235,14.63,30.162,2.16,4.546,6.628,9.685,4.742,5.759,7.255,0.84,3.728,18.64,51.19,6.2,4.923,16.75,3.115,1.787,3.704,0.848,12.69,17.26,22.021,23.73,4.143,34.5,8.291
2014-02-17,17.14,4.472,7.355,14.6,30.187,2.19,4.614,6.657,9.615,4.736,5.759,7.355,0.831,3.692,18.427,51.064,6.25,4.901,16.73,3.08,1.85,3.668,0.861,12.46,17.25,22.291,23.75,4.111,34.59,8.336
2014-02-18,17.15,4.5,7.285,14.54,30.037,2.218,4.624,6.588,9.86,4.704,5.759,7.325,0.845,3.672,18.514,51.19,6.22,4.944,16.73,3.04,1.885,3.702,0.872,12.32,17.25,21.956,23.41,4.075,34.31,8.224
2014-02-19,15.96,4.492,7.27,14.57,29.586,2.234,4.73,6.672,9.95,4.704,5.759,7.195,0.888,3.708,18.543,51.79,6.13,4.966,16.78,3.043,1.87,3.712,0.861,12.55,17.33,22.152,23.4,4.083,34.36,8.078
2014-02-20,16.02,4.41,7.185,14.47,29.411,2.234,4.72,6.717,10.07,4.799,5.759,7.12,0.908,3.742,18.533,53.339,6.055,4.969,16.71,3.078,1.85,3.776,0.866,12.68,17.32,22.44,23.75,4.129,34.12,8.061
2014-02-21,15.4,4.48,7.155,14.58,29.235,2.194,4.754,6.697,10.04,4.811,5.759,7.13,0.91,3.73,18.379,53.086,6.095,4.993,16.62,3.075,1.851,3.758,0.872,12.65,17.36,22.329,23.21,4.149,34.32,8.033
2014-02-24,15.4,4.56,7.15,14.71,29.611,2.234,4.716,6.657,9.97,4.776,5.759,7.18,0.907,3.722,18.417,53.023,6.14,4.975,16.56,3.085,1.86,3.768,0.87,12.95,17.42,22.375,23.01,4.176,34.62,8.185
2014-02-25,15.26,4.548,7.29,14.8,29.586,2.236,4.764,6.682,10.14,4.789,5.759,7.115,0.908,3.702,17.799,52.644,6.19,5.018,16.5,3.1,1.843,3.746,0.874,12.9,17.48,22.412,23.2,4.131,34.4,8.421
2014-02-26,15.21,4.51,7.155,15.11,29.26,2.216,5.195,6.722,9.92,4.881,5.759,7.06,0.908,3.694,18.321,52.517,6.47,5.03,16.38,3.11,1.85,3.71,0.85,12.89,17.48,22.161,23.17,4.115,34.28,8.556
2014-02-27,15.09,4.472,7.25,15.15,29.11,2.216,5.13,6.638,10.08,4.808,5.759,6.975,0.934,3.706,17.924,52.454,6.495,5.092,16.25,3.11,1.854,3.714,0.813,13.03,17.38,21.919,23.2,4.127,34.71,8.55
2014-02-28,15.19,4.43,7.225,15.1,28.885,2.246,5.14,6.648,10.13,4.783,5.759,7.125,0.941,3.7,18.118,53.844,6.55,5.193,16.29,3.092,1.851,3.72,0.823,13.33,17.48,22.515,23.65,4.159,34.58,8.96
2014-03-03,14.8,4.36,7.015,13.88,27.106,2.156,4.87,6.459,10.0,4.672,5.759,6.925,0.911,3.65,17.451,52.865,6.425,4.959,15.75,3.015,1.834,3.586,0.794,12.81,17.12,21.789,23.03,4.085,34.43,8.769
2014-03-04,15.35,4.42,7.285,14.2,28.559,2.232,5.12,6.613,10.11,4.877,5.759,7.16,0.941,3.744,17.876,53.781,6.6,5.261,16.25,3.075,1.869,3.76,0.844,13.0,17.55,22.608,23.44,4.115,34.53,9.758
2014-03-05,15.37,4.53,7.59,14.14,29.31,2.288,5.26,6.583,10.2,5.079,5.759,7.045,0.96,3.754,17.673,53.75,6.64,5.387,16.33,3.062,1.904,3.87,0.855,12.89,17.54,23.464,23.3,4.135,34.62,9.932
