Date,7267.T,9432.T,4519.T,8058.T,6902.T,6954.T,9022.T,2914.T,7733.T,8306.T,6758.T,8031.T,6501.T,9433.T,8001.T,6702.T,7203.T,8766.T,3382.T,4063.T,8035.T,9984.T,8316.T,9983.T,6367.T,4502.T,8411.T,5108.T,4503.T,4568.T
2014-01-02,1443.333,56.6,775.0,672.333,1387.5,3850.0,2476.0,3420.0,832.5,694.0,365.2,732.5,796.0,1078.333,1299.0,544.0,1284.0,1171.667,1393.333,1228.0,1920.0,4600.0,1806.667,14466.667,6550.0,4825.0,2280.0,3980.0,1246.0,641.0
2014-01-03,1443.333,56.6,775.0,672.333,1387.5,3850.0,2476.0,3420.0,832.5,694.0,365.2,732.5,796.0,1078.333,1299.0,544.0,1284.0,1171.667,1393.333,1228.0,1920.0,4600.0,1806.667,14466.667,6550.0,4825.0,2280.0,3980.0,1246.0,641.0
2014-01-06,1425.0,55.7,760.333,672.667,1375.0,3720.0,2464.0,3425.0,818.75,686.0,360.4,731.0,820.0,1046.667,1303.0,541.0,1260.0,1155.0,1396.667,1212.0,1890.0,4440.0,1810.0,13633.333,6380.0,4815.0,2280.0,3895.0,1222.0,637.0
2014-01-07,1410.0,55.3,757.667,665.333,1365.0,3686.0,2478.0,3375.0,800.0,677.0,360.0,726.5,825.0,1075.0,1299.0,542.0,1254.0,1123.333,1408.333,1196.0,1886.667,4460.0,1790.0,13500.0,6290.0,4800.0,2260.0,3880.0,1234.0,641.333
2014-01-08,1426.667,56.9,779.0,672.333,1387.5,3774.0,2484.0,3290.0,808.75,692.0,365.0,740.0,852.0,1083.333,1323.0,559.0,1260.0,1133.333,1493.333,1202.0,1916.667,4495.0,1813.333,13783.333,6430.0,4820.0,2340.0,3955.0,1284.0,659.667
2014-01-09,1420.0,56.2,763.333,666.0,1382.5,3664.0,2448.0,3180.0,808.75,681.0,378.8,735.0,843.0,1050.0,1316.0,550.0,1254.0,1136.667,1480.0,1176.0,1900.0,4460.0,1783.333,13266.667,6290.0,4815.0,2320.0,3900.0,1276.0,661.0
2014-01-10,1421.667,56.6,772.0,664.667,1397.5,3560.0,2446.0,3195.0,807.5,686.0,367.0,736.5,846.0,1043.333,1316.0,544.0,1258.0,1118.333,1465.0,1172.0,1913.333,4510.0,1793.333,13700.0,6260.0,4820.0,2370.0,3945.0,1260.0,668.667
2014-01-13,1421.667,56.6,772.0,664.667,1397.5,3560.0,2446.0,3195.0,807.5,686.0,367.0,736.5,846.0,1043.333,1316.0,544.0,1258.0,1118.333,1465.0,1172.0,1913.333,4510.0,1793.333,13700.0,6260.0,4820.0,2370.0,3945.0,1260.0,668.667
2014-01-14,1371.667,55.86,741.667,656.0,1366.5,3454.0,2397.0,3172.0,770.0,667.0,358.6,726.5,833.0,1034.833,1312.0,526.0,1228.8,1088.333,1422.333,1150.0,1859.667,4370.5,1749.667,13005.0,6004.0,4782.0,2320.0,3846.0,1205.4,644.667
2014-01-15,1383.333,56.17,761.333,667.333,1394.75,3560.0,2469.0,3221.0,786.25,675.0,361.6,736.0,867.0,1055.833,1340.0,544.0,1247.0,1120.333,1449.667,1169.8,1937.667,4431.5,1798.333,13251.667,6190.0,4840.0,2340.0,3955.0,1236.4,646.667
