Date,ABX.TO,CNQ.TO,ATD.TO,TD.TO,IFC.TO,CVE.TO,SU.TO,ENB.TO,BMO.TO,FNV.TO,AEM.TO,BN.TO,T.TO,CSU.TO,NA.TO,BCE.TO,CM.TO,WCN.TO,MFC.TO,BNS.TO,L.TO,RCI-B.TO,TRP.TO,CNR.TO,IMO.TO,TRI.TO,RY.TO,CP.TO,WPM.TO,SLF.TO
2014-01-02,19.54,17.311,13.285,49.435,69.02,30.21,36.79,46.2,70.73,44.62,29.42,9.888,18.31,225.01,44.155,45.75,45.035,35.943,20.73,66.01,8.503,47.66,44.102,60.24,46.62,45.648,71.59,31.874,22.71,37.01
2014-01-03,19.31,17.155,13.302,49.425,68.78,29.97,36.58,46.09,71.04,44.12,28.81,9.876,18.39,224.71,44.125,45.62,44.73,35.929,20.88,65.46,8.398,47.28,43.947,60.08,46.47,45.762,71.39,31.89,22.47,36.91
2014-01-06,19.58,17.13,13.25,48.995,68.75,29.61,36.58,45.67,70.84,44.42,29.17,9.823,18.175,224.5,43.63,45.33,44.395,35.819,20.79,64.74,8.424,47.3,43.245,59.27,45.98,45.808,70.7,31.422,22.77,36.75
2014-01-07,19.67,17.218,13.667,48.955,68.5,30.01,37.17,46.17,70.94,44.46,29.37,9.758,18.415,225.64,43.515,45.51,44.215,35.431,20.85,64.48,8.412,47.6,43.373,59.58,46.58,45.911,70.97,31.646,22.91,36.62
2014-01-08,19.37,17.258,13.283,49.04,69.0,29.77,37.47,46.57,71.0,44.28,28.93,9.703,18.3,227.29,43.54,45.35,44.01,35.514,21.35,64.4,8.692,47.74,43.537,58.63,45.97,45.773,71.0,31.548,22.74,37.35
2014-01-09,19.24,17.194,13.337,49.03,68.9,29.78,37.29,47.14,71.21,44.93,28.22,9.682,18.14,225.3,43.965,45.27,44.315,36.026,21.99,64.51,8.764,47.05,43.865,58.57,46.07,46.036,71.12,32.238,22.09,38.01
2014-01-10,19.82,17.723,13.375,48.845,69.3,29.96,37.96,47.2,71.35,45.9,29.68,9.77,18.29,222.61,44.05,46.15,44.11,36.262,22.09,64.43,8.859,47.3,43.783,59.39,46.21,46.803,71.18,33.414,23.26,38.19
2014-01-13,19.73,17.556,13.133,48.9,69.49,29.76,37.27,46.71,71.7,46.94,31.03,9.722,18.405,223.43,44.05,46.41,44.325,35.694,21.59,64.27,8.842,47.04,43.938,58.83,45.36,46.551,71.21,32.688,23.58,37.74
2014-01-14,19.49,17.61,13.017,48.64,68.93,29.6,37.24,46.55,71.6,46.35,30.43,9.828,18.515,223.25,43.665,46.72,44.1,35.625,21.58,63.68,8.816,47.86,43.993,58.29,45.39,46.414,70.9,32.742,23.29,37.65
2014-01-15,19.78,17.576,13.28,48.8,69.4,29.59,37.35,46.36,71.74,47.29,31.46,9.914,18.605,226.26,44.005,46.63,44.395,35.708,21.96,63.73,8.907,47.53,43.865,59.73,45.66,46.791,71.06,32.85,23.61,38.2
2014-01-16,19.92,17.576,13.14,48.905,68.95,29.56,37.54,46.72,72.26,47.89,31.12,9.909,18.75,228.94,44.085,46.52,44.38,35.625,21.91,63.61,8.889,47.43,44.047,58.64,45.95,46.894,71.36,32.704,23.85,38.4
2014-01-17,20.61,17.493,13.498,49.055,69.23,29.53,37.38,46.84,72.65,49.36,32.21,9.955,18.685,233.35,44.38,46.56,44.465,35.694,21.91,63.86,8.933,47.4,44.312,58.58,45.99,47.146,71.86,32.788,24.49,38.42
2014-01-20,21.56,17.453,13.433,49.38,69.87,29.7,37.54,46.46,72.84,49.9,32.85,10.027,18.78,231.12,44.79,47.01,44.68,35.805,22.04,64.88,8.939,47.75,44.12,59.11,46.3,47.729,72.86,32.87,25.07,38.51
2014-01-21,21.09,17.507,13.54,49.455,69.4,29.5,37.5,46.71,72.71,49.96,32.69,9.904,18.7,231.74,44.515,46.68,44.595,35.929,21.9,64.74,8.828,47.45,44.184,58.88,46.32,47.626,72.98,32.706,24.82,38.41
2014-01-22,20.81,17.698,13.667,49.62,68.95,29.66,37.99,47.23,73.02,49.51,31.62,10.036,18.615,233.95,44.56,46.72,44.745,36.012,22.21,64.6,8.77,47.51,44.521,59.41,46.62,47.386,73.18,33.056,24.54,38.67
2014-01-23,21.43,17.718,13.555,49.41,68.93,29.52,37.8,47.21,72.72,51.41,33.91,10.132,18.625,232.6,43.96,46.75,44.46,35.652,21.8,64.21,8.738,47.33,44.676,59.7,46.35,47.009,71.42,32.82,25.01,38.38
2014-01-24,21.05,17.37,13.483,49.055,68.16,29.18,36.91,46.62,72.0,51.91,34.17,9.981,18.36,226.32,43.375,46.03,44.14,35.472,20.86,63.05,8.637,46.98,44.157,57.93,45.82,45.922,70.49,31.376,24.41,36.86
2014-01-27,20.61,17.321,13.25,48.5,67.5,28.87,36.32,46.69,70.46,50.31,33.54,9.861,18.5,234.0,42.73,45.96,43.4,35.68,20.56,61.69,8.605,46.85,44.257,57.95,45.72,45.899,69.38,31.5,23.81,36.25
2014-01-28,20.96,17.777,13.485,48.575,67.83,29.03,36.72,46.59,70.54,52.03,34.11,9.972,18.805,235.95,42.56,45.83,43.615,35.846,20.87,61.88,8.623,46.7,44.102,57.78,45.75,46.105,69.54,31.63,24.44,36.87
2014-01-29,21.83,17.63,13.483,48.22,66.89,28.94,36.44,46.35,70.21,54.23,35.34,9.811,18.73,236.1,41.9,46.32,43.475,34.836,20.5,61.35,8.654,46.3,43.172,58.08,45.79,45.968,68.77,33.0,24.69,36.37
2014-01-30,21.45,17.649,13.673,48.585,66.56,29.21,36.5,46.61,69.37,54.06,34.23,10.072,19.35,239.25,42.16,46.66,43.4,34.531,20.87,61.79,8.68,46.65,43.601,59.34,45.52,46.391,69.72,34.2,24.32,36.95
2014-01-31,21.46,17.884,13.708,48.16,67.8,29.14,36.59,46.76,68.06,54.05,34.66,10.132,19.465,239.33,41.72,46.76,43.285,35.445,20.55,61.1,8.645,46.85,44.139,59.61,45.55,45.956,68.93,33.768,24.19,36.73
2014-02-03,21.42,17.703,13.667,47.89,67.0,28.53,35.64,46.3,67.62,52.83,35.21,9.962,19.22,236.23,41.6,46.06,42.905,34.531,19.62,60.59,8.519,46.07,44.011,58.71,45.45,45.11,68.5,32.68,23.92,35.43
2014-02-04,21.21,18.11,13.655,47.62,67.51,28.65,35.01,45.89,67.4,54.43,34.61,9.864,18.86,238.43,42.005,45.5,42.745,34.905,19.75,60.24,8.505,45.48,43.5,59.32,45.41,44.893,68.06,32.874,24.12,35.39
2014-02-05,20.56,18.428,13.772,47.86,66.75,28.91,35.21,45.85,68.1,54.02,34.52,9.756,18.525,238.08,42.14,45.37,43.3,34.988,19.95,60.94,8.428,44.96,43.592,59.43,45.18,45.144,69.08,32.83,24.07,36.03
2014-02-06,20.46,18.565,13.653,48.63,66.26,29.4,35.79,46.25,69.02,52.59,34.55,9.876,18.75,238.52,42.53,46.3,43.76,34.919,20.16,61.99,8.439,45.57,44.057,60.06,46.09,45.808,69.98,33.34,24.31,36.87
2014-02-07,20.88,18.536,14.122,48.58,67.6,29.29,36.26,46.54,69.3,54.77,35.67,9.909,18.75,236.02,42.41,46.58,43.725,34.919,20.22,61.7,8.507,45.35,44.266,60.66,45.89,45.785,70.1,33.544,24.97,37.13
2014-02-10,21.35,18.31,14.122,48.61,66.66,29.19,36.14,46.61,69.54,56.52,37.53,10.036,18.67,237.5,42.295,46.79,43.845,35.057,20.02,61.75,8.471,45.18,44.503,60.75,45.82,45.728,69.98,33.544,25.85,37.03
2014-02-11,21.56,18.448,14.113,48.53,67.15,29.33,36.02,46.72,69.73,57.18,37.57,10.091,18.65,242.25,42.635,46.75,43.995,35.196,20.48,62.01,8.455,45.69,44.521,61.05,45.94,46.002,70.12,33.662,26.74,37.16
2014-02-12,20.81,18.854,14.315,48.7,66.94,29.64,36.16,46.88,70.51,54.97,36.16,10.213,18.53,240.39,43.05,46.88,44.16,35.528,20.91,62.33,8.428,43.28,44.786,61.7,46.88,43.177,70.55,34.0,26.1,37.53
2014-02-13,22.08,18.986,14.498,48.98,67.85,28.77,36.8,47.37,71.07,57.2,36.77,10.247,18.665,249.49,43.5,47.03,44.495,37.494,20.9,63.17,8.513,43.04,45.424,61.75,47.27,43.097,71.2,34.046,27.17,38.35
2014-02-14,22.36,18.854,14.678,49.28,67.2,28.41,36.72,47.82,71.34,57.01,37.1,10.36,18.915,250.49,43.81,47.07,44.69,38.505,21.41,63.29,8.553,43.28,45.369,61.87,47.71,43.097,71.21,33.974,27.88,38.87
2014-02-17,22.36,18.854,14.678,49.28,67.2,28.41,36.72,47.82,71.34,57.01,37.1,10.36,18.915,250.49,43.81,47.07,44.69,38.505,21.41,63.29,8.553,43.28,45.369,61.87,47.71,43.097,71.21,33.974,27.88,38.87
2014-02-18,22.3,19.187,14.45,49.25,66.75,28.37,36.61,47.41,71.71,57.59,36.92,10.46,18.965,248.53,43.43,47.14,44.745,38.159,21.1,63.37,8.501,42.94,45.314,61.28,47.81,43.257,71.45,34.346,28.21,39.0
2014-02-19,21.91,19.897,14.233,49.52,66.8,28.49,36.98,47.45,72.27,56.64,35.83,10.664,18.93,249.56,43.76,47.46,44.94,37.757,21.07,63.7,8.497,42.76,45.488,61.65,48.45,43.543,72.39,34.554,27.62,39.37
2014-02-20,23.29,20.024,14.75,49.84,66.85,28.41,36.73,47.61,72.44,59.12,37.99,10.671,18.98,250.54,43.85,47.57,45.065,38.172,21.19,63.95,8.901,42.9,44.512,61.87,48.62,43.577,72.8,34.728,28.79,39.47
2014-02-21,23.29,20.152,14.585,49.65,66.76,28.54,36.65,47.77,72.67,58.51,38.13,10.664,19.39,247.46,43.5,47.82,45.05,38.103,21.35,63.32,9.027,42.87,44.622,61.98,48.65,43.863,72.56,34.754,28.74,39.86
2014-02-24,23.52,20.093,14.695,49.44,66.71,28.89,36.97,47.52,72.57,59.0,37.97,10.796,19.64,237.43,43.61,47.95,45.045,37.882,21.2,63.51,9.102,42.69,44.695,62.26,49.2,44.081,72.49,34.974,28.6,39.61
