date,open,high,low,close,volume
2013/1/1,18.23,19.12,18.18,19.01,659492400
2013/1/2,19.78,19.82,19.34,19.61,560518000
2013/1/3,19.57,19.63,19.32,19.36,352965200
2013/1/4,19.18,19.24,18.78,18.82,594333600
2013/1/7,18.64,18.9,18.4,18.71,484156400
2013/1/8,18.9,19,18.62,18.76,458707200
2013/1/9,18.66,18.75,18.43,18.47,407604400
2013/1/10,18.88,18.88,18.41,18.7,601146000
2013/1/11,18.61,18.76,18.54,18.58,350506800
2013/1/14,17.95,18.12,17.8,17.92,734207600
2013/1/15,17.8,17.82,17.26,17.35,876772400
2013/1/16,17.67,18.19,17.59,18.07,690804800
2013/1/17,18.23,18.24,17.93,17.95,453678400
2013/1/18,17.8,17.94,17.73,17.86,472922800
2013/1/21,17.8,17.94,17.73,17.86,472922800
2013/1/22,18.02,18.14,17.74,18.03,461546400
2013/1/23,18.17,18.39,18.03,18.36,861509600
2013/1/24,16.43,16.63,16.08,16.09,1460852400
2013/1/25,16.13,16.29,15.54,15.71,1208026400
2013/1/28,15.64,16.19,15.57,16.07,785517600
2013/1/29,16.38,16.44,16.15,16.37,571158000
2013/1/30,16.32,16.52,16.23,16.32,417155200
2013/1/31,16.32,16.4,16.25,16.27,319334400
2013/2/1,16.4,16.41,16.01,16.2,539484400
2013/2/4,16.21,16.28,15.79,15.8,477117200
2013/2/5,15.86,16.42,15.79,16.35,573347600
2013/2/6,16.3,16.66,16.16,16.33,593706400
2013/2/7,16.54,16.79,16.22,16.72,704580800
2013/2/8,16.93,17.1,16.72,16.96,633158400
2013/2/11,17.02,17.32,16.9,17.14,517490400
2013/2/12,17.13,17.23,16.7,16.71,609053200
2013/2/13,16.69,16.92,16.54,16.68,475207600
2013/2/14,16.59,16.84,16.57,16.66,355275200
2013/2/15,16.74,16.79,16.43,16.43,391745200
2013/2/18,16.74,16.79,16.43,16.43,391745200
2013/2/19,16.47,16.53,16.21,16.43,435783600
2013/2/20,16.35,16.35,16.03,16.03,476302400
2013/2/21,15.93,16.04,15.81,15.93,447182400
2013/2/22,16.04,16.13,15.95,16.1,330654800
2013/2/25,16.21,16.25,15.81,15.81,372579200
2013/2/26,15.85,16.13,15.63,16.03,501499600
2013/2/27,16.02,16.16,15.74,15.88,587350400
2013/2/28,15.86,16,15.76,15.76,322515200
2013/3/1,15.64,15.65,15.36,15.37,552448400
2013/3/4,15.28,15.29,14.96,15,582755600
2013/3/5,15.05,15.54,15.03,15.4,638433600
2013/3/6,15.52,15.54,15.16,15.2,460250000
2013/3/7,15.16,15.43,15.04,15.38,468473600
2013/3/8,15.35,15.55,15.31,15.42,391482000
2013/3/11,15.35,15.68,15.18,15.64,474236000
2013/3/12,15.56,15.67,15.27,15.3,465911600
2013/3/13,15.3,15.52,15.19,15.3,405549200
2013/3/14,15.46,15.52,15.37,15.45,303875600
2013/3/15,15.64,15.87,15.62,15.85,643960800
2013/3/18,15.77,16.34,15.76,16.28,606197200
2013/3/19,16.41,16.46,16.02,16.23,526775200
2013/3/20,16.34,16.34,16.06,16.15,308660800
2013/3/21,16.08,16.36,16.08,16.17,383255600
2013/3/22,16.24,16.5,16.18,16.5,395105200
2013/3/25,16.6,16.78,16.49,16.56,501135600
2013/3/26,16.62,16.64,16.45,16.47,294294000
2013/3/27,16.3,16.31,16.1,16.15,331237200
2013/3/28,16.07,16.14,15.77,15.81,442839600
2013/3/29,16.07,16.14,15.77,15.81,442839600
2013/4/1,15.78,15.85,15.28,15.32,389732000
2013/4/2,15.27,15.65,15.23,15.35,529519200
2013/4/3,15.41,15.62,15.37,15.43,363216000
2013/4/4,15.49,15.54,15.19,15.28,358447600
2013/4/5,15.16,15.18,14.99,15.11,383695200
2013/4/8,15.17,15.27,15.09,15.22,300829200
2013/4/9,15.23,15.3,15.1,15.25,306614000
2013/4/10,15.29,15.61,15.21,15.56,375928000
2013/4/11,15.49,15.64,15.4,15.51,328364400
2013/4/12,15.51,15.51,15.32,15.35,238613200
2013/4/15,15.25,15.28,14.98,14.99,317520000
2013/4/16,15.06,15.24,15.02,15.22,305771200
2013/4/17,15.01,15.02,14.22,14.39,945056000
2013/4/18,14.46,14.49,13.92,14,666299200
2013/4/19,13.86,14.27,13.75,13.95,609274400
2013/4/22,14.02,14.36,13.97,14.24,429920400
2013/4/23,14.43,14.59,14.24,14.5,664238400
2013/4/24,14.06,14.83,14.02,14.48,969651200
2013/4/25,14.69,14.78,14.54,14.59,384837600
2013/4/26,14.64,14.96,14.58,14.9,764097600
2013/4/29,15.02,15.49,15,15.36,640326400
2013/4/30,15.54,15.9,15.43,15.81,691538400
2013/5/1,15.87,15.89,15.51,15.69,506909200
2013/5/2,15.78,16.02,15.74,15.91,421828400
2013/5/3,16.12,16.19,16.04,16.07,361300800
2013/5/6,16.28,16.51,16.23,16.45,496641600
2013/5/7,16.61,16.63,16.2,16.38,483753200
2013/5/8,16.39,16.62,16.28,16.57,472598000
2013/5/9,16.42,16.54,16.27,16.31,398487600
2013/5/10,16.36,16.42,16.09,16.18,334852000
2013/5/13,16.13,16.35,16.12,16.24,316948800
2013/5/14,16.21,16.26,15.79,15.85,447118000
2013/5/15,15.68,15.75,15.08,15.32,741613600
2013/5/16,15.12,15.64,14.96,15.52,603204000
2013/5/17,15.68,15.72,15.39,15.47,427904400
2013/5/20,15.43,15.92,15.36,15.82,451578400
2013/5/21,15.65,15.91,15.51,15.7,456022000
2013/5/22,15.86,16.01,15.65,15.76,443038400
2013/5/23,15.57,15.93,15.56,15.79,353021200
2013/5/24,15.74,15.92,15.73,15.9,276166800
2013/5/27,15.74,15.92,15.73,15.9,276166800
2013/5/28,16.07,16.11,15.74,15.77,386145200
2013/5/29,15.71,15.98,15.69,15.89,330576400
2013/5/30,15.92,16.23,15.88,16.13,353519600
2013/5/31,16.16,16.33,16.05,16.06,384302800
2013/6/3,16.1,16.16,15.8,16.1,372352400
2013/6/4,16.19,16.23,15.98,16.05,292728800
2013/6/5,15.92,16.1,15.85,15.9,290589600
2013/6/6,15.91,15.96,15.5,15.66,416934000
2013/6/7,15.59,15.83,15.46,15.78,404535600
2013/6/10,15.88,16.04,15.6,15.67,450153200
2013/6/11,15.56,15.81,15.48,15.63,286112400
2013/6/12,15.7,15.76,15.41,15.44,265227200
2013/6/13,15.45,15.61,15.31,15.57,285832400
2013/6/14,15.55,15.58,15.3,15.36,271866000
2013/6/17,15.41,15.56,15.37,15.43,259414400
2013/6/18,15.41,15.53,15.36,15.42,195025600
