date,open,high,low,close,volume
2013/1/1,12.19,12.62,12.14,12.54,68380000
2013/1/2,12.80,12.90,12.66,12.87,65420000
2013/1/3,12.86,13.04,12.82,12.92,55018000
2013/1/4,12.88,12.99,12.83,12.96,37484000
2013/1/7,13.15,13.49,13.13,13.42,98200000
2013/1/8,13.35,13.45,13.18,13.32,60214000
2013/1/9,13.41,13.48,13.27,13.32,45312000
2013/1/10,13.43,13.44,13.11,13.27,57268000
2013/1/11,13.26,13.42,13.21,13.40,48266000
2013/1/14,13.40,13.71,13.38,13.64,85500000
2013/1/15,13.53,13.64,13.47,13.60,46538000
2013/1/16,13.53,13.56,13.39,13.45,41312000
2013/1/17,13.57,13.60,13.46,13.52,37692000
2013/1/18,13.54,13.73,13.48,13.61,58840000
2013/1/21,13.54,13.73,13.48,13.61,58840000
2013/1/22,13.58,13.60,13.46,13.51,42754000
2013/1/23,13.53,13.55,13.33,13.41,50178000
2013/1/24,13.47,13.83,13.47,13.67,68340000
2013/1/25,13.75,14.24,13.72,14.20,99362000
2013/1/28,14.19,14.22,13.72,13.80,86428000
2013/1/29,13.77,13.77,12.92,13.02,203452000
2013/1/30,14.15,14.21,13.36,13.64,261508000
2013/1/31,13.55,13.80,13.19,13.27,135442000
2013/2/1,13.45,13.45,13.14,13.25,122300000
2013/2/4,13.14,13.23,12.95,13.00,74472000
2013/2/5,13.10,13.40,13.07,13.34,80258000
2013/2/6,13.26,13.34,13.06,13.11,55408000
2013/2/7,13.20,13.20,12.76,13.01,79514000
2013/2/8,13.07,13.26,13.03,13.10,77584000
2013/2/11,13.16,13.16,12.83,12.86,68074000
2013/2/12,12.96,13.01,12.85,12.94,58874000
2013/2/13,13.08,13.50,13.02,13.47,105860000
2013/2/14,13.37,13.53,13.27,13.46,69260000
2013/2/15,13.38,13.45,13.16,13.25,79598000
2013/2/18,13.38,13.45,13.16,13.25,79598000
2013/2/19,13.30,13.51,13.23,13.49,57084000
2013/2/20,13.51,13.72,13.32,13.32,70578000
2013/2/21,13.26,13.47,13.16,13.30,72748000
2013/2/22,13.33,13.36,13.08,13.27,62496000
2013/2/25,13.35,13.43,12.98,12.99,60648000
2013/2/26,13.04,13.10,12.79,12.97,66972000
2013/2/27,12.97,13.29,12.84,13.16,58162000
2013/2/28,13.09,13.35,13.03,13.21,53344000
2013/3/1,13.16,13.33,13.05,13.29,59140000
2013/3/4,13.27,13.66,13.21,13.66,69060000
2013/3/5,13.70,13.83,13.50,13.78,73724000
2013/3/6,13.79,13.82,13.59,13.69,41014000
2013/3/7,13.70,13.74,13.59,13.69,38780000
2013/3/8,13.75,13.77,13.57,13.71,37596000
2013/3/11,13.67,13.70,13.52,13.56,38098000
2013/3/12,13.55,13.87,13.52,13.71,64924000
2013/3/13,13.76,13.82,13.63,13.76,37684000
2013/3/14,13.48,13.50,13.18,13.29,104534000
2013/3/15,13.25,13.36,13.00,13.09,97318000
2013/3/18,12.97,13.07,12.86,12.89,54404000
2013/3/19,12.92,12.98,12.63,12.82,74770000
2013/3/20,12.90,12.99,12.73,12.86,54778000
2013/3/21,12.81,12.85,12.63,12.67,56128000
2013/3/22,12.73,12.89,12.60,12.89,62492000
2013/3/25,12.93,12.97,12.73,12.80,50278000
2013/3/26,12.85,13.07,12.81,13.02,48420000
2013/3/27,12.94,13.30,12.90,13.27,57498000
2013/3/28,13.29,13.37,13.20,13.32,49474000
2013/3/29,13.29,13.37,13.20,13.32,49474000
2013/4/1,13.35,13.37,13.05,13.08,50496000
2013/4/2,13.12,13.29,13.03,13.17,52622000
2013/4/3,13.11,13.18,12.89,12.95,48276000
2013/4/4,12.96,13.02,12.81,12.95,39288000
2013/4/5,12.79,12.81,12.68,12.77,51148000
2013/4/8,12.80,12.98,12.78,12.95,45912000
2013/4/9,12.94,13.13,12.85,13.06,43132000
2013/4/10,13.09,13.30,12.97,13.24,46450000
2013/4/11,13.24,13.55,13.24,13.49,61810000
2013/4/12,13.51,13.66,13.35,13.64,57326000
2013/4/15,13.55,13.76,13.35,13.39,66520000
