date,open,high,low,close,volume
2013/1/1,56.47,57.49,56.24,57.48,5604600
2013/1/2,58.33,58.95,58.31,58.75,6091400
2013/1/3,58.80,59.26,58.63,59.00,5017000
2013/1/4,59.08,59.66,58.46,59.61,4017200
2013/1/7,59.28,59.99,59.28,59.86,3859400
2013/1/8,59.68,60.32,59.53,60.20,4960900
2013/1/9,60.42,60.90,60.15,60.26,5885600
2013/1/10,60.44,60.79,60.09,60.79,6545300
2013/1/11,60.50,61.97,60.31,61.24,10492500
2013/1/14,60.78,61.39,60.71,61.21,5176600
2013/1/15,60.15,60.84,60.03,60.76,6399000
2013/1/16,60.82,60.85,60.48,60.62,4020900
2013/1/17,61.10,61.20,60.58,60.74,4684200
2013/1/18,59.87,60.28,58.90,59.78,9935600
2013/1/21,59.87,60.28,58.90,59.78,9935600
2013/1/22,59.62,59.90,59.01,59.40,7228400
2013/1/23,59.22,59.29,58.80,58.93,6265300
2013/1/24,59.14,59.51,59.01,59.30,5430800
2013/1/25,59.57,59.70,59.19,59.50,4124000
2013/1/28,59.36,59.55,58.70,59.07,5216200
2013/1/29,59.08,59.57,58.95,59.45,5533100
2013/1/30,59.24,59.67,59.16,59.33,5894100
2013/1/31,59.37,59.82,58.81,58.81,5940900
2013/2/1,59.33,60.12,59.30,59.91,6036400
2013/2/4,59.46,59.74,59.21,59.41,4618600
2013/2/5,59.78,60.90,59.68,60.66,6394000
2013/2/6,59.93,60.81,59.93,60.56,6304600
2013/2/7,60.56,62.34,60.55,62.14,11977900
2013/2/8,62.06,62.33,61.48,61.80,6734900
2013/2/11,61.70,62.05,61.36,61.98,3436100
2013/2/12,62.09,62.56,61.95,62.20,4255200
2013/2/13,62.45,62.76,61.89,62.10,3409000
2013/2/14,62.08,62.65,61.83,62.34,4432600
2013/2/15,62.57,62.68,61.43,61.69,5354400
2013/2/18,62.57,62.68,61.43,61.69,5354400
2013/2/19,61.67,62.40,61.67,62.28,3598900
2013/2/20,62.06,62.47,61.87,61.91,5532700
2013/2/21,61.87,62.00,61.14,61.54,5287500
2013/2/22,61.86,62.58,61.79,62.57,5197100
2013/2/25,62.77,63.00,61.99,62.02,8624700
2013/2/26,62.06,62.18,61.55,61.92,5938100
2013/2/27,61.73,62.60,61.63,62.50,4755400
2013/2/28,62.43,62.65,61.88,62.15,5366500
2013/3/1,61.84,62.49,61.51,62.37,5265100
2013/3/4,62.22,63.00,62.04,62.89,4687900
2013/3/5,63.26,64.42,63.06,64.12,7315900
2013/3/6,64.41,64.94,64.35,64.65,5780900
2013/3/7,64.73,64.88,64.14,64.56,4446500
2013/3/8,64.66,64.76,63.67,64.70,5810000
2013/3/11,64.73,65.62,64.71,65.50,5307700
2013/3/12,65.63,65.79,65.06,65.29,5303700
2013/3/13,65.24,65.60,65.12,65.30,4203900
2013/3/14,65.42,65.75,65.29,65.38,3760100
2013/3/15,65.64,66.43,65.34,66.09,10265700
2013/3/18,65.06,66.13,64.76,65.78,4880300
2013/3/19,65.99,66.14,64.80,65.13,4587400
2013/3/20,65.45,66.14,65.45,66.00,4137800
2013/3/21,65.83,65.99,65.25,65.41,3600100
2013/3/22,65.59,66.35,65.54,66.22,3860600
2013/3/25,66.59,66.77,65.82,66.10,6599300
2013/3/26,66.40,67.24,66.37,67.17,4295600
2013/3/27,66.60,67.26,66.60,67.15,2905000
2013/3/28,67.31,67.48,67.00,67.46,4354300
2013/3/29,67.31,67.48,67.00,67.46,4354300
2013/4/1,67.42,67.75,67.01,67.26,3012600
2013/4/2,67.38,67.76,67.10,67.64,3921600
2013/4/3,67.66,67.69,66.04,66.25,5102000
2013/4/4,66.42,66.96,66.30,66.73,3633900
2013/4/5,65.77,65.80,64.77,65.30,6898300
2013/4/8,65.56,65.78,65.13,65.60,4662200
2013/4/9,65.64,65.68,65.15,65.22,4882200
2013/4/10,65.45,65.58,65.36,65.40,7882100
2013/4/11,65.47,65.93,65.20,65.74,6357700
2013/4/12,65.46,65.85,65.18,65.68,3967600
2013/4/15,65.53,65.60,64.09,64.10,7008600
2013/4/16,64.50,65.05,64.27,64.59,6198900
2013/4/17,64.12,64.31,63.43,64.13,6925000
2013/4/18,64.04,65.89,63.64,65.04,10457800
2013/4/19,65.33,67.25,65.33,67.24,8461600
2013/4/22,67.12,67.25,66.25,66.66,5791500
2013/4/23,66.81,67.54,66.64,67.45,4779900
2013/4/24,67.41,67.62,67.04,67.42,4077700
2013/4/25,67.75,69.05,67.64,68.13,5834100
2013/4/26,68.12,68.40,67.57,67.75,4355300
2013/4/29,68.01,68.20,67.61,67.63,2931000
2013/4/30,67.88,68.48,67.60,68.41,4685400
2013/5/1,68.25,68.85,68.16,68.28,3767300
2013/5/2,68.43,69.47,68.37,69.38,3575900
2013/5/3,69.92,71.09,69.90,70.23,6986600
2013/5/6,70.22,70.58,69.95,70.06,4685300
2013/5/7,70.07,70.46,69.96,70.24,4374900
2013/5/8,69.92,70.42,69.57,70.31,3587500
2013/5/9,70.25,70.51,69.71,70.21,3754900
2013/5/10,70.16,70.25,69.65,70.08,3543100
2013/5/13,70.09,70.21,69.34,69.79,5139300
2013/5/14,69.95,71.61,69.85,71.51,6114300
2013/5/15,71.33,73.04,71.33,72.78,5215300
2013/5/16,72.61,72.95,72.13,72.23,3861500
2013/5/17,72.28,73.38,72.26,73.32,4866500
2013/5/20,73.31,74.54,73.22,74.40,5345300
2013/5/21,74.47,75.46,74.40,75.11,5130200
2013/5/22,75.43,77.01,74.28,74.44,12449000
2013/5/23,73.88,74.99,73.61,74.69,7985100
2013/5/24,74.09,75.35,73.98,75.27,5564000
2013/5/27,74.09,75.35,73.98,75.27,5564000
2013/5/28,75.91,77.12,75.89,76.16,7341400
2013/5/29,75.80,76.65,75.39,75.83,5679200
2013/5/30,76.02,76.90,75.92,76.14,5417400
2013/5/31,76.13,77.39,75.71,75.71,7187700
2013/6/3,75.89,76.67,75.63,76.47,6777800
2013/6/4,76.50,77.24,75.96,76.06,5667700
2013/6/5,75.98,76.28,74.64,74.76,6267300
2013/6/6,74.75,76.25,74.64,76.24,5455600
2013/6/7,76.68,78.12,76.45,78.04,6826100
2013/6/10,77.98,78.61,77.69,78.28,4035100
2013/6/11,77.61,77.85,76.50,76.52,5442800
2013/6/12,76.94,77.00,74.68,74.72,7057200
2013/6/13,74.46,75.26,73.79,75.21,6738900
2013/6/14,74.79,74.98,72.72,72.97,8451000
2013/6/17,73.69,74.21,73.39,73.84,6020900
2013/6/18,74.08,75.47,74.03,74.98,5714700
2013/6/19,74.92,75.10,74.19,74.23,5989300
2013/6/20,73.76,74.00,72.81,72.92,5656500
2013/6/21,73.38,73.79,72.37,73.31,7547300
2013/6/24,72.57,72.84,71.68,72.01,6293100
2013/6/25,72.63,73.65,72.56,73.23,4754200
2013/6/26,73.64,74.25,73.33,73.90,4894200
2013/6/27,74.38,75.43,74.38,75.12,4215300
2013/6/28,75.01,75.33,74.33,74.76,7964400
2013/7/1,75.53,76.46,75.43,75.64,5007600
