date,open,high,low,close,volume
2013/1/1,74.61,75.41,74.00,75.36,4939000
2013/1/2,76.55,77.33,76.45,77.07,5036400
2013/1/3,76.99,77.98,76.37,77.47,3987000
2013/1/4,77.79,78.02,77.44,77.69,3431700
2013/1/7,77.54,77.69,75.34,76.13,7172600
2013/1/8,75.24,75.81,73.11,74.13,20268100
2013/1/9,74.92,76.81,74.91,76.76,10915800
2013/1/10,76.93,77.12,76.16,77.09,5026600
2013/1/11,75.71,76.10,74.60,75.16,9808500
2013/1/14,75.23,76.59,74.90,76.55,6221100
2013/1/15,76.21,76.98,76.18,76.94,3900600
2013/1/16,73.85,74.64,73.56,74.34,18212000
2013/1/17,72.78,75.63,72.68,75.26,21849200
2013/1/18,75.16,75.16,74.29,75.04,10829000
2013/1/21,75.16,75.16,74.29,75.04,10829000
2013/1/22,74.12,74.27,73.77,74.16,9161900
2013/1/23,73.99,74.59,73.45,74.29,7784900
2013/1/24,74.41,75.54,74.41,75.32,7292200
2013/1/25,75.29,75.42,74.79,75.03,6163200
2013/1/28,73.90,74.65,73.89,74.00,7759000
2013/1/29,74.24,74.24,73.00,73.65,9296800
2013/1/30,74.42,74.75,73.73,74.59,10048600
2013/1/31,74.50,74.62,73.76,73.87,7639000
2013/2/1,74.49,75.07,74.23,74.87,6749300
2013/2/4,74.29,75.53,74.25,75.21,5799800
2013/2/5,75.69,76.98,75.61,75.89,6831200
2013/2/6,75.47,76.30,75.40,76.29,4716600
2013/2/7,76.32,77.54,76.28,77.43,7773000
2013/2/8,77.24,77.39,76.28,76.56,5100400
2013/2/11,76.42,76.44,75.85,75.87,3677100
2013/2/12,76.06,76.25,75.83,75.99,3597400
2013/2/13,75.67,75.83,74.63,74.78,4313500
2013/2/14,74.69,75.31,74.54,74.93,3830400
2013/2/15,75.26,75.26,74.72,75.03,3650700
2013/2/18,75.26,75.26,74.72,75.03,3650700
2013/2/19,74.99,75.19,74.27,74.65,3882500
2013/2/20,75.64,76.25,74.75,74.78,7551300
2013/2/21,74.96,76.18,74.91,76.01,7438600
2013/2/22,76.70,77.03,76.48,76.66,5391200
2013/2/25,76.83,76.90,75.03,75.03,4936300
2013/2/26,75.43,75.91,75.14,75.65,3436700
2013/2/27,75.53,77.93,75.53,77.36,7160000
2013/2/28,77.24,77.73,76.40,76.90,5593400
2013/3/1,76.70,77.59,76.58,77.28,6024200
2013/3/4,76.95,77.40,76.17,77.09,4748600
2013/3/5,77.45,78.85,77.11,78.66,5693200
2013/3/6,78.67,79.28,78.49,79.08,3826100
2013/3/7,79.37,81.95,79.37,81.05,10029900
2013/3/8,81.16,81.70,80.72,81.23,5231700
2013/3/11,81.01,83.03,80.96,82.94,5087300
2013/3/12,83.10,84.62,83.00,84.16,6600800
2013/3/13,84.38,84.85,83.52,84.75,7750900
2013/3/14,84.62,85.10,84.13,84.62,5027800
2013/3/15,84.75,86.49,84.50,86.43,8205400
2013/3/18,85.07,85.77,85.04,85.18,4803900
2013/3/19,85.53,86.00,85.24,85.51,5381200
2013/3/20,85.85,86.14,85.18,85.37,3783500
2013/3/21,85.20,85.83,84.18,84.33,3672400
2013/3/22,84.52,85.10,84.52,84.82,2841600
2013/3/25,85.03,85.48,84.34,84.85,3528400
2013/3/26,85.43,86.84,85.41,86.62,5083400
2013/3/27,85.75,86.42,85.05,86.20,3185700
2013/3/28,86.41,86.50,85.42,85.85,4884300
2013/3/29,86.41,86.50,85.42,85.85,4884300
2013/4/1,85.60,86.19,85.03,85.25,2867200
2013/4/2,85.39,85.50,83.80,84.09,4764900
2013/4/3,84.30,85.35,84.07,84.36,3885000
2013/4/4,84.79,85.02,84.21,84.95,3352500
2013/4/5,84.07,86.30,83.91,86.17,6109500
2013/4/8,86.04,86.81,85.38,86.75,5003600
2013/4/9,87.12,87.49,86.19,87.21,6058400
2013/4/10,87.34,88.56,87.06,87.82,4635200
2013/4/11,87.96,89.46,87.84,88.53,5394200
2013/4/12,88.29,88.93,88.00,88.89,2588300
2013/4/15,88.44,88.77,86.77,86.77,4324000
2013/4/16,87.45,88.35,86.43,86.89,5233900
2013/4/17,86.47,87.00,85.78,86.69,3781100
2013/4/18,87.06,87.16,85.75,86.12,2792800
2013/4/19,87.57,88.08,86.57,87.96,6322200
2013/4/22,88.08,88.08,86.44,86.94,4248700
2013/4/23,87.35,88.51,87.20,88.18,3130700
2013/4/24,91.95,92.65,90.42,90.83,9231700
2013/4/25,91.35,92.62,90.07,91.67,5766100
2013/4/26,91.89,93.38,91.67,92.85,5910600
2013/4/29,91.40,92.41,91.19,91.90,6265900
2013/4/30,91.35,91.99,90.82,91.41,4714300
2013/5/1,91.08,91.75,90.72,91.18,4567300
2013/5/2,91.24,92.82,91.20,92.21,4514800
2013/5/3,92.85,93.95,92.67,93.74,4700100
2013/5/6,93.44,94.79,93.36,94.19,5504800
2013/5/7,94.31,95.04,94.06,94.79,3858400
2013/5/8,94.31,94.44,93.77,94.04,3204300
2013/5/9,94.07,95.15,94.04,94.61,3677500
2013/5/10,94.75,94.99,93.82,94.24,3918600
2013/5/13,94.12,95.16,94.10,94.76,3492000
2013/5/14,94.92,96.19,94.70,96.11,4646500
2013/5/15,95.69,97.47,95.60,97.02,4875100
2013/5/16,96.89,97.20,96.30,96.58,5036700
2013/5/17,97.02,99.04,97.00,98.92,7408900
2013/5/20,99.12,99.33,98.52,98.72,6535200
2013/5/21,98.59,99.05,97.90,98.75,4415400
2013/5/22,98.86,99.48,97.86,97.93,8399700
2013/5/23,97.18,99.99,97.06,99.75,6975700
2013/5/24,99.75,100.58,98.85,100.00,6746300
2013/5/27,99.75,100.58,98.85,100.00,6746300
2013/5/28,100.85,101.47,100.11,100.11,5736000
2013/5/29,99.56,100.03,98.90,99.09,4405800
2013/5/30,99.29,100.99,99.06,100.54,4784400
2013/5/31,100.21,100.95,99.02,99.02,4218700
2013/6/3,99.36,100.90,99.30,100.74,6472900
2013/6/4,100.48,100.92,99.08,99.61,3769800
2013/6/5,99.34,99.71,98.05,98.49,5151000
2013/6/6,98.65,99.81,98.42,99.76,4131700
2013/6/7,100.25,102.59,100.06,102.49,5732900
2013/6/10,102.51,102.95,101.51,102.24,4047500
2013/6/11,101.61,102.78,100.90,101.75,3144100
2013/6/12,102.19,102.42,100.61,100.88,2936500
2013/6/13,100.96,102.34,100.85,102.16,4076500
2013/6/14,102.16,103.22,101.50,101.83,3944400
2013/6/17,102.69,103.52,102.52,103.03,4217400
2013/6/18,103.22,104.15,102.65,104.08,4035700
2013/6/19,103.83,104.15,102.24,102.25,4186900
2013/6/20,101.46,101.86,99.38,99.64,7114800
2013/6/21,100.08,100.14,97.42,99.98,10328800
2013/6/24,99.06,99.46,96.31,97.85,5585200
2013/6/25,99.20,99.66,98.18,98.67,3557900
2013/6/26,99.65,101.39,99.57,100.75,5267300
2013/6/27,102.41,103.52,102.01,103.15,6577700
2013/6/28,102.86,103.49,102.32,102.44,5432500
2013/7/1,102.93,104.02,102.93,103.24,4091200
2013/7/2,103.22,103.25,100.82,101.47,4147000
2013/7/3,101.01,103.04,100.78,102.89,2891700
2013/7/4,101.01,103.04,100.78,102.89,2891700
2013/7/5,103.70,104.20,102.75,104.20,3671700
2013/7/8,104.00,105.10,103.44,104.37,4222700
2013/7/9,105.27,105.75,104.46,104.68,3991800
2013/7/10,104.50,105.60,104.41,105.50,3872700
2013/7/11,106.43,107.46,106.29,106.88,4529800
2013/7/12,106.86,108.15,98.99,101.87,44391800
2013/7/15,103.83,105.87,103.10,105.66,13169900
2013/7/16,105.69,105.80,103.78,104.23,5839100
2013/7/17,104.45,105.43,104.42,104.79,3931800
2013/7/18,104.96,107.98,104.80,107.63,8046400
2013/7/19,107.13,107.13,105.61,106.96,5992000
2013/7/22,107.27,107.32,106.45,106.86,4168800
2013/7/23,107.18,107.98,106.34,107.79,5081600
2013/7/24,109.24,109.49,106.26,106.95,7723500
2013/7/25,106.36,107.12,105.85,106.70,5267100
2013/7/26,106.22,106.22,105.31,105.60,4216100
2013/7/29,103.52,105.12,103.50,104.81,4041800
2013/7/30,104.94,106.01,104.80,105.73,5022700
2013/7/31,105.92,106.28,104.99,105.10,4487800
2013/8/1,105.99,107.00,105.78,106.70,4910800
2013/8/2,106.00,107.95,106.00,107.90,4226200
2013/8/5,107.14,107.80,107.14,107.50,3559200
2013/8/6,107.35,107.71,106.62,107.04,5199900
2013/8/7,106.21,106.68,105.53,106.42,3158600
2013/8/8,106.68,107.24,105.83,105.84,3741400
2013/8/9,105.37,106.15,104.88,105.33,3326500
2013/8/12,104.86,105.07,104.05,104.24,3830800
2013/8/13,104.31,106.55,104.27,106.23,3578300
2013/8/14,106.16,106.16,104.07,104.16,4481100
2013/8/15,103.19,103.29,101.77,102.73,4359400
2013/8/16,102.82,103.94,102.70,103.47,3469100
2013/8/19,103.00,105.20,102.88,104.72,3512200
2013/8/20,104.69,105.08,104.55,104.63,3448900
2013/8/21,104.47,104.76,103.60,103.91,3645600
2013/8/22,103.88,105.50,103.88,105.14,2857800
2013/8/23,105.50,105.50,104.80,105.48,3016100
2013/8/26,105.75,106.52,105.21,105.53,2480400
2013/8/27,104.40,105.14,103.06,103.21,4376900
2013/8/28,103.10,103.82,102.57,103.27,2816300
2013/8/29,103.28,105.44,103.00,104.93,3095400
2013/8/30,104.92,104.96,103.60,103.92,2723800
2013/9/2,104.92,104.96,103.60,103.92,2723800
2013/9/3,105.13,105.83,104.66,105.01,3659800
2013/9/4,105.05,107.12,104.62,106.37,3837500
2013/9/5,106.16,106.98,105.67,106.65,2590500
2013/9/6,107.00,107.38,105.11,106.07,3265200
2013/9/9,106.58,107.38,106.56,107.19,2907600
2013/9/10,107.64,108.45,107.40,108.17,3848000
2013/9/11,108.25,109.23,107.80,109.23,3313700
2013/9/12,109.19,110.22,109.14,109.80,4766800
2013/9/13,109.93,111.33,109.56,111.33,3503400
2013/9/16,113.73,115.89,113.26,115.67,7711200
2013/9/17,115.78,117.48,115.59,117.11,5308300
2013/9/18,117.28,119.52,116.55,118.40,6330600
2013/9/19,119.22,120.38,118.81,119.04,5766700
2013/9/20,119.15,119.22,116.63,116.63,8745400
2013/9/23,117.15,118.37,115.80,117.51,5450200
2013/9/24,117.19,119.89,116.80,119.00,5020000
2013/9/25,119.32,119.61,118.16,118.51,3566600
2013/9/26,118.71,119.50,118.51,119.38,2820400
2013/9/27,118.51,119.17,117.79,118.74,2848900
2013/9/30,117.35,117.89,116.37,117.50,4032900
2013/10/1,117.97,118.30,117.08,117.75,2880700
2013/10/2,117.38,117.84,116.28,117.84,2871900
2013/10/3,117.35,117.49,114.73,115.24,4455100
2013/10/4,115.27,117.26,115.25,117.20,3998000
2013/10/7,115.51,117.17,115.40,116.69,3822000
2013/10/8,116.67,117.32,115.42,115.44,4574000
2013/10/9,115.40,115.40,113.34,114.47,4722200
2013/10/10,116.10,119.00,115.91,118.90,5635400
2013/10/11,118.60,119.40,117.83,117.98,4505500
2013/10/14,117.42,119.55,116.69,119.46,3617800
2013/10/15,119.42,119.59,118.14,118.18,2749700
2013/10/16,118.78,120.66,118.75,120.34,4036900
2013/10/17,119.81,122.39,119.81,122.29,4114200
2013/10/18,122.50,122.86,121.25,122.52,3924200
2013/10/21,122.69,122.74,121.06,121.47,3207900
2013/10/22,122.00,123.80,121.88,122.48,4431200
2013/10/23,126.00,129.99,125.90,129.02,10766300
2013/10/24,129.01,129.57,127.94,128.98,4976200
2013/10/25,129.25,131.43,128.22,131.19,5467600
2013/10/28,128.75,130.47,128.64,129.88,4655800
2013/10/29,129.35,129.88,128.76,129.66,3608700
2013/10/30,129.56,131.43,129.02,129.68,4122100
2013/10/31,129.84,131.88,129.55,130.50,4931800
2013/11/1,130.90,133.50,130.90,133.03,4582400
2013/11/4,133.75,133.99,132.46,132.79,3915800
2013/11/5,132.03,133.74,130.59,133.57,4069200
2013/11/6,134.02,134.58,132.68,133.09,3747700
2013/11/7,133.44,133.93,131.35,131.51,3826800
2013/11/8,131.28,133.90,130.95,133.49,4790900
2013/11/11,133.14,133.33,132.12,132.53,2962200
2013/11/12,132.40,133.08,131.97,132.33,2851000
2013/11/13,131.92,133.49,131.10,133.17,3577100
2013/11/14,133.70,135.38,133.17,135.09,3279600
2013/11/15,135.36,136.57,134.54,136.08,4495100
2013/11/18,140.25,142.00,137.77,138.36,8158800
2013/11/19,138.50,138.79,136.70,136.98,3954000
2013/11/20,135.80,135.89,132.29,132.45,8634900
2013/11/21,132.45,133.29,131.20,132.93,4700600
2013/11/22,133.49,136.12,133.43,135.97,4290200
2013/11/25,134.01,134.86,130.58,133.00,7181700
2013/11/26,133.00,135.44,132.56,134.78,4200800
2013/11/27,135.05,136.30,134.17,134.72,3350900
2013/11/28,135.05,136.30,134.17,134.72,3350900
2013/11/29,134.82,135.23,134.18,134.25,1680900
2013/12/2,134.99,135.46,133.62,134.16,3378100
2013/12/3,133.93,133.93,131.92,132.00,5171900
2013/12/4,131.73,132.15,130.55,131.50,5137100
2013/12/5,131.26,133.10,131.25,132.73,3665100
2013/12/6,134.58,135.75,134.00,135.18,5341800
2013/12/9,135.49,135.95,134.57,134.68,3799000
2013/12/10,133.65,135.04,132.18,133.70,4061300
2013/12/11,133.70,133.81,132.44,132.56,3358300
2013/12/12,132.11,133.65,131.90,132.96,3617700
2013/12/13,133.45,134.25,133.14,133.83,3139400
2013/12/16,134.27,135.20,133.94,134.72,3979500
2013/12/17,137.92,138.10,135.36,135.88,6753000
2013/12/18,135.86,136.44,132.84,135.49,5632400
2013/12/19,135.00,136.23,133.94,135.17,3177100
2013/12/20,135.49,137.85,135.49,136.67,5454600
2013/12/23,137.69,138.09,136.32,136.40,2945100
2013/12/24,136.40,136.98,136.14,136.83,1203200
2013/12/25,136.40,136.98,136.14,136.83,1203200
2013/12/26,137.18,138.59,137.17,138.27,2161300
2013/12/27,138.69,138.88,136.79,136.90,2204600
2013/12/30,137.16,137.37,135.54,135.92,2403500
2013/12/31,136.16,137.05,135.74,136.49,2096000
2014/1/1,136.16,137.05,135.74,136.49,2096000
2014/1/2,136.01,137.25,135.51,136.67,3366700
2014/1/3,137.06,138.50,137.05,137.62,3177400
2014/1/6,139.40,139.76,137.80,138.41,4196500
2014/1/7,138.58,141.10,138.50,140.51,4238500
2014/1/8,140.69,141.40,139.36,140.82,4236100
2014/1/9,141.51,142.52,140.54,142.13,4052500
2014/1/10,142.79,142.80,140.90,141.90,4549500
2014/1/13,141.55,142.14,140.38,140.70,4462400
2014/1/14,140.85,141.70,137.80,140.01,8441600
2014/1/15,140.30,141.08,140.14,140.62,3030800
2014/1/16,140.33,141.45,140.07,140.21,3062900
2014/1/17,140.08,141.00,139.75,140.46,3382700
2014/1/20,140.08,141.00,139.75,140.46,3382700
2014/1/21,141.46,142.46,140.81,141.67,3240600
2014/1/22,142.31,144.57,141.87,144.37,4388700
2014/1/23,143.10,143.89,141.10,141.31,4491400
2014/1/24,140.40,140.47,136.32,136.65,5856800
2014/1/27,136.70,138.46,135.65,137.36,5057800
2014/1/28,137.61,138.09,136.44,137.09,4606200
2014/1/29,131.70,131.76,128.07,129.78,15993400
2014/1/30,131.70,131.70,125.20,126.53,10406200
2014/1/31,124.46,126.87,123.08,125.26,9732700
2014/2/3,124.24,126.52,122.75,123.08,9309600
2014/2/4,123.07,123.80,120.53,122.04,9304100
2014/2/5,121.00,121.94,118.77,121.40,9689100
2014/2/6,121.79,122.72,121.51,122.67,6738800
2014/2/7,123.75,127.21,123.65,127.02,8906300
2014/2/10,128.96,128.97,126.35,127.16,8173500
2014/2/11,127.65,130.69,127.46,130.16,7874000
2014/2/12,130.29,130.55,128.00,128.13,5798800
2014/2/13,127.06,129.94,127.06,129.50,4203400
2014/2/14,129.09,130.41,128.02,130.16,4807700
2014/2/17,129.09,130.41,128.02,130.16,4807700
2014/2/18,130.13,130.94,129.60,130.63,4645300
2014/2/19,130.11,130.50,128.37,128.39,5146600
2014/2/20,128.48,129.99,127.51,129.56,4466400
2014/2/21,129.80,129.80,128.11,128.28,5164000
2014/2/24,128.38,130.80,128.36,129.59,4635700
2014/2/25,129.30,129.75,126.21,126.78,7308800
2014/2/26,127.24,127.94,126.36,126.61,4803600
2014/2/27,126.47,128.56,126.26,128.56,4649700
2014/2/28,128.75,129.95,128.06,128.92,4361400
2014/3/3,127.18,128.44,126.52,128.22,4847100
2014/3/4,129.38,131.00,129.33,130.23,5422800
2014/3/5,130.40,130.80,128.69,128.79,4095200
2014/3/6,129.01,129.37,128.03,128.86,3595900
2014/3/7,129.75,130.16,128.07,128.54,4297800
2014/3/10,126.51,127.28,124.76,126.89,7039200
2014/3/11,127.03,127.27,125.62,125.67,4190000
2014/3/12,125.00,125.20,123.81,124.43,5040100
2014/3/13,124.65,125.61,121.63,121.89,6071200
2014/3/14,122.12,124.28,121.95,123.11,5698400
2014/3/17,123.97,125.82,123.92,125.42,4380500
2014/3/18,125.59,125.82,123.66,124.04,4151600
2014/3/19,124.32,125.20,121.37,122.24,6673000
2014/3/20,122.59,123.90,121.38,123.73,4601700
2014/3/21,124.06,124.45,122.50,122.58,7973600
2014/3/24,123.53,123.95,122.08,123.42,4472500
2014/3/25,124.46,125.00,123.56,124.02,3225100
2014/3/26,124.61,125.32,123.32,123.53,3091200
2014/3/27,123.01,124.30,121.80,123.21,3106000
2014/3/28,123.78,125.19,123.52,124.46,2863500
2014/3/31,125.36,126.04,124.80,125.49,2962000
2014/4/1,126.24,128.40,126.17,128.21,3952800
2014/4/2,128.63,128.77,127.40,128.31,2935200
2014/4/3,129.17,129.17,128.28,128.78,3303500
2014/4/4,129.33,129.92,127.23,127.38,4156600
2014/4/7,127.19,128.18,124.95,125.59,3753600
2014/4/8,125.28,125.73,124.06,124.15,4122200
2014/4/9,124.99,127.02,124.05,126.88,3689900
2014/4/10,126.82,126.86,123.64,123.64,3956900
2014/4/11,123.05,123.45,121.92,122.07,3854600
2014/4/14,123.08,123.77,122.18,123.25,3086300
2014/4/15,123.35,124.55,122.13,124.27,2746900
2014/4/16,125.00,126.04,124.73,126.04,2826100
2014/4/17,126.44,128.37,125.83,127.92,3449400
2014/4/18,126.44,128.37,125.83,127.92,3449400
2014/4/21,128.05,128.44,127.37,127.82,2368500
2014/4/22,128.25,129.13,127.48,127.55,5015600
2014/4/23,130.67,131.50,129.33,130.63,7121600
2014/4/24,130.41,130.62,128.43,129.86,4177000
2014/4/25,129.84,130.00,128.37,128.66,2978500
2014/4/28,128.20,128.87,125.80,127.04,4354600
2014/4/29,127.20,128.57,126.53,128.37,3344100
2014/4/30,128.05,129.50,127.80,129.02,2773000
2014/5/1,128.74,129.60,128.27,128.46,2804100
2014/5/2,128.70,130.40,128.61,129.94,3762900
2014/5/5,129.00,132.38,128.95,131.96,4026500
2014/5/6,131.75,131.92,130.70,130.83,4032000
2014/5/7,130.77,131.10,129.20,130.35,2900600
2014/5/8,130.17,131.27,130.17,130.57,2988700
2014/5/9,130.26,131.33,129.88,131.10,2543800
2014/5/12,131.82,132.99,131.64,132.60,3288500
2014/5/13,133.01,133.83,132.86,133.45,3132200
2014/5/14,133.80,133.97,132.69,132.99,2883900
2014/5/15,132.70,132.86,130.56,131.21,3596800
2014/5/16,131.31,131.71,130.03,130.81,2963300
2014/5/19,130.42,132.07,130.35,131.35,2103100
2014/5/20,130.94,131.60,129.07,129.58,2995800
2014/5/21,130.43,131.43,130.04,130.96,2476100
2014/5/22,131.66,132.48,131.27,131.84,2370700
2014/5/23,132.00,132.58,131.93,132.41,1956200
2014/5/26,132.00,132.58,131.93,132.41,1956200
2014/5/27,133.09,134.21,132.87,134.17,3085500
2014/5/28,134.17,135.15,134.17,134.33,2609400
2014/5/29,134.71,135.20,134.43,135.14,2234100
2014/5/30,134.67,135.44,134.04,135.25,2760300
2014/6/2,135.50,136.03,134.77,135.90,2629900
2014/6/3,135.80,136.53,135.62,135.88,2468800
2014/6/4,135.54,135.55,134.59,135.33,2601900
2014/6/5,135.65,137.38,135.65,136.82,3489900
2014/6/6,137.39,138.25,137.12,138.25,2710900
2014/6/9,138.25,138.39,137.50,137.96,2585000
2014/6/10,137.59,137.75,136.29,137.25,2370200
2014/6/11,135.25,135.53,133.82,134.10,5558000
2014/6/12,133.86,134.17,131.64,132.19,3826100
2014/6/13,132.53,132.95,131.55,132.29,2376600
2014/6/16,132.20,133.13,131.65,132.54,2163800
2014/6/17,132.10,133.05,131.72,132.45,2223200
2014/6/18,132.61,132.67,131.03,132.48,2859000
2014/6/19,132.48,132.93,131.80,132.82,2794900
2014/6/20,133.48,134.08,132.09,132.10,8083500
2014/6/23,132.32,132.53,130.65,130.85,4433000
2014/6/24,130.50,131.24,129.00,129.15,4319800
2014/6/25,129.04,129.14,126.28,127.06,7929700
2014/6/26,127.41,128.44,126.36,128.02,3929100
2014/6/27,128.07,128.78,127.56,128.54,3687900
2014/6/30,127.91,127.91,126.20,127.23,5712900
2014/7/1,127.66,128.33,127.36,128.15,3772500
2014/7/2,128.15,128.50,127.34,127.62,2859000
2014/7/3,127.99,128.62,127.70,128.51,1997500
2014/7/4,127.99,128.62,127.70,128.51,1997500
2014/7/7,128.10,129.50,127.77,129.09,3157000
2014/7/8,128.89,128.97,125.92,126.79,5724300
2014/7/9,128.31,128.32,125.91,126.79,8023900
2014/7/10,125.54,127.63,125.12,126.79,3936900
2014/7/11,127.18,128.24,126.36,128.09,3193100
2014/7/14,128.91,130.58,128.76,129.52,5267500
2014/7/15,130.31,130.31,128.34,129.10,4916100
2014/7/16,129.56,129.56,127.14,127.42,5260800
2014/7/17,127.21,128.18,125.79,125.88,5292900
2014/7/18,126.38,127.82,126.25,127.64,3103300
2014/7/21,127.30,128.42,126.77,128.30,2738700
2014/7/22,128.99,130.01,128.58,129.74,5102200
2014/7/23,127.79,128.40,126.02,126.71,12326300
2014/7/24,125.92,126.05,124.00,124.40,10307200
2014/7/25,124.48,124.53,122.41,123.20,6121400
2014/7/28,123.44,124.56,122.16,123.06,4982400
2014/7/29,123.31,123.63,122.20,122.32,4101900
2014/7/30,123.20,123.80,121.76,122.29,4042900
2014/7/31,121.47,122.05,120.41,120.48,5588800
2014/8/1,120.45,121.71,119.64,120.38,5852700
2014/8/4,120.80,121.19,119.77,119.93,4671100
2014/8/5,119.67,121.98,119.66,121.27,6097900
2014/8/6,119.32,119.36,117.87,118.34,6239700
2014/8/7,119.00,120.22,118.87,119.84,4641800
2014/8/8,119.80,120.65,119.28,120.63,4348900
2014/8/11,121.15,121.76,120.75,120.80,2807900
2014/8/12,120.51,120.94,120.01,120.47,2303500
2014/8/13,120.67,122.23,120.63,121.98,2641100
