date,open,high,low,close,volume
2013/1/1,86.81,89.80,86.67,89.61,7213000
2013/1/2,92.95,94.44,92.95,93.50,11590000
2013/1/3,93.22,94.99,92.89,94.40,9329000
2013/1/4,94.57,94.92,94.04,94.92,5658600
2013/1/7,94.57,95.67,94.40,95.21,5368800
2013/1/8,94.67,95.19,93.57,94.00,5616100
2013/1/9,94.10,94.77,94.10,94.44,3546100
2013/1/10,95.11,95.19,94.23,95.08,4596400
2013/1/11,94.56,95.39,94.12,95.19,4288500
2013/1/14,95.32,95.48,94.15,94.63,3685800
2013/1/15,94.21,95.83,94.18,95.67,4789800
2013/1/16,95.10,95.67,94.83,95.19,3809700
2013/1/17,95.71,96.29,95.09,95.70,4824100
2013/1/18,96.43,97.62,96.09,97.62,8330900
2013/1/21,96.43,97.62,96.09,97.62,8330900
2013/1/22,96.39,97.73,96.05,97.72,8330100
2013/1/23,97.48,97.72,96.60,96.85,4971000
2013/1/24,96.00,97.74,96.00,96.60,5816300
2013/1/25,95.92,96.28,94.66,95.58,8902700
2013/1/28,98.06,98.74,96.43,97.45,15997500
2013/1/29,97.92,99.20,97.72,98.60,6961900
2013/1/30,98.83,98.96,98.25,98.65,5681000
2013/1/31,97.99,98.71,97.90,98.39,7154500
2013/2/1,99.00,99.70,98.95,99.49,6138500
2013/2/4,98.76,98.87,97.91,98.26,5765000
2013/2/5,98.58,99.10,98.32,98.44,4178000
2013/2/6,97.87,98.75,97.36,97.70,4489600
2013/2/7,97.42,98.16,95.21,96.11,6210100
2013/2/8,96.10,97.50,96.10,96.85,3934200
2013/2/11,96.96,96.99,96.30,96.60,2739200
2013/2/12,96.67,97.41,96.67,97.22,4149000
2013/2/13,97.09,97.50,96.02,96.38,3718500
2013/2/14,96.06,96.68,95.68,96.07,3586300
2013/2/15,96.26,96.42,95.29,95.61,4377200
2013/2/18,96.26,96.42,95.29,95.61,4377200
2013/2/19,95.74,96.37,95.13,95.60,4368800
2013/2/20,95.00,95.10,93.05,93.22,8570800
2013/2/21,92.76,92.79,90.57,91.53,7193400
2013/2/22,91.99,92.49,91.05,91.54,5851800
2013/2/25,91.81,92.22,89.08,89.16,7540300
2013/2/26,89.59,90.20,88.50,89.95,7114200
2013/2/27,90.06,92.36,90.06,92.25,6147300
2013/2/28,92.49,93.16,92.23,92.37,5446500
2013/3/1,91.54,91.96,90.13,91.36,4924400
2013/3/4,90.61,90.75,89.19,89.75,6350500
2013/3/5,90.49,91.28,89.99,90.21,5352500
2013/3/6,90.97,91.05,89.41,89.64,7135900
2013/3/7,89.90,90.40,89.27,89.65,4738200
2013/3/8,90.43,90.72,90.01,90.51,5084900
2013/3/11,90.49,91.52,90.10,91.18,4846300
2013/3/12,91.16,91.16,89.40,89.74,6593300
2013/3/13,89.80,89.91,89.13,89.28,5836100
2013/3/14,89.47,89.55,88.17,88.70,7328500
2013/3/15,88.61,89.25,88.11,88.83,7379400
2013/3/18,87.89,90.02,87.67,89.36,7159800
2013/3/19,89.40,89.40,87.44,88.27,7509300
2013/3/20,87.61,87.88,86.42,86.94,9389000
2013/3/21,86.43,87.32,86.43,86.83,5449600
2013/3/22,87.01,87.63,86.97,87.48,5115500
2013/3/25,87.93,87.96,86.05,86.64,6685300
2013/3/26,87.06,87.39,86.66,87.00,4173000
2013/3/27,86.43,87.16,85.80,86.90,4838700
2013/3/28,87.05,87.98,86.65,86.97,6213400
2013/3/29,87.05,87.98,86.65,86.97,6213400
2013/4/1,86.86,86.94,85.41,85.64,5666900
2013/4/2,86.02,86.02,84.47,84.88,6514300
2013/4/3,83.91,84.62,83.60,84.12,9222400
2013/4/4,84.17,84.73,83.84,84.63,7646200
2013/4/5,83.41,85.36,83.05,84.60,8985600
2013/4/8,84.69,85.35,83.71,84.19,6722000
2013/4/9,84.38,86.65,84.05,85.90,10533700
2013/4/10,86.38,86.88,85.90,86.57,6258700
2013/4/11,86.89,87.00,85.30,85.70,6920000
2013/4/12,84.99,85.33,84.30,85.05,4934500
2013/4/15,84.24,84.33,81.91,82.27,10345400
2013/4/16,83.63,83.73,82.12,82.61,6566500
2013/4/17,81.54,81.62,80.62,81.47,9405300
2013/4/18,81.34,81.34,80.05,80.46,6886900
2013/4/19,80.95,81.16,80.01,80.43,7009500
2013/4/22,81.24,83.13,79.49,82.71,18449600
2013/4/23,83.91,84.72,82.74,84.10,12932500
2013/4/24,84.28,84.65,83.29,83.78,7022000
2013/4/25,84.70,85.02,84.02,84.51,6556100
2013/4/26,84.35,85.08,84.25,84.68,6160700
2013/4/29,85.11,85.50,84.07,84.80,6065100
2013/4/30,84.81,85.38,83.36,84.67,6954300
2013/5/1,84.07,84.35,82.66,83.08,11607000
2013/5/2,83.34,84.56,83.10,84.26,5798600
2013/5/3,85.59,87.48,85.48,86.98,11890000
2013/5/6,87.13,87.95,86.88,87.59,6381000
2013/5/7,88.11,89.81,87.91,89.79,10406900
2013/5/8,89.76,90.40,89.18,90.31,7431000
2013/5/9,89.98,90.69,89.55,89.95,5166100
2013/5/10,89.96,90.25,87.90,88.62,6967500
2013/5/13,88.19,88.49,87.75,88.07,5483600
2013/5/14,87.82,88.00,86.86,87.55,6856900
2013/5/15,86.97,87.18,86.44,87.00,6925400
2013/5/16,86.55,87.65,86.10,86.78,8192200
2013/5/17,87.39,87.86,87.10,87.67,6690800
2013/5/20,87.57,88.75,87.27,88.33,5603200
2013/5/21,88.65,88.98,87.73,88.10,4730000
2013/5/22,88.09,89.09,87.15,87.70,6479100
2013/5/23,86.03,87.38,85.78,86.95,6026800
