date,open,high,low,close,volume
2013/1/1,19.38,19.76,19.31,19.65,32388300
2013/1/2,20.12,20.34,20.01,20.34,40304500
2013/1/3,20.46,20.50,20.30,20.45,50603500
2013/1/4,20.41,20.68,20.39,20.48,36378900
2013/1/7,20.38,20.42,20.16,20.29,30790700
2013/1/8,20.18,20.34,20.08,20.31,33218100
2013/1/9,20.26,20.54,20.25,20.30,30380100
2013/1/10,20.35,20.49,20.29,20.44,31419200
2013/1/11,20.40,20.51,20.33,20.48,23423800
2013/1/14,20.68,20.99,20.65,20.97,55156900
2013/1/15,20.92,20.99,20.78,20.98,29550900
2013/1/16,20.91,21.18,20.88,21.03,39685100
2013/1/17,20.79,21.03,20.78,20.95,41951400
2013/1/18,20.85,21.04,20.81,21.02,42835000
2013/1/21,20.85,21.04,20.81,21.02,42835000
2013/1/22,20.95,21.00,20.61,20.87,35955400
2013/1/23,20.89,20.89,20.61,20.62,37130100
2013/1/24,20.85,21.10,20.82,21.02,47256000
2013/1/25,21.10,21.25,21.05,21.15,28354800
2013/1/28,21.21,21.26,21.05,21.06,30431400
2013/1/29,20.98,20.99,20.65,20.78,35300200
2013/1/30,20.86,20.87,20.40,20.58,35260400
2013/1/31,20.62,20.90,20.56,20.57,29992500
2013/2/1,20.73,20.91,20.60,20.83,25754100
2013/2/4,20.87,21.13,20.79,20.82,32053300
2013/2/5,20.88,21.20,20.88,21.08,24952600
2013/2/6,21.05,21.22,20.98,21.19,27848400
2013/2/7,21.21,21.26,21.00,21.10,34442900
2013/2/8,21.17,21.30,21.13,21.16,23056900
2013/2/11,21.24,21.34,21.15,21.27,33552000
2013/2/12,21.25,21.27,20.94,20.97,46463500
2013/2/13,21.00,21.14,20.93,21.14,63608700
2013/2/14,20.88,21.00,20.51,20.99,67172100
2013/2/15,20.94,21.07,20.92,20.99,44439700
2013/2/18,20.94,21.07,20.92,20.99,44439700
2013/2/19,21.01,21.48,20.95,21.46,45590500
2013/2/20,21.49,21.67,21.07,21.11,47494700
