date,open,high,low,close,volume
2013/1/1,105.75,108.23,105.75,108.14,6554000
2013/1/2,110.27,110.42,108.74,110.39,6144100
2013/1/3,110.14,110.92,109.51,109.92,6817000
2013/1/4,109.99,110.62,109.90,110.50,4414500
2013/1/7,110.02,110.09,109.19,109.75,4861000
2013/1/8,109.48,109.69,109.10,109.26,6325400
2013/1/9,109.72,110.08,109.20,109.54,4558600
2013/1/10,110.19,110.76,110.09,110.47,5276400
2013/1/11,111.20,112.08,110.80,111.73,5456300
2013/1/14,111.38,112.95,111.35,112.85,6373900
2013/1/15,112.26,113.47,112.15,113.44,5637600
2013/1/16,113.31,114.33,113.17,113.97,6148500
2013/1/17,114.73,115.86,114.59,114.74,6966000
2013/1/18,115.23,115.24,114.06,115.24,8538000
2013/1/21,115.23,115.24,114.06,115.24,8538000
2013/1/22,115.11,115.94,114.53,115.91,5398000
2013/1/23,115.35,115.90,114.93,115.01,5031800
2013/1/24,115.49,116.37,115.28,115.50,4895800
2013/1/25,115.52,116.38,115.15,116.20,4745400
2013/1/28,116.56,116.58,115.41,116.04,4520500
2013/1/29,116.28,117.40,116.25,117.21,4370100
2013/1/30,117.07,117.50,116.26,116.45,5168200
2013/1/31,116.22,116.90,115.15,115.15,7777900
2013/2/1,115.84,116.69,115.05,116.50,6415900
2013/2/4,115.02,115.89,114.29,115.20,6397600
2013/2/5,115.74,116.38,115.51,115.81,5067800
2013/2/6,115.43,115.92,114.85,115.91,4459800
2013/2/7,115.99,116.00,114.33,115.02,5423900
2013/2/8,114.93,115.78,114.90,115.64,4457200
2013/2/11,115.68,115.84,115.01,115.64,3766300
2013/2/12,115.72,116.84,115.51,116.50,4530600
2013/2/13,115.43,115.84,114.91,115.53,4111000
2013/2/14,115.16,116.26,115.07,115.71,5226400
2013/2/15,115.50,115.70,114.03,114.96,6353200
2013/2/18,115.50,115.70,114.03,114.96,6353200
2013/2/19,115.19,116.26,115.19,115.92,5023300
2013/2/20,115.93,116.10,114.84,114.99,5447000
2013/2/21,114.79,115.30,114.09,114.99,4795100
2013/2/22,115.51,116.23,114.82,115.96,5207200
2013/2/25,116.50,117.34,113.50,113.54,7522800
2013/2/26,114.47,115.17,113.75,114.96,6113100
2013/2/27,114.71,116.95,114.71,116.65,4540600
2013/2/28,116.57,117.89,116.35,117.15,5953600
2013/3/1,116.73,117.24,115.95,116.90,5570300
2013/3/4,116.78,117.81,116.08,117.49,5046700
2013/3/5,117.97,118.25,117.67,117.93,6356000
2013/3/6,118.30,118.78,118.03,118.47,5362200
