date,open,high,low,close,volume
2013/1/1,48.89,49.80,48.80,49.79,10224500
2013/1/2,50.80,51.25,50.64,51.10,11674700
2013/1/3,51.05,51.34,50.84,51.21,7566600
2013/1/4,51.38,52.34,51.33,52.19,8745900
2013/1/7,51.76,51.76,50.66,50.97,9472100
2013/1/8,50.88,51.18,50.57,50.76,8637600
2013/1/9,50.93,51.50,50.76,50.78,8389000
2013/1/10,50.87,51.24,50.59,50.79,8097400
2013/1/11,50.82,51.02,50.45,50.58,7149000
2013/1/14,50.40,50.83,50.18,50.59,9308800
2013/1/15,50.47,51.15,50.43,51.09,7299500
2013/1/16,50.85,51.78,50.80,51.53,7371800
2013/1/17,51.84,52.70,51.84,52.41,10132100
2013/1/18,52.24,52.34,51.81,52.34,8490900
2013/1/21,52.24,52.34,51.81,52.34,8490900
2013/1/22,52.39,52.80,52.18,52.73,6635200
2013/1/23,52.86,54.16,52.78,53.95,13842700
2013/1/24,54.03,54.87,53.92,53.95,13608000
2013/1/25,53.80,54.56,53.61,54.38,7939400
2013/1/28,54.28,54.56,54.10,54.36,7133500
2013/1/29,54.15,54.21,53.53,53.99,7786400
2013/1/30,53.85,54.00,53.55,53.79,9821800
2013/1/31,53.84,54.25,53.65,53.88,7333900
2013/2/1,54.18,54.87,54.15,54.59,9552300
2013/2/4,54.16,54.50,53.80,53.90,7717400
2013/2/5,54.36,54.41,54.00,54.29,10246400
2013/2/6,55.40,55.50,54.41,54.52,26833600
2013/2/7,54.07,54.48,53.41,54.36,11723200
2013/2/8,54.38,54.72,54.31,54.66,9584300
2013/2/11,54.65,54.98,54.59,54.75,6358600
2013/2/12,54.77,55.05,54.69,54.95,8758100
2013/2/13,55.08,55.30,54.67,54.96,5701400
2013/2/14,54.92,55.17,54.71,54.88,8564500
2013/2/15,55.05,55.62,54.89,55.61,17783400
2013/2/18,55.05,55.62,54.89,55.61,17783400
2013/2/19,55.58,55.95,55.57,55.73,7780500
2013/2/20,55.62,55.82,54.56,54.60,8460700
2013/2/21,54.58,54.82,54.01,54.17,6802500
2013/2/22,54.39,54.58,53.93,54.25,7603600
2013/2/25,54.60,54.79,53.59,53.59,9830200
2013/2/26,53.81,54.04,53.60,53.90,6238300
2013/2/27,53.90,54.66,53.85,54.48,7243500
2013/2/28,54.54,55.04,54.39,54.59,6605000
2013/3/1,54.31,55.37,54.30,55.33,8311500
2013/3/4,55.16,55.84,55.00,55.80,6357400
2013/3/5,55.95,56.58,55.90,56.48,7067900
2013/3/6,56.53,56.84,56.25,56.36,5572600
2013/3/7,56.36,56.47,56.01,56.32,4813700
2013/3/8,56.56,57.51,56.52,57.39,8157800
2013/3/11,57.39,57.75,57.34,57.66,7155200
2013/3/12,57.52,57.63,56.70,57.11,7159100
2013/3/13,57.16,57.44,56.94,57.34,5209800
2013/3/14,57.35,57.82,57.27,57.75,5908200
2013/3/15,57.50,57.78,57.34,57.58,13788100
2013/3/18,57.08,57.19,56.75,56.83,5125800
2013/3/19,56.83,57.05,55.76,56.31,8884200
2013/3/20,56.59,57.15,56.54,56.94,6018700
2013/3/21,56.74,56.85,56.16,56.31,5168500
2013/3/22,56.65,57.10,56.52,56.78,5500200
2013/3/25,57.00,57.11,55.87,56.21,7881500
