date,open,high,low,close,volume
2013/1/1,125.42,127.68,124.79,127.56,3623000
2013/1/2,131.30,131.66,129.62,131.66,4449000
2013/1/3,131.70,131.78,130.07,130.94,4584600
2013/1/4,130.93,134.64,130.32,134.51,5234600
2013/1/7,134.12,134.51,132.88,134.26,3556900
2013/1/8,133.71,133.95,132.70,133.05,2760200
2013/1/9,133.40,134.43,133.27,134.32,3666500
2013/1/10,135.07,138.15,134.13,137.37,5960700
2013/1/11,137.02,137.17,136.13,137.13,3211700
2013/1/14,137.19,137.32,135.66,136.13,2855800
2013/1/15,135.55,137.26,135.12,135.59,4322800
2013/1/16,138.94,141.58,137.90,141.09,10650800
2013/1/17,140.89,141.95,139.62,141.01,6596000
2013/1/18,141.35,144.81,141.24,144.45,7349000
2013/1/21,141.35,144.81,141.24,144.45,7349000
2013/1/22,144.01,146.28,143.34,145.95,5158400
2013/1/23,145.78,145.94,144.81,145.56,3948700
2013/1/24,145.00,146.74,144.06,144.96,4638200
2013/1/25,144.18,145.27,143.30,144.46,4639400
2013/1/28,144.43,145.25,143.69,144.15,3045600
2013/1/29,144.10,147.50,143.84,147.10,4519800
2013/1/30,146.81,147.42,145.91,147.15,4083100
2013/1/31,146.26,148.00,146.26,147.86,3680900
2013/2/1,148.51,150.40,147.76,149.90,4563800
2013/2/4,148.25,148.95,146.62,147.52,4679400
2013/2/5,148.35,150.75,148.18,150.45,4219200
2013/2/6,149.75,151.14,149.17,151.12,3940600
2013/2/7,150.76,152.50,149.00,150.26,4890800
2013/2/8,150.78,151.97,150.35,151.60,3612300
2013/2/11,151.42,152.87,150.96,152.24,3751400
2013/2/12,152.48,154.32,151.79,154.11,4309000
2013/2/13,154.11,154.85,153.28,154.52,4369100
2013/2/14,153.84,156.72,153.62,155.93,5035800
2013/2/15,156.40,156.54,154.08,154.99,4254400
2013/2/18,156.40,156.54,154.08,154.99,4254400
2013/2/19,155.69,159.00,155.25,158.65,5103400
2013/2/20,158.22,158.50,154.56,155.18,5029700
2013/2/21,153.72,153.95,149.80,150.88,8318000
2013/2/22,152.37,154.13,152.05,154.09,4772700
2013/2/25,155.19,155.69,147.60,147.65,6294200
2013/2/26,148.11,149.46,146.71,148.00,5686600
2013/2/27,147.87,152.05,147.76,151.65,4695000
2013/2/28,151.35,152.40,149.76,149.76,4956000
2013/3/1,148.12,151.70,147.22,150.53,4538400
2013/3/4,150.01,152.47,149.71,152.18,3209200
2013/3/5,153.45,154.96,152.80,152.96,4589300
2013/3/6,154.06,155.05,152.80,154.13,3593200
2013/3/7,154.70,157.19,154.50,156.62,3886300
2013/3/8,155.89,156.23,152.01,152.98,6615000
2013/3/11,152.45,154.32,152.36,153.30,3586400
2013/3/12,153.30,153.80,150.46,151.85,3432200
2013/3/13,152.03,152.87,150.58,151.91,3356400
2013/3/14,152.27,154.34,152.16,154.02,3886600
2013/3/15,151.35,155.63,151.30,154.84,7301200
2013/3/18,152.53,153.11,150.89,151.95,3788100
2013/3/19,152.61,153.09,147.82,148.84,4726900
2013/3/20,150.02,151.48,149.25,150.13,2883800
2013/3/21,149.29,150.22,145.37,145.38,4704000
2013/3/22,146.51,147.70,145.61,146.60,3456800
2013/3/25,147.99,148.66,144.68,146.11,3775400
2013/3/26,148.29,148.34,144.87,146.54,3860400
2013/3/27,145.88,148.63,145.86,147.84,3964800
2013/3/28,148.12,149.06,147.13,147.15,3701300
2013/3/29,148.12,149.06,147.13,147.15,3701300
2013/4/1,146.67,148.06,144.60,146.04,2581100
2013/4/2,145.27,147.49,144.77,146.68,3374100
2013/4/3,146.76,146.87,142.18,143.41,4373300
2013/4/4,143.52,144.95,142.24,142.99,3423800
2013/4/5,140.61,143.80,140.34,143.69,3864300
2013/4/8,143.83,144.12,141.84,143.82,2908700
2013/4/9,144.32,147.57,144.07,146.52,3262800
2013/4/10,147.30,149.74,147.24,149.46,3127600
2013/4/11,149.46,150.59,148.22,149.07,2951800
2013/4/12,148.40,149.60,147.01,149.12,3131400
2013/4/15,148.75,151.45,145.53,146.46,5554900
2013/4/16,148.13,148.43,142.14,144.10,8274400
2013/4/17,142.99,143.60,138.05,140.60,6361500
2013/4/18,140.09,140.90,137.42,138.60,4819700
2013/4/19,139.31,139.84,137.85,138.72,3962600
2013/4/22,139.01,139.85,137.29,139.52,3187100
2013/4/23,140.44,143.39,139.92,142.94,3698200
2013/4/24,143.27,144.45,142.95,143.93,2785200
2013/4/25,144.11,146.05,143.75,144.76,2637400
2013/4/26,144.50,145.41,143.07,144.11,2235200
2013/4/29,144.54,145.90,143.91,145.11,2715300
2013/4/30,145.19,146.54,144.56,146.07,2586300
2013/5/1,145.83,145.83,142.40,142.61,3509000
2013/5/2,142.68,143.67,140.39,143.67,4331900
2013/5/3,145.31,146.84,145.06,145.37,4018800
2013/5/6,145.92,149.54,145.64,148.45,3740400
2013/5/7,149.41,149.94,147.55,149.32,3137600
2013/5/8,149.13,150.99,148.40,150.26,3519200
2013/5/9,150.10,150.86,148.25,148.54,2819500
2013/5/10,148.57,149.18,147.50,149.10,2632400
2013/5/13,147.67,150.33,147.06,149.63,2975200
2013/5/14,149.50,154.94,149.50,154.52,5825300
2013/5/15,154.04,156.28,153.79,155.61,4177800
2013/5/16,154.73,157.49,153.96,154.47,3233800
2013/5/17,155.41,158.70,155.00,158.18,4177000
2013/5/20,157.58,160.49,157.52,158.90,4010100
2013/5/21,158.67,161.74,158.53,160.73,4077900
2013/5/22,160.61,164.47,158.53,159.34,6176200
2013/5/23,156.36,158.89,154.62,157.41,5619800
2013/5/24,155.57,158.92,155.29,158.72,3317100
2013/5/27,155.57,158.92,155.29,158.72,3317100
2013/5/28,160.92,162.68,159.91,160.70,4471200
2013/5/29,159.74,164.13,159.41,162.87,4969100
2013/5/30,162.66,165.45,161.00,164.35,4336200
2013/5/31,163.95,165.83,162.07,162.08,4404800
2013/6/3,161.56,163.74,159.79,163.56,4557300
2013/6/4,163.46,165.74,160.50,161.68,3977300
2013/6/5,161.43,162.89,157.55,158.30,4138300
2013/6/6,158.30,159.79,156.34,159.68,3243900
2013/6/7,160.97,166.17,160.59,166.01,5690300
2013/6/10,166.70,168.20,165.29,167.49,3914200
2013/6/11,165.35,166.40,163.19,163.31,3858100
2013/6/12,164.98,164.98,161.07,161.86,3243300
2013/6/13,161.20,166.39,161.07,165.82,3768500
2013/6/14,165.74,166.11,162.91,162.92,2970600
2013/6/17,164.08,165.67,162.90,164.11,2628300
2013/6/18,164.15,164.87,163.05,164.15,2060700
2013/6/19,164.16,164.93,161.51,161.56,3557100
2013/6/20,159.15,159.99,154.84,155.41,6488600
2013/6/21,157.00,157.26,152.30,154.25,5390200
2013/6/24,151.99,152.60,148.71,150.78,4013200
2013/6/25,152.45,154.31,151.55,153.06,3274600
2013/6/26,154.48,154.56,150.75,151.66,3580400
2013/6/27,153.03,154.99,152.61,153.51,2654900
2013/6/28,152.69,152.77,151.00,151.25,3011300
2013/7/1,152.78,154.10,151.70,151.75,2496100
2013/7/2,151.16,153.19,149.90,150.92,3091600
2013/7/3,149.62,151.42,149.28,150.43,1267700
2013/7/4,149.62,151.42,149.28,150.43,1267700
2013/7/5,152.30,153.29,151.50,153.24,2243700
2013/7/8,154.58,154.80,152.88,153.81,2699100
2013/7/9,154.99,157.44,153.17,156.94,3127100
2013/7/10,156.57,157.62,154.67,155.83,2430100
2013/7/11,158.50,159.74,156.11,157.71,2965700
2013/7/12,158.62,160.28,158.55,160.11,2844600
2013/7/15,162.80,163.39,161.16,163.00,4129900
2013/7/16,163.92,164.30,159.43,160.24,5972700
2013/7/17,159.84,161.99,159.50,161.50,3715000
2013/7/18,161.58,164.58,161.50,164.06,3462700
2013/7/19,163.75,164.85,162.58,164.36,3329700
2013/7/22,163.95,166.33,163.88,166.25,2741100
2013/7/23,166.50,167.41,165.48,166.26,2545400
2013/7/24,166.75,166.89,164.44,165.04,2548100
2013/7/25,164.28,166.00,163.69,165.91,2236200
2013/7/26,165.05,165.65,164.27,165.26,2372200
2013/7/29,164.63,164.83,162.02,163.17,2823600
2013/7/30,163.49,164.01,162.33,162.43,2553300
2013/7/31,162.53,165.97,162.43,164.03,3700300
2013/8/1,165.74,167.90,164.88,167.49,3251900
2013/8/2,166.83,167.90,166.46,167.62,1866700
2013/8/5,167.28,169.69,166.44,168.32,2618400
2013/8/6,168.07,168.28,164.47,164.78,3598500
2013/8/7,164.00,164.23,162.05,163.45,2131000
2013/8/8,164.75,166.43,162.83,162.84,2818400
2013/8/9,162.40,164.10,162.02,162.13,2012000
2013/8/12,161.73,162.38,160.55,161.69,1982000
2013/8/13,161.99,164.55,160.95,163.71,2309600
2013/8/14,163.85,164.80,162.93,163.34,1667400
2013/8/15,161.91,161.97,160.07,160.75,2206900
2013/8/16,160.28,162.29,160.03,160.66,2024300
2013/8/19,160.17,160.79,158.53,158.63,2228400
2013/8/20,158.72,160.03,157.78,159.56,2288700
2013/8/21,158.78,159.23,156.51,157.11,3053800
2013/8/22,157.81,159.66,157.20,159.41,2302700
2013/8/23,159.59,159.79,158.00,158.65,1495800
2013/8/26,158.41,160.70,157.75,157.90,1885200
2013/8/27,155.72,156.53,152.93,153.23,3672000
