date,open,high,low,close,volume
2013/1/1,60.41,61.87,60.33,61.85,7880800
2013/1/2,63.57,63.71,62.61,63.48,9067200
2013/1/3,63.78,63.93,63.08,63.30,6056800
2013/1/4,63.21,63.37,63.00,63.18,4779100
2013/1/7,62.60,63.00,62.38,62.84,5466500
2013/1/8,62.75,63.46,62.73,63.22,5433000
2013/1/9,63.51,63.63,63.01,63.17,4712400
2013/1/10,63.38,63.62,62.78,63.62,6714100
2013/1/11,63.47,63.76,63.34,63.70,4567100
2013/1/14,63.66,63.90,63.39,63.48,4532200
2013/1/15,63.50,64.01,63.45,63.95,5119400
2013/1/16,63.64,64.00,63.55,63.86,3915400
2013/1/17,64.19,65.29,64.04,65.05,7796000
2013/1/18,65.15,65.48,64.96,65.47,6534400
2013/1/21,65.15,65.48,64.96,65.47,6534400
2013/1/22,65.39,65.99,65.22,65.75,6574000
2013/1/23,65.47,66.48,65.31,66.46,6795500
2013/1/24,66.56,67.69,66.56,67.35,8484600
2013/1/25,67.61,68.13,67.29,67.82,7494700
2013/1/28,68.15,68.15,67.26,67.58,6561200
2013/1/29,67.50,67.80,66.97,67.20,6504300
2013/1/30,67.22,67.58,67.01,67.24,5102200
2013/1/31,67.23,67.56,66.92,66.92,5615900
2013/2/1,67.62,67.74,67.21,67.30,4983300
2013/2/4,66.86,67.22,66.32,66.36,4741000
2013/2/5,66.63,66.93,66.31,66.39,7112000
2013/2/6,66.04,66.72,66.00,66.67,5187000
2013/2/7,66.65,66.70,65.83,66.31,5743500
2013/2/8,66.55,67.02,66.41,67.01,4459000
2013/2/11,66.87,66.98,66.22,66.38,3953500
2013/2/12,66.70,67.43,66.52,67.32,4932500
2013/2/13,67.52,67.67,67.18,67.45,3668900
2013/2/14,67.13,67.47,66.96,67.34,5439700
2013/2/15,67.52,67.99,66.80,67.52,8131200
2013/2/18,67.52,67.99,66.80,67.52,8131200
2013/2/19,67.63,67.92,66.95,67.55,5455500
2013/2/20,67.44,67.60,66.37,66.44,5598400
2013/2/21,65.86,65.92,64.29,64.38,10622400
2013/2/22,64.80,65.74,64.50,65.58,7500700
2013/2/25,65.96,66.55,63.82,63.92,10268800
2013/2/26,65.56,68.00,65.49,67.56,22792900
2013/2/27,67.58,68.28,67.37,68.06,14180400
2013/2/28,67.91,69.19,67.86,68.50,8705100
2013/3/1,68.38,69.11,68.09,69.03,6241800
2013/3/4,68.95,70.30,68.93,70.29,8375900
2013/3/5,70.58,70.96,70.12,70.47,8323800
