date,open,high,low,close,volume
2013/1/1,56.36,57.09,55.90,57.03,4440784
2013/1/2,58.11,58.49,57.65,58.18,5796624
2013/1/3,58.05,58.86,57.99,58.41,3309972
2013/1/4,58.63,59.71,58.63,59.60,4606606
2013/1/7,59.37,60.02,59.30,59.63,4746051
2013/1/8,59.53,59.54,58.89,59.07,3313533
2013/1/9,59.35,59.79,59.19,59.79,3581407
2013/1/10,60.09,60.09,59.39,59.68,4920108
2013/1/11,59.62,59.75,59.39,59.58,2611296
2013/1/14,59.66,59.99,59.41,59.99,2047281
2013/1/15,59.55,60.18,59.47,60.10,2530055
2013/1/16,59.79,59.96,59.65,59.96,2321276
2013/1/17,60.20,60.65,59.97,60.48,2525937
2013/1/18,60.63,60.93,60.33,60.93,3781505
2013/1/21,60.63,60.93,60.33,60.93,3781505
2013/1/22,60.88,61.46,60.77,61.46,4054276
2013/1/23,61.37,61.46,61.15,61.34,3655192
2013/1/24,61.43,62.19,61.15,61.32,4583791
2013/1/25,62.14,62.23,61.06,61.40,6272720
2013/1/28,62.19,62.19,61.61,61.93,4927676
2013/1/29,61.93,62.18,61.64,62.08,4027789
2013/1/30,61.92,62.19,61.66,61.70,2756752
2013/1/31,61.46,61.72,61.16,61.32,3924401
2013/2/1,61.97,62.50,61.66,62.14,4095898
2013/2/4,61.77,61.95,61.45,61.61,3372962
2013/2/5,61.98,63.05,61.96,62.79,5094387
2013/2/6,62.48,62.90,62.28,62.83,3810107
2013/2/7,62.83,63.29,62.52,63.23,4572217
2013/2/8,63.15,63.61,63.06,63.38,3651185
2013/2/11,63.28,63.31,62.83,62.98,2584921
2013/2/12,62.96,63.41,62.86,63.28,2275425
2013/2/13,63.28,63.60,62.80,63.06,2875720
2013/2/14,62.90,63.24,62.70,62.98,3209255
2013/2/15,63.24,63.29,62.69,63.00,3404011
2013/2/18,63.24,63.29,62.69,63.00,3404011
2013/2/19,63.11,63.75,62.93,63.73,3538783
2013/2/20,63.63,64.18,63.20,63.21,4684063
2013/2/21,62.58,62.88,62.31,62.72,4612281
2013/2/22,62.90,63.11,62.49,62.80,4023337
2013/2/25,62.80,63.02,61.96,61.96,5902238
2013/2/26,62.06,62.49,61.86,62.11,4213531
2013/2/27,62.09,63.36,62.02,63.21,3016947
2013/2/28,63.25,63.68,62.99,62.99,4100127
2013/3/1,62.64,63.13,62.21,62.94,3316427
2013/3/4,62.53,62.76,61.91,62.63,3974036
2013/3/5,62.90,63.68,62.87,63.51,4176249
2013/3/6,63.64,64.17,63.62,64.04,3919616
2013/3/7,64.36,65.02,64.20,64.85,4693411
2013/3/8,65.30,66.30,65.30,66.22,5483789
2013/3/11,65.92,66.43,65.55,66.37,3776275
2013/3/12,66.38,66.40,65.66,66.12,3325441
2013/3/13,66.25,66.51,66.08,66.45,3776942
2013/3/14,66.65,66.74,65.97,66.32,5107631
2013/3/15,66.11,66.37,65.89,66.01,6644761
2013/3/18,65.34,66.74,65.19,66.39,4740042
2013/3/19,66.56,66.83,65.98,66.52,4737148
2013/3/20,66.83,67.28,66.83,67.12,4046152
2013/3/21,67.02,67.39,66.89,67.02,4550627
2013/3/22,67.25,67.60,67.10,67.56,4012431
2013/3/25,67.80,68.07,66.83,67.27,4834526
2013/3/26,67.49,67.96,67.32,67.82,3820568
2013/3/27,67.42,67.57,67.01,67.54,3133467
2013/3/28,67.53,67.87,67.39,67.71,3884559
2013/3/29,67.53,67.87,67.39,67.71,3884559
2013/4/1,67.57,67.64,66.58,66.79,4397270
2013/4/2,67.15,67.24,66.48,66.68,3966246
2013/4/3,66.92,67.01,65.76,65.89,5412341
2013/4/4,66.05,66.30,65.90,66.27,4729135
2013/4/5,65.32,65.74,65.08,65.58,4820504
2013/4/8,65.55,66.14,65.40,66.09,3682235
2013/4/9,66.17,66.24,65.76,66.08,3257221
2013/4/10,66.07,66.89,65.86,66.86,4885720
2013/4/11,66.89,67.27,66.67,67.12,3536668
2013/4/12,66.83,66.97,66.30,66.72,2385824
2013/4/15,66.38,66.42,64.86,64.88,3758468
2013/4/16,65.35,65.80,65.13,65.76,2752300
2013/4/17,65.36,65.36,64.17,64.60,4410068
2013/4/18,64.56,64.60,63.73,64.22,5939631
2013/4/19,66.24,66.89,65.29,66.65,7304374
2013/4/22,66.75,67.29,66.53,67.02,4192720
2013/4/23,67.39,67.39,66.27,67.18,3240416
2013/4/24,67.36,67.54,67.06,67.24,4186154
2013/4/25,67.33,67.43,66.88,66.97,5821108
2013/4/26,66.98,67.10,66.21,66.40,3706830
2013/4/29,66.51,66.59,66.00,66.31,3339241
2013/4/30,66.47,66.48,65.59,66.08,3247538
2013/5/1,65.77,65.95,65.12,65.17,3529212
2013/5/2,65.44,66.61,65.42,66.47,3484029
2013/5/3,67.13,68.02,67.13,67.61,3577957
2013/5/6,67.64,68.44,67.62,68.36,4015658
2013/5/7,68.47,69.23,68.41,69.10,3251211
2013/5/8,68.92,69.68,68.81,69.62,3359162
2013/5/9,69.58,70.10,69.49,69.89,4500658
2013/5/10,69.86,70.16,69.40,69.85,2572790
2013/5/13,69.81,70.11,69.61,69.96,2218111
2013/5/14,69.94,71.13,69.94,71.13,3391881
2013/5/15,70.88,71.79,70.56,71.79,3695924
2013/5/16,71.25,71.25,70.58,70.74,3856181
2013/5/17,71.19,72.64,71.03,72.56,4523250
2013/5/20,72.17,73.00,72.09,72.36,2813843
2013/5/21,72.33,72.67,71.80,72.02,3537225
2013/5/22,72.03,72.64,71.26,71.52,4601041
2013/5/23,70.72,71.53,70.58,71.20,4367444
2013/5/24,71.00,71.36,70.54,71.25,2696433
2013/5/27,71.00,71.36,70.54,71.25,2696433
2013/5/28,72.14,72.68,71.66,71.68,3688801
2013/5/29,71.15,71.60,70.57,70.81,3656861
2013/5/30,71.00,71.75,70.72,71.38,3097298
2013/5/31,71.17,72.01,70.50,70.50,3654301
2013/6/3,70.58,71.16,70.11,70.85,3117886
2013/6/4,70.72,71.19,69.53,69.85,3845497
