date,open,high,low,close,volume
2013/1/1,180.91,183.25,180.54,183.13,4900405
2013/1/2,185.55,187.72,185.28,187.72,4428869
2013/1/3,187.07,187.66,185.89,186.68,3812356
2013/1/4,185.65,185.91,184.30,185.46,3535689
2013/1/7,184.89,185.26,183.88,184.65,2993966
2013/1/8,184.44,184.80,183.17,184.39,3166137
2013/1/9,184.97,184.98,183.22,183.86,3359752
2013/1/10,184.18,184.47,182.87,184.40,3774073
2013/1/11,185.61,186.42,184.42,185.90,4058898
2013/1/14,184.34,184.78,183.32,184.15,4364121
2013/1/15,182.90,184.25,182.02,184.03,4364017
2013/1/16,183.56,184.68,182.93,184.12,3099193
2013/1/17,185.33,185.91,184.74,185.13,4060154
2013/1/18,185.50,186.42,185.28,185.92,4769342
2013/1/21,185.50,186.42,185.28,185.92,4769342
2013/1/22,185.81,187.46,185.48,187.46,7502226
2013/1/23,194.55,199.41,194.42,195.72,13106903
2013/1/24,194.94,196.04,194.15,195.43,4651771
2013/1/25,195.46,196.16,195.15,195.96,3513409
2013/1/28,195.84,197.15,195.31,195.92,2953590
2013/1/29,195.35,196.68,194.68,194.93,3783487
2013/1/30,194.73,195.87,194.25,194.57,3136326
2013/1/31,194.38,195.48,194.03,194.14,3233604
2013/2/1,195.65,196.32,194.88,196.16,3525752
2013/2/4,195.21,196.00,194.62,194.83,3335485
2013/2/5,195.33,195.75,193.60,193.87,3804197
2013/2/6,191.58,192.44,190.78,192.18,3790913
2013/2/7,191.80,192.07,189.94,190.96,3218228
2013/2/8,191.18,193.20,190.90,192.81,3026392
2013/2/11,192.14,193.07,190.97,191.36,3080156
2013/2/12,191.21,191.91,190.27,191.24,2575043
2013/2/13,191.83,192.11,190.79,191.29,2269611
2013/2/14,190.95,191.51,190.50,190.87,3445733
2013/2/15,191.19,192.40,191.03,192.14,3794679
2013/2/18,191.19,192.40,191.03,192.14,3794679
2013/2/19,191.78,193.01,191.41,191.51,3136222
2013/2/20,191.80,192.85,190.11,190.54,3886308
2013/2/21,189.89,190.32,189.40,189.61,4103353
2013/2/22,190.47,192.25,190.10,192.25,3250863
2013/2/25,192.80,193.59,188.82,188.82,4021661
2013/2/26,189.89,191.11,189.14,190.38,3547614
2013/2/27,190.14,193.83,189.87,193.43,4377615
2013/2/28,193.29,194.19,191.96,192.00,4904903
2013/3/1,191.83,194.02,190.59,193.99,3460482
2013/3/4,193.68,196.17,193.64,196.17,3863296
2013/3/5,196.81,198.57,196.64,197.45,3982959
2013/3/6,197.93,199.32,197.57,199.22,3760161
2013/3/7,199.13,200.38,199.08,200.21,4063082
2013/3/8,200.62,201.47,200.22,201.13,3870723
2013/3/11,200.80,200.96,199.85,200.84,3189986
2013/3/12,200.19,201.46,199.89,201.29,3756814
2013/3/13,200.96,203.02,200.54,202.73,3510271
2013/3/14,202.82,206.37,202.82,206.31,5758753
2013/3/15,205.91,206.41,204.02,205.47,8295094
2013/3/18,203.54,205.07,203.29,203.83,3144276
2013/3/19,204.71,205.66,202.51,204.05,3345736
2013/3/20,205.32,206.33,204.88,205.60,3157874
2013/3/21,203.59,203.63,200.87,202.93,6098598
2013/3/22,202.88,203.80,202.31,202.75,3170949
2013/3/25,203.19,203.45,200.81,201.47,3391655
2013/3/26,202.46,203.15,202.20,203.02,2406114
2013/3/27,201.68,202.83,200.86,201.62,3371676
2013/3/28,200.60,204.05,200.52,203.92,3922395
2013/3/29,200.60,204.05,200.52,203.92,3922395
2013/4/1,203.44,204.11,201.96,203.04,2243147
2013/4/2,203.56,205.27,202.27,204.93,3260173
2013/4/3,204.89,205.44,203.28,203.31,3272725
2013/4/4,203.41,203.57,200.80,202.02,3880137
2013/4/5,199.90,200.61,197.27,200.20,4338808
