date,open,high,low,close,volume
2013/1/1,69.24,70.11,69.18,70.10,12770000
2013/1/2,71.02,71.02,70.30,70.84,12874200
2013/1/3,70.98,71.00,70.45,70.74,9598300
2013/1/4,71.24,71.73,71.01,71.55,11631800
2013/1/7,71.50,71.53,71.19,71.40,7548800
2013/1/8,71.31,71.65,71.25,71.41,9825300
2013/1/9,71.64,71.85,71.50,71.73,7672800
2013/1/10,71.81,72.38,71.74,72.19,11888500
2013/1/11,72.19,72.58,72.16,72.35,7766700
2013/1/14,72.60,72.79,72.37,72.56,7386000
2013/1/15,72.25,72.44,72.00,72.37,7795100
2013/1/16,72.26,72.82,72.25,72.58,8779900
2013/1/17,72.88,73.01,72.37,72.90,10570100
2013/1/18,72.90,73.23,72.79,73.23,13558600
2013/1/21,72.90,73.23,72.79,73.23,13558600
2013/1/22,72.92,73.21,72.42,72.69,11469800
2013/1/23,72.52,72.91,72.47,72.85,10155100
2013/1/24,72.96,73.23,72.84,73.10,9369700
2013/1/25,73.13,73.93,73.06,73.92,10421500
2013/1/28,73.96,74.00,73.43,73.62,9420900
2013/1/29,73.67,74.62,73.64,74.41,12386500
2013/1/30,74.45,74.80,74.01,74.09,9245500
2013/1/31,74.08,74.36,73.78,73.92,10448700
2013/2/1,74.14,74.42,74.08,74.18,10016300
2013/2/4,73.56,74.25,73.56,74.11,9200700
2013/2/5,74.49,74.82,74.47,74.66,10230800
2013/2/6,74.57,75.39,74.52,75.39,12084000
2013/2/7,74.82,75.20,74.68,75.06,9798200
2013/2/8,75.17,75.61,74.73,75.48,8153300
2013/2/11,75.28,75.50,75.05,75.41,5697100
2013/2/12,75.42,75.86,75.42,75.80,7598900
2013/2/13,75.79,75.87,75.37,75.66,8014800
2013/2/14,75.50,76.09,75.38,75.81,9681800
2013/2/15,75.72,76.16,75.51,76.16,10528400
2013/2/18,75.72,76.16,75.51,76.16,10528400
2013/2/19,76.03,77.00,75.96,76.96,9747400
2013/2/20,76.79,76.97,76.54,76.65,7857500
2013/2/21,76.47,77.02,76.38,76.87,9465700
2013/2/22,76.39,76.49,75.97,76.25,8571500
2013/2/25,76.47,76.66,75.57,75.57,10603300
2013/2/26,75.88,76.34,75.50,75.75,10742100
2013/2/27,75.68,76.45,75.60,76.32,8180300
2013/2/28,76.23,76.49,76.11,76.11,11806300
2013/3/1,75.79,76.77,75.73,76.70,9528300
2013/3/4,76.73,77.28,76.73,77.20,12628000
2013/3/5,77.56,77.71,77.44,77.66,9399400
2013/3/6,77.69,77.74,77.22,77.39,8535200
2013/3/7,77.62,77.96,77.59,77.75,7996500
2013/3/8,77.84,78.22,77.70,78.19,8554100
2013/3/11,77.92,78.52,77.84,78.44,8807600
2013/3/12,78.50,78.69,78.21,78.56,8790500
2013/3/13,78.52,78.67,78.20,78.55,7983400
2013/3/14,78.67,79.10,78.49,79.10,10130400
2013/3/15,78.62,79.24,78.62,79.19,18296500
2013/3/18,78.72,79.19,78.70,78.81,8005400
2013/3/19,78.98,79.09,78.50,78.86,7095800
2013/3/20,79.18,79.61,79.17,79.45,8000800
2013/3/21,79.12,79.50,78.77,79.01,8436300
2013/3/22,79.11,79.74,79.02,79.74,6873100
2013/3/25,79.83,79.94,79.47,79.68,9616600
2013/3/26,79.93,80.88,79.85,80.85,12682900
2013/3/27,80.56,81.35,80.27,81.27,10703400
2013/3/28,81.37,81.59,80.95,81.53,11332100
2013/3/29,81.37,81.59,80.95,81.53,11332100
2013/4/1,81.39,81.96,81.28,81.93,7376800
2013/4/2,82.00,82.69,81.90,82.69,10342200
2013/4/3,82.74,82.95,81.57,82.07,12254000
2013/4/4,82.20,82.72,81.93,82.41,10303000
2013/4/5,81.79,82.11,81.62,82.04,8581400
2013/4/8,81.27,81.39,80.31,81.11,15828500
2013/4/9,81.26,81.75,81.24,81.52,9111000
2013/4/10,81.83,82.20,81.74,82.02,7583200
2013/4/11,82.14,82.96,82.08,82.32,9882700
2013/4/12,82.25,82.74,82.17,82.74,6987000
2013/4/15,82.72,83.09,81.71,81.71,12385800
2013/4/16,82.33,83.54,82.07,83.44,12620000
2013/4/17,83.36,84.43,83.29,83.90,13693300
2013/4/18,83.96,84.30,83.03,83.18,9921500
2013/4/19,83.51,84.57,83.47,84.49,10787600
2013/4/22,84.59,84.93,84.20,84.83,6989900
2013/4/23,84.99,85.68,84.00,85.45,8982100
2013/4/24,85.68,85.74,84.28,84.39,9480600
2013/4/25,84.54,85.44,84.34,85.22,8689400
2013/4/26,85.30,85.49,84.81,85.12,6784700
2013/4/29,85.02,85.89,84.91,85.58,8038000
2013/4/30,85.39,85.70,84.89,85.23,12099600
2013/5/1,84.50,85.13,83.88,84.23,12312100
2013/5/2,84.44,85.21,84.17,85.16,8668900
2013/5/3,85.58,85.99,85.45,85.75,9213800
2013/5/6,85.78,85.78,84.55,84.68,8815600
2013/5/7,84.87,85.57,84.63,85.53,9061800
2013/5/8,85.48,85.60,84.93,85.46,8044600
2013/5/9,85.45,85.69,84.96,85.15,8342000
2013/5/10,85.29,85.76,85.18,85.76,7594800
2013/5/13,85.56,86.07,85.44,85.85,6631500
2013/5/14,85.76,87.08,85.76,86.97,10360700
2013/5/15,86.94,87.88,86.94,87.64,13444400
2013/5/16,87.33,87.77,87.06,87.45,9441900
2013/5/17,87.47,88.20,87.41,88.09,11437700
2013/5/20,88.10,88.20,87.81,88.01,7235800
2013/5/21,87.94,88.64,87.79,88.59,10099600
2013/5/22,88.70,89.99,88.20,88.46,13825900
2013/5/23,87.11,87.97,87.00,87.21,14446900
2013/5/24,86.80,87.03,86.49,86.82,10390100
2013/5/27,86.80,87.03,86.49,86.82,10390100
2013/5/28,87.54,88.29,87.27,87.61,8380200
2013/5/29,87.08,87.16,85.14,85.65,11872100
2013/5/30,85.71,86.31,85.68,85.99,7801200
2013/5/31,85.68,85.99,84.18,84.18,13302700
2013/6/3,84.28,84.71,83.37,84.71,11768500
2013/6/4,84.72,85.03,83.56,84.10,9972000
2013/6/5,83.91,85.00,83.48,83.68,9839100
2013/6/6,83.59,84.46,82.65,84.46,10671000
2013/6/7,84.96,85.18,84.40,84.91,8907700
2013/6/10,85.01,85.71,84.73,85.14,8477100
2013/6/11,84.76,85.02,84.13,84.69,8967000
2013/6/12,85.18,85.50,83.70,83.74,8413200
2013/6/13,83.60,84.96,83.08,84.91,8570000
2013/6/14,84.71,85.48,84.66,84.91,6357100
2013/6/17,85.37,86.40,84.98,85.63,8429100
2013/6/18,85.75,86.44,85.63,86.36,7233600
2013/6/19,86.43,86.50,84.80,84.86,8288400
2013/6/20,84.21,84.45,82.12,82.62,15172600
2013/6/21,83.00,84.32,82.50,83.20,20715800
2013/6/24,82.92,85.31,82.81,84.61,14777500
2013/6/25,85.16,85.59,84.54,85.35,11239400
2013/6/26,85.95,87.32,85.94,86.99,11966500
2013/6/27,87.53,87.82,86.49,86.71,8890300
2013/6/28,86.72,87.38,85.85,85.86,11896300
2013/7/1,85.72,87.64,85.50,86.63,9905200
2013/7/2,86.65,87.20,86.21,86.57,8572100
2013/7/3,86.54,87.04,86.10,86.78,3599900
2013/7/4,86.54,87.04,86.10,86.78,3599900
2013/7/5,87.58,87.88,86.92,87.87,5403600
2013/7/8,88.09,88.99,87.97,88.59,12051400
2013/7/9,88.65,89.08,88.36,88.88,9348600
2013/7/10,88.88,89.48,88.81,89.24,7067100
2013/7/11,89.81,89.93,89.00,89.67,8941300
2013/7/12,89.69,89.99,89.38,89.99,7590600
2013/7/15,89.91,90.81,89.76,90.40,13343200
2013/7/16,91.04,91.66,90.13,90.40,11409200
2013/7/17,90.58,90.97,89.88,90.13,12832200
2013/7/18,90.33,90.95,90.06,90.17,8329300
2013/7/19,90.24,92.27,90.05,92.23,12506300
2013/7/22,92.08,92.56,91.61,92.28,9916200
2013/7/23,92.39,92.86,92.11,92.42,8467700
2013/7/24,92.65,92.66,91.75,92.36,6846300
2013/7/25,92.00,92.75,91.75,92.57,7368000
2013/7/26,92.32,92.93,91.65,92.83,8663700
2013/7/29,92.63,93.39,92.61,93.21,7925000
2013/7/30,93.47,93.97,93.02,93.17,8863000
2013/7/31,93.23,94.42,93.19,93.50,11365700
2013/8/1,94.16,94.40,93.70,93.77,11098600
2013/8/2,93.56,94.39,93.45,94.39,8503100
2013/8/5,94.05,94.30,93.43,93.80,7192400
2013/8/6,93.88,93.94,93.50,93.81,6415000
2013/8/7,93.60,94.03,93.47,93.66,9056900
2013/8/8,94.27,94.37,92.71,93.34,11090000
2013/8/9,93.39,93.39,91.78,92.36,12135800
2013/8/12,92.08,92.77,91.75,92.00,11012300
2013/8/13,91.89,93.35,91.76,93.01,10099800
2013/8/14,92.79,92.95,90.51,90.70,12716800
2013/8/15,90.32,90.41,89.09,89.55,12010700
2013/8/16,89.13,89.80,88.77,89.37,14100700
2013/8/19,89.47,91.25,89.35,90.45,8687000
2013/8/20,90.55,91.65,89.73,89.73,8559200
2013/8/21,89.47,89.63,88.68,88.80,7940700
2013/8/22,88.76,89.03,88.12,88.26,7191900
2013/8/23,87.93,88.44,87.21,88.41,7714900
2013/8/26,88.36,88.48,87.39,87.53,6724500
2013/8/27,86.97,87.08,85.96,86.17,9941200
2013/8/28,86.36,86.91,85.88,86.53,8829200
