date,open,high,low,close,volume
2013/1/1,43.10,44.00,43.05,43.97,24209600
2013/1/2,44.98,45.00,44.22,44.66,31413000
2013/1/3,44.74,44.75,44.20,44.57,24227700
2013/1/4,44.45,45.43,44.44,45.36,24487700
2013/1/7,45.09,45.49,45.02,45.41,24456900
2013/1/8,45.40,45.50,44.96,45.50,19624200
2013/1/9,45.56,46.20,45.14,45.47,25920600
2013/1/10,45.89,46.16,45.53,46.15,23413600
2013/1/11,45.97,46.15,45.47,46.14,19723900
2013/1/14,45.89,46.18,45.48,45.88,19079500
2013/1/15,45.49,46.47,45.35,46.35,29898000
2013/1/16,45.91,46.83,45.57,46.82,43453600
2013/1/17,46.40,46.87,46.29,46.44,41086800
2013/1/18,46.38,46.60,46.18,46.46,28679100
2013/1/21,46.38,46.60,46.18,46.46,28679100
2013/1/22,46.25,46.55,46.13,46.54,24257300
2013/1/23,46.23,46.44,45.92,46.23,19105100
2013/1/24,46.24,46.80,46.08,46.37,20008200
2013/1/25,46.74,47.16,46.61,47.16,26009100
2013/1/28,46.84,47.00,46.48,46.64,19706800
2013/1/29,46.28,47.16,46.25,47.12,19907400
2013/1/30,47.04,47.35,46.96,47.13,18631300
2013/1/31,47.01,47.22,46.88,47.05,19536000
2013/2/1,47.40,48.00,47.21,47.85,24520000
2013/2/4,47.54,47.81,47.38,47.68,20822600
2013/2/5,47.94,48.80,47.93,48.79,28067500
2013/2/6,48.42,48.83,48.32,48.61,28282600
2013/2/7,48.65,48.75,47.90,48.23,21429600
2013/2/8,48.33,48.69,48.26,48.63,15218300
2013/2/11,48.51,48.90,48.38,48.66,13935900
2013/2/12,48.80,49.31,48.60,49.14,16388000
2013/2/13,49.35,49.45,48.50,48.68,21635600
2013/2/14,48.40,49.29,48.37,49.22,18017800
2013/2/15,49.35,49.46,48.57,48.88,20016200
2013/2/18,49.35,49.46,48.57,48.88,20016200
2013/2/19,49.12,49.68,49.12,49.45,20445900
2013/2/20,49.35,49.54,48.36,48.61,24786700
2013/2/21,48.41,48.45,47.83,48.25,24437700
2013/2/22,48.63,48.91,48.41,48.91,23584100
2013/2/25,49.10,49.20,47.65,47.70,32775500
2013/2/26,48.22,48.26,46.85,47.60,39401400
2013/2/27,47.85,49.40,47.76,49.28,31921200
2013/2/28,49.16,49.55,48.75,48.92,24711500
2013/3/1,48.60,49.42,48.37,48.91,25923400
2013/3/4,48.73,49.14,48.33,49.10,17695200
2013/3/5,49.49,50.11,49.31,49.49,25561100
2013/3/6,49.88,50.19,49.62,50.03,19607900
2013/3/7,50.05,50.86,50.01,50.63,24245400
2013/3/8,50.59,50.85,49.61,50.20,32711900
2013/3/11,50.23,50.77,49.91,50.48,19473000
2013/3/12,50.35,50.67,50.05,50.28,18003400
2013/3/13,50.29,50.43,50.11,50.16,16680200
2013/3/14,50.25,51.00,50.19,51.00,26378700
2013/3/15,49.97,50.29,49.15,50.02,60880800
2013/3/18,49.19,49.66,48.95,49.51,28011400
2013/3/19,49.65,49.99,48.68,49.20,24411500
2013/3/20,49.57,49.64,49.04,49.12,19385300
2013/3/21,48.79,49.23,48.35,48.35,23535900
2013/3/22,48.63,49.00,48.34,48.78,22791500
2013/3/25,49.04,49.32,48.16,48.52,23581400
2013/3/26,48.74,48.97,48.32,48.64,16417500
2013/3/27,48.20,48.31,47.56,47.77,26530100
2013/3/28,47.84,47.93,47.28,47.46,27506700
2013/3/29,47.84,47.93,47.28,47.46,27506700
2013/4/1,47.55,47.99,47.49,47.83,17442200
2013/4/2,48.01,48.38,47.88,48.28,17273700
2013/4/3,48.03,48.07,46.53,46.85,33467400
2013/4/4,46.96,47.54,46.90,47.49,21514000
2013/4/5,46.79,48.04,46.75,47.91,22961500
2013/4/8,47.88,48.59,47.59,48.58,18672300
2013/4/9,48.74,48.96,48.46,48.68,20066700
2013/4/10,48.94,49.56,48.88,49.25,20388900
2013/4/11,49.21,49.60,48.83,49.31,22584700
2013/4/12,48.90,49.58,48.45,49.01,37805900
2013/4/15,48.39,49.34,47.90,47.93,31527300
2013/4/16,48.43,48.52,47.59,48.49,23865500
2013/4/17,48.11,48.18,46.38,46.79,43466300
2013/4/18,46.80,47.33,46.05,46.64,26106800
2013/4/19,47.15,47.36,46.70,47.23,19746100
2013/4/22,47.40,47.49,46.87,47.35,15230100
2013/4/23,47.68,48.24,47.39,48.17,20568500
2013/4/24,48.32,48.92,48.16,48.72,16459300
2013/4/25,49.02,49.63,48.89,49.00,19058800
2013/4/26,48.86,49.09,48.61,48.88,13929000
2013/4/29,49.08,49.10,48.65,48.92,13496300
2013/4/30,48.96,49.25,48.72,49.01,13802600
2013/5/1,48.76,48.91,47.85,48.01,17686400
2013/5/2,48.25,48.25,47.71,48.08,15529300
2013/5/3,48.63,48.70,46.98,47.57,43257900
2013/5/6,47.71,48.39,47.57,48.18,20829500
2013/5/7,48.57,49.39,48.26,49.14,24291600
