date,open,high,low,close,volume
2013/1/1,35.88,36.28,35.58,36.25,15651400
2013/1/2,36.99,37.60,36.66,37.60,21872400
2013/1/3,37.45,37.60,37.11,37.60,16357900
2013/1/4,37.65,37.87,37.52,37.66,15311300
2013/1/7,37.52,37.52,37.10,37.30,14610200
2013/1/8,37.19,37.28,36.91,37.04,14324300
2013/1/9,37.20,37.20,36.83,37.03,10563700
2013/1/10,37.12,37.17,36.76,36.96,15603700
2013/1/11,36.84,36.94,36.52,36.91,15644800
2013/1/14,36.95,37.11,36.80,36.99,11001500
2013/1/15,36.99,37.43,36.80,37.32,12721600
2013/1/16,37.21,37.42,37.12,37.32,9168000
2013/1/17,37.43,37.66,37.33,37.51,12121800
2013/1/18,37.49,37.71,37.31,37.70,14056100
2013/1/21,37.49,37.71,37.31,37.70,14056100
2013/1/22,37.74,37.74,37.05,37.13,21249400
2013/1/23,37.08,37.26,37.04,37.13,13570200
2013/1/24,37.20,37.25,37.00,37.11,13258900
2013/1/25,37.18,37.25,36.91,37.05,14040700
2013/1/28,37.07,37.11,36.86,37.01,13386500
2013/1/29,36.88,37.57,36.86,37.42,17705800
2013/1/30,37.40,37.61,37.32,37.50,13219400
2013/1/31,37.53,37.53,37.11,37.24,12969100
2013/2/1,37.54,37.71,37.37,37.54,11932600
2013/2/4,37.48,37.58,37.30,37.35,9456300
2013/2/5,37.56,38.16,37.56,38.14,17897300
2013/2/6,38.13,38.43,38.00,38.31,16823700
2013/2/7,38.42,39.06,38.35,38.91,18805300
2013/2/8,38.85,38.94,38.60,38.77,12308000
2013/2/11,38.71,38.83,38.41,38.61,12159900
2013/2/12,38.11,38.16,37.28,37.56,30700500
2013/2/13,37.67,37.94,37.01,37.21,19943800
2013/2/14,37.24,37.51,36.70,36.84,22748600
2013/2/15,36.94,37.42,36.54,37.42,25204300
2013/2/18,36.94,37.42,36.54,37.42,25204300
2013/2/19,37.51,37.77,37.46,37.67,14850600
2013/2/20,37.70,37.88,37.41,37.73,12949300
2013/2/21,37.62,37.79,37.43,37.71,14135100
2013/2/22,37.76,38.52,37.71,38.52,20102800
2013/2/25,38.56,38.72,37.72,37.72,15874600
2013/2/26,37.95,38.19,37.78,38.11,15770000
2013/2/27,38.03,38.54,37.92,38.45,14271100
2013/2/28,38.47,38.97,38.42,38.72,19005500
2013/3/1,38.49,38.79,38.49,38.70,13724500
2013/3/4,38.60,38.82,38.45,38.82,9934300
2013/3/5,38.98,39.00,38.56,38.68,13240700
2013/3/6,38.80,39.04,38.70,39.02,11653900
2013/3/7,39.04,39.19,38.84,39.12,15094900
2013/3/8,39.17,39.42,39.03,39.22,11183600
2013/3/11,39.20,39.38,39.18,39.31,9200400
2013/3/12,39.28,39.31,38.80,38.96,11375900
2013/3/13,38.82,38.87,38.55,38.59,14358300
2013/3/14,38.82,39.12,38.66,39.02,14572500
2013/3/15,38.82,38.94,38.66,38.83,20781900
