date,open,high,low,close,volume
2013/1/1,87.42,88.25,86.81,88.21,6236600
2013/1/2,89.40,90.35,89.33,90.12,7377200
2013/1/3,90.31,90.70,90.16,90.63,5473500
2013/1/4,90.62,90.79,89.67,89.85,5374100
2013/1/7,89.77,91.05,89.25,90.91,5820900
2013/1/8,90.54,90.96,89.97,90.94,6285200
2013/1/9,90.80,91.24,90.36,90.81,4822100
2013/1/10,91.35,91.64,91.03,91.40,4393300
2013/1/11,91.94,91.98,91.05,91.73,3692600
2013/1/14,91.76,92.12,91.43,91.53,3828100
2013/1/15,91.11,91.63,90.86,91.51,3910400
2013/1/16,91.13,91.32,90.91,91.10,2925800
2013/1/17,91.45,92.10,91.31,91.76,4044600
2013/1/18,92.07,92.30,91.85,92.26,5579900
2013/1/21,92.07,92.30,91.85,92.26,5579900
2013/1/22,92.15,93.33,91.81,92.95,6967300
2013/1/23,93.45,93.75,92.25,93.48,9368000
2013/1/24,93.58,93.60,93.02,93.31,5157200
2013/1/25,93.31,93.94,93.28,93.72,5461600
2013/1/28,93.94,94.58,93.64,94.36,4564600
2013/1/29,94.15,94.99,94.05,94.92,4929700
2013/1/30,94.88,95.10,94.43,94.67,4657600
2013/1/31,94.60,95.29,94.46,95.29,5740500
2013/2/1,95.58,96.32,95.50,95.95,5481100
2013/2/4,95.40,95.79,94.50,94.60,5933300
2013/2/5,94.59,95.54,94.51,94.91,4952800
2013/2/6,94.49,95.33,94.41,95.07,4482700
2013/2/7,95.03,95.06,94.07,94.63,5619600
2013/2/8,94.39,95.48,94.36,94.87,5331600
2013/2/11,94.75,95.31,94.60,95.17,3557600
2013/2/12,95.05,95.34,94.81,95.10,4526900
2013/2/13,94.64,94.75,93.48,94.00,6663100
2013/2/14,93.86,93.89,93.19,93.56,5360900
2013/2/15,93.81,94.31,93.21,93.90,5094100
2013/2/18,93.81,94.31,93.21,93.90,5094100
2013/2/19,94.14,94.49,93.77,93.85,4401900
2013/2/20,93.93,94.48,93.75,93.91,4023800
2013/2/21,93.44,94.45,93.30,94.14,4424600
2013/2/22,94.27,95.25,93.85,95.25,4421300
2013/2/25,95.38,96.78,95.26,96.14,9028000
2013/2/26,96.35,96.57,96.05,96.22,6451100
2013/2/27,95.36,95.95,95.11,95.73,4326800
2013/2/28,95.71,96.22,95.51,95.90,3967600
2013/3/1,95.68,95.82,94.96,95.68,3823200
2013/3/4,95.60,95.67,94.87,95.07,4636900
2013/3/5,95.54,96.10,95.33,95.81,5643000
2013/3/6,95.95,96.82,95.93,96.81,5052000
2013/3/7,96.64,97.16,96.64,97.09,4566400
2013/3/8,98.13,98.95,98.03,98.71,8838100
2013/3/11,98.46,98.89,98.28,98.89,4853400
2013/3/12,98.86,98.87,98.53,98.76,3856000
2013/3/13,98.74,99.47,98.54,99.38,3896600
2013/3/14,99.36,99.38,98.90,99.31,3649900
2013/3/15,98.97,99.70,98.82,99.67,6388000
2013/3/18,98.95,99.34,98.21,98.57,3934500
2013/3/19,98.78,98.99,98.20,98.40,4648500
2013/3/20,98.59,98.90,98.59,98.77,3534900
2013/3/21,98.50,98.88,98.42,98.53,3523400
2013/3/22,98.52,99.62,98.52,99.27,4160000
2013/3/25,99.46,99.60,98.12,98.24,4932500
2013/3/26,98.35,98.67,98.26,98.50,4434000
2013/3/27,98.19,99.29,98.18,98.90,4401700
2013/3/28,98.88,99.78,98.67,99.69,3954700
2013/3/29,98.88,99.78,98.67,99.69,3954700
2013/4/1,99.41,99.68,98.85,99.05,3155800
2013/4/2,99.40,100.42,99.03,100.26,5136800
2013/4/3,100.21,100.50,99.06,99.25,4454400
2013/4/4,99.54,100.81,99.53,100.63,5860600
2013/4/5,100.17,101.47,99.81,101.42,5693000
2013/4/8,101.08,101.50,100.85,101.50,4163600
2013/4/9,101.50,101.50,100.57,101.06,3690400
2013/4/10,101.12,101.74,101.01,101.49,3159400
2013/4/11,101.34,102.47,101.34,101.99,4049400
2013/4/12,101.50,103.70,101.50,103.59,5714000
2013/4/15,103.14,103.44,102.13,102.15,5643600
2013/4/16,102.40,103.05,102.02,103.04,3199300
2013/4/17,102.56,103.11,102.00,102.54,4191500
2013/4/18,102.08,102.23,100.10,101.91,5696900
2013/4/19,100.58,101.44,99.45,99.92,8227700
2013/4/22,99.35,99.66,98.38,99.32,5620500
2013/4/23,99.27,100.24,99.21,99.76,5753500
2013/4/24,100.09,101.24,100.09,101.02,4593000
2013/4/25,101.27,101.63,100.85,100.94,3529400
2013/4/26,100.83,100.99,100.40,100.89,3113600
2013/4/29,101.56,102.52,101.15,102.18,3417700
2013/4/30,102.27,102.36,101.56,102.14,4205200
2013/5/1,101.98,102.44,101.33,101.38,2720100
2013/5/2,101.46,102.34,101.12,102.06,3821100
2013/5/3,102.92,103.34,102.55,102.92,4109400
2013/5/6,102.76,102.80,102.05,102.07,3314200
2013/5/7,102.09,102.52,101.79,102.29,4304200
2013/5/8,102.28,102.28,100.76,100.95,5228800
2013/5/9,100.78,101.23,99.46,99.69,10628500
2013/5/10,99.95,100.20,99.40,100.20,5036900
2013/5/13,100.02,100.70,99.80,100.38,3154100
2013/5/14,100.48,101.49,100.44,101.20,3810800
2013/5/15,101.30,102.03,101.30,101.95,3402600
