date,open,high,low,close,volume
2013/1/1,76.55,77.69,76.42,77.63,3086398
2013/1/2,78.75,79.26,78.56,79.25,3835213
2013/1/3,78.88,79.37,78.70,79.16,3234702
2013/1/4,79.26,79.83,79.05,79.74,3235060
2013/1/7,79.45,80.04,79.23,79.84,3283977
2013/1/8,79.57,80.06,79.52,79.85,3175978
2013/1/9,80.16,80.89,80.03,80.61,2822201
2013/1/10,80.86,81.10,80.54,81.01,3110318
2013/1/11,80.13,80.82,79.61,80.50,3496984
2013/1/14,80.60,81.43,80.35,81.17,3100630
2013/1/15,80.96,81.44,80.74,81.35,2519254
2013/1/16,81.10,81.69,81.04,81.61,2502391
2013/1/17,81.76,82.36,81.53,82.01,3353464
2013/1/18,82.29,82.61,81.97,82.56,3812728
2013/1/21,82.29,82.61,81.97,82.56,3812728
2013/1/22,82.27,83.05,82.02,83.05,3845379
2013/1/23,82.75,83.36,82.62,83.19,4280843
2013/1/24,83.09,83.46,82.61,83.34,4564295
2013/1/25,83.44,84.34,83.26,84.11,5068409
2013/1/28,84.43,84.43,83.84,84.16,3546020
2013/1/29,83.89,85.18,83.66,85.13,4222717
2013/1/30,85.12,85.24,84.19,84.28,3376069
2013/1/31,84.19,84.41,83.67,84.07,4500668
2013/2/1,84.82,85.28,84.58,84.92,4608906
2013/2/4,84.26,84.62,84.10,84.26,2377170
2013/2/5,84.71,85.22,84.66,84.86,3388388
2013/2/6,84.56,86.11,84.52,85.86,4198678
2013/2/7,85.83,85.90,84.83,85.47,2724010
2013/2/8,85.57,86.40,85.32,85.84,2317609
2013/2/11,85.61,86.02,85.32,85.80,2051738
2013/2/12,85.84,86.61,85.81,86.51,2305888
2013/2/13,86.15,86.45,85.77,86.00,2033080
2013/2/14,85.64,86.24,85.47,85.94,2652130
2013/2/15,86.17,86.44,85.80,86.31,2782135
2013/2/18,86.17,86.44,85.80,86.31,2782135
2013/2/19,86.47,87.28,86.39,87.11,3574246
2013/2/20,87.11,87.29,86.25,86.25,3582498
2013/2/21,86.02,86.24,85.61,85.89,3298568
2013/2/22,86.11,86.71,85.97,86.57,2581088
2013/2/25,86.88,86.99,85.08,85.08,3614192
2013/2/26,85.38,85.84,85.21,85.54,2956392
2013/2/27,85.37,86.90,85.24,86.60,2815025
2013/2/28,86.62,87.42,86.24,86.96,3432640
2013/3/1,86.45,86.91,85.89,86.76,3181838
2013/3/4,86.55,86.55,85.78,86.35,3069295
2013/3/5,86.76,87.63,86.66,87.33,3148111
2013/3/6,87.57,88.14,87.35,87.51,4150479
2013/3/7,87.63,87.92,87.37,87.41,2242739
2013/3/8,87.79,88.47,87.64,88.39,2819211
2013/3/11,88.07,88.60,88.07,88.47,2057838
2013/3/12,88.48,88.61,87.76,87.90,2663253
2013/3/13,87.90,88.27,87.69,87.87,2463282
2013/3/14,88.07,88.65,88.01,88.65,2635266
2013/3/15,88.55,89.36,88.50,88.96,6157486
2013/3/18,87.98,88.60,87.98,88.14,2166434
2013/3/19,88.49,88.61,87.49,87.94,3840834
2013/3/20,88.55,88.77,88.11,88.34,2152202
2013/3/21,88.12,88.18,87.56,87.74,2317011
2013/3/22,87.88,89.04,87.88,88.98,2882121
2013/3/25,89.07,89.30,87.53,87.93,4472083
2013/3/26,88.14,88.81,88.14,88.69,2264626
2013/3/27,88.09,88.21,87.77,88.04,2546882
2013/3/28,88.35,88.91,88.03,88.89,2722933
2013/3/29,88.35,88.91,88.03,88.89,2722933
2013/4/1,88.63,88.77,88.14,88.34,2014423
2013/4/2,88.46,89.30,88.45,89.06,2508610
2013/4/3,89.13,89.44,88.15,88.36,3921564
2013/4/4,88.48,88.81,88.04,88.48,2118355
2013/4/5,87.33,88.53,87.25,88.44,2963449
2013/4/8,88.51,88.98,87.88,88.42,2329449
2013/4/9,88.63,89.21,88.12,88.59,2835238
2013/4/10,88.70,90.24,88.65,90.04,3901830
2013/4/11,90.18,90.90,90.18,90.51,2556809
2013/4/12,90.21,90.53,89.72,90.03,2525234
2013/4/15,89.59,90.23,88.41,88.43,4398170
2013/4/16,89.21,89.34,88.38,88.75,3153613
2013/4/17,88.19,88.46,87.73,88.19,3773739
2013/4/18,88.49,88.60,87.19,87.78,3761061
2013/4/19,88.05,88.53,87.64,88.39,3974308
2013/4/22,88.39,88.71,87.91,88.46,3165573
2013/4/23,88.83,89.89,88.51,89.79,3838921
2013/4/24,89.97,90.43,89.67,90.19,3872887
2013/4/25,87.34,88.33,86.54,87.69,10796292
2013/4/26,87.77,87.94,86.51,86.78,4017842
2013/4/29,86.88,87.12,86.03,86.81,3472825
2013/4/30,86.94,87.58,86.10,87.55,4507485
2013/5/1,87.61,87.89,87.31,87.42,3897644
2013/5/2,87.83,88.95,87.72,88.66,3730922
2013/5/3,89.43,90.80,89.34,90.16,3603668
2013/5/6,89.99,90.29,89.84,90.17,2600582
2013/5/7,89.97,90.61,89.92,90.31,2673299
2013/5/8,90.33,90.54,90.11,90.47,3174662
2013/5/9,90.39,92.40,90.39,91.91,5366452
2013/5/10,92.04,92.51,91.76,92.37,3579987
2013/5/13,91.96,92.58,91.73,92.39,2445102
2013/5/14,92.24,92.63,92.20,92.47,2967276
2013/5/15,92.31,93.40,92.22,93.23,3483470
2013/5/16,92.98,93.39,92.77,92.87,3212336
2013/5/17,92.94,93.46,92.76,93.14,4856238
2013/5/20,92.92,93.70,92.78,93.41,2938931
2013/5/21,93.74,93.93,93.24,93.65,2958067
2013/5/22,93.30,93.89,92.45,92.63,4584507
2013/5/23,92.02,92.56,91.62,92.32,3071806
2013/5/24,91.86,92.38,91.55,92.20,2665166
2013/5/27,91.86,92.38,91.55,92.20,2665166
2013/5/28,92.93,93.96,92.84,93.30,3255512
2013/5/29,92.84,93.11,92.37,92.92,2527866
2013/5/30,93.09,93.65,92.82,93.16,3108643
2013/5/31,92.63,93.82,92.20,92.20,3836409
2013/6/3,92.56,92.77,91.71,92.48,3165932
2013/6/4,92.52,92.98,91.58,91.99,3000166
2013/6/5,91.81,91.88,90.63,90.79,3217718
2013/6/6,90.69,90.95,90.00,90.86,3206237
2013/6/7,91.45,92.91,91.11,92.90,4036380
2013/6/10,93.15,93.19,92.42,92.65,2660024
2013/6/11,91.89,92.88,91.56,92.16,2095512
2013/6/12,92.80,92.86,91.10,91.16,2871237
2013/6/13,91.10,93.18,90.79,92.98,3114623
2013/6/14,93.06,93.70,92.60,92.83,2412093
2013/6/17,93.52,94.37,93.34,93.57,3130889
2013/6/18,93.70,94.67,93.56,94.46,2027579
2013/6/19,94.45,94.69,93.25,93.29,2358153
2013/6/20,92.57,92.61,90.74,90.95,3558818
2013/6/21,91.56,92.02,90.92,91.63,5590582
2013/6/24,90.95,90.95,89.59,89.88,4308590
2013/6/25,90.47,90.93,89.92,90.50,3201333
2013/6/26,91.20,91.96,90.91,91.71,3019182
2013/6/27,92.42,92.73,91.95,92.17,2666602
2013/6/28,91.86,92.37,91.25,91.43,4100486
2013/7/1,90.61,92.27,90.60,91.40,3191885
2013/7/2,91.18,91.76,90.58,90.91,3598525
2013/7/3,90.54,91.89,90.48,91.51,1625125
2013/7/4,90.54,91.89,90.48,91.51,1625125
2013/7/5,92.28,93.28,91.86,93.26,2469142
2013/7/8,93.65,94.30,93.56,93.75,3075634
2013/7/9,94.56,94.92,94.31,94.77,2626655
2013/7/10,94.80,95.22,94.41,94.84,2759770
2013/7/11,95.62,95.94,95.46,95.76,2855450
2013/7/12,95.79,96.35,95.54,96.27,2740873
2013/7/15,96.27,96.56,95.94,96.03,2469022
2013/7/16,96.15,96.52,95.37,95.60,2940246
2013/7/17,96.13,96.38,95.58,95.85,2507534
2013/7/18,95.83,96.78,95.79,96.56,3523177
2013/7/19,96.44,97.38,96.44,97.15,3700304
2013/7/22,96.99,97.68,96.71,97.22,3376906
2013/7/23,97.36,98.08,97.00,97.62,2696262
2013/7/24,97.88,97.90,97.04,97.27,2163325
2013/7/25,96.40,97.74,96.02,97.45,4002653
