date,open,high,low,close,volume
2013/1/1,38.44,39.09,38.19,39.06,15004635
2013/1/2,39.94,39.95,39.06,39.45,16722831
2013/1/3,39.97,40.49,39.23,40.39,24673483
2013/1/4,40.52,40.55,39.90,40.05,16169068
2013/1/7,40.11,40.26,39.93,40.19,12055773
2013/1/8,40.31,40.73,40.25,40.25,15458943
2013/1/9,40.45,40.70,40.27,40.64,10556609
2013/1/10,40.91,41.17,40.79,40.82,13593084
2013/1/11,40.75,41.35,40.75,41.25,12722825
2013/1/14,41.33,41.56,41.08,41.35,11650721
2013/1/15,41.39,41.55,40.85,40.91,12446677
2013/1/16,40.93,41.07,40.55,40.59,12481156
2013/1/17,40.85,40.89,40.59,40.79,16255109
2013/1/18,40.92,41.01,40.70,41.01,17222937
2013/1/21,40.92,41.01,40.70,41.01,17222937
2013/1/22,40.81,41.24,40.66,41.22,12819765
2013/1/23,41.03,41.11,40.60,40.86,14854666
2013/1/24,40.98,41.23,40.96,41.03,13096122
2013/1/25,41.15,41.47,40.76,41.47,13799330
2013/1/28,41.35,41.51,40.96,40.96,12418800
2013/1/29,41.21,41.74,41.02,41.66,16474874
2013/1/30,41.66,41.77,41.47,41.51,13280885
2013/1/31,41.44,41.64,41.27,41.27,15237291
2013/2/1,40.31,40.79,39.61,39.91,39497024
2013/2/4,39.49,39.75,38.96,38.98,30821366
2013/2/5,39.17,39.58,39.06,39.53,22330050
2013/2/6,39.46,39.55,39.10,39.21,18218222
2013/2/7,39.22,39.41,39.01,39.12,16950666
2013/2/8,39.18,39.29,39.07,39.29,15365566
2013/2/11,39.30,39.60,39.21,39.48,11959776
2013/2/12,39.48,39.67,39.25,39.55,10475808
2013/2/13,39.52,39.59,39.13,39.27,16561858
2013/2/14,39.16,39.33,38.96,39.30,17116774
2013/2/15,39.56,39.60,39.35,39.52,16326897
2013/2/18,39.56,39.60,39.35,39.52,16326897
2013/2/19,39.69,40.29,39.68,40.29,13944793
2013/2/20,40.42,40.79,40.29,40.71,17607343
2013/2/21,40.55,40.62,40.33,40.55,12390504
2013/2/22,40.63,41.29,40.58,41.00,16132807
2013/2/25,41.33,41.46,40.56,40.57,20338850
2013/2/26,40.79,40.84,40.17,40.48,14570449
2013/2/27,40.33,41.17,40.33,41.00,13537121
2013/2/28,41.04,41.23,40.77,40.77,14893442
2013/3/1,40.39,40.72,40.39,40.68,15527482
2013/3/4,40.95,41.36,40.80,41.35,14839890
2013/3/5,41.60,41.65,41.13,41.27,15843769
2013/3/6,41.32,41.74,41.09,41.68,19301121
2013/3/7,41.81,41.92,41.12,41.29,14392813
2013/3/8,41.41,41.51,40.95,41.00,30678418
2013/3/11,40.98,41.67,40.91,41.66,40492729
2013/3/12,43.34,43.34,42.82,42.98,58695860
2013/3/13,42.50,42.68,42.44,42.55,18781418
2013/3/14,42.66,42.70,41.60,42.24,27136283
2013/3/15,41.82,42.07,41.78,42.07,25499831
2013/3/18,41.77,41.93,41.57,41.63,12699350
2013/3/19,41.70,41.83,41.60,41.70,16248297
2013/3/20,41.98,42.26,41.87,42.10,15693066
2013/3/21,42.01,42.16,41.76,41.78,12476021
2013/3/22,41.85,42.09,41.79,41.89,10463232
2013/3/25,41.94,41.98,41.52,41.69,13746721
2013/3/26,41.94,42.37,41.89,42.36,12694110
2013/3/27,42.11,42.22,41.90,42.08,11497503
2013/3/28,42.03,42.28,41.95,42.18,17440502
2013/3/29,42.03,42.28,41.95,42.18,17440502
2013/4/1,41.98,42.34,41.77,42.32,10377191
2013/4/2,42.47,42.94,42.39,42.85,13400252
2013/4/3,42.94,44.05,42.94,43.28,27114066
2013/4/4,43.31,43.78,42.95,43.24,14637835
2013/4/5,42.98,43.16,42.83,43.06,13206372
2013/4/8,43.02,43.40,42.90,43.40,10640868
2013/4/9,43.64,43.84,43.26,43.43,11108066
2013/4/10,43.81,44.82,43.68,44.69,19634385
2013/4/11,44.54,45.33,44.54,45.05,18379719
2013/4/12,44.53,44.97,44.51,44.95,10547491
2013/4/15,44.74,45.32,44.33,44.33,16083970
2013/4/16,44.50,44.90,44.37,44.81,10674614
2013/4/17,44.58,44.76,44.28,44.62,12342506
2013/4/18,44.71,44.83,44.36,44.43,11813685
2013/4/19,44.71,45.31,44.52,45.31,13315154
2013/4/22,45.28,45.77,45.02,45.73,14950139
2013/4/23,45.75,46.47,45.73,46.40,18500868
2013/4/24,46.44,46.56,45.68,45.75,16292418
2013/4/25,45.75,45.80,45.11,45.18,16702081
2013/4/26,45.10,45.87,44.95,45.68,11110477
2013/4/29,45.69,45.92,45.53,45.63,11921943
2013/4/30,45.56,45.65,44.85,44.85,20692446
2013/5/1,42.75,44.19,42.56,43.60,41648358
2013/5/2,43.80,43.90,43.41,43.64,14929389
