date,open,high,low,close,volume
2013/1/1,26.59,26.77,26.37,26.71,42749500
2013/1/2,27.25,27.73,27.15,27.62,52899300
2013/1/3,27.63,27.65,27.16,27.25,48294400
2013/1/4,27.27,27.34,26.73,26.74,52521100
2013/1/7,26.77,26.88,26.64,26.69,37110400
2013/1/8,26.75,26.79,26.46,26.55,44703100
2013/1/9,26.72,26.75,26.56,26.70,49047900
2013/1/10,26.65,26.98,26.29,26.46,71431300
2013/1/11,26.49,26.93,26.28,26.83,55512100
2013/1/14,26.90,27.08,26.76,26.89,48324400
2013/1/15,26.83,27.29,26.83,27.21,48244500
2013/1/16,27.15,27.23,27.01,27.04,41077400
2013/1/17,27.19,27.47,27.06,27.25,51685900
2013/1/18,27.10,27.29,27.04,27.25,52167700
2013/1/21,27.10,27.29,27.04,27.25,52167700
2013/1/22,27.30,27.45,27.00,27.15,58650600
2013/1/23,27.20,27.64,27.20,27.61,50387700
2013/1/24,27.70,28.07,27.47,27.63,101739300
2013/1/25,27.58,28.23,27.39,27.88,81847700
2013/1/28,28.01,28.23,27.76,27.91,56056500
2013/1/29,27.82,28.13,27.60,28.01,49242600
2013/1/30,28.01,28.19,27.76,27.85,43580500
2013/1/31,27.79,27.97,27.40,27.45,50530000
2013/2/1,27.67,28.05,27.55,27.93,55565900
2013/2/4,27.87,28.02,27.42,27.44,50540000
2013/2/5,27.62,27.66,27.36,27.50,35410400
2013/2/6,27.38,27.54,27.25,27.34,41889600
2013/2/7,27.35,27.39,27.10,27.28,38028300
2013/2/8,27.35,27.71,27.31,27.55,33318500
2013/2/11,27.65,27.92,27.50,27.86,32247700
2013/2/12,27.88,28.00,27.75,27.88,35990900
2013/2/13,27.93,28.11,27.88,28.03,41715600
2013/2/14,27.92,28.06,27.87,28.04,32663200
2013/2/15,28.04,28.16,27.88,28.01,49650900
2013/2/18,28.04,28.16,27.88,28.01,49650900
2013/2/19,27.88,28.09,27.80,28.05,38781400
2013/2/20,28.13,28.20,27.83,27.87,44110200
2013/2/21,27.74,27.74,27.23,27.49,49078500
2013/2/22,27.68,27.76,27.48,27.76,31425900
2013/2/25,27.97,28.05,27.37,27.37,48011800
2013/2/26,27.38,27.60,27.34,27.37,49923300
2013/2/27,27.42,28.00,27.33,27.81,36394700
2013/2/28,27.88,27.97,27.74,27.80,35840200
2013/3/1,27.72,27.98,27.52,27.95,34849700
2013/3/4,27.85,28.15,27.70,28.15,38157500
2013/3/5,28.29,28.54,28.16,28.35,41432200
2013/3/6,28.21,28.23,27.78,28.09,51448500
2013/3/7,28.11,28.28,28.01,28.14,29196700
2013/3/8,28.25,28.33,27.96,28.00,37667800
2013/3/11,27.94,27.97,27.67,27.87,36627500
2013/3/12,27.84,27.95,27.64,27.91,39255200
2013/3/13,27.87,28.02,27.75,27.92,29093400
2013/3/14,28.00,28.16,27.93,28.14,55914800
2013/3/15,28.03,28.16,27.98,28.04,92710300
2013/3/18,27.88,28.28,27.81,28.10,44809400
2013/3/19,28.12,28.22,28.03,28.18,51901600
2013/3/20,28.34,28.49,28.18,28.32,35447800
2013/3/21,28.11,28.36,28.05,28.11,34233200
2013/3/22,28.19,28.34,28.10,28.25,28720900
2013/3/25,28.30,28.35,27.96,28.16,44154000
2013/3/26,28.24,28.34,28.11,28.16,27824300
