date,open,high,low,close,volume
2013/1/1,25.42,25.82,25.30,25.80,6807400
2013/1/2,26.20,26.24,25.70,25.92,7512800
2013/1/3,25.98,26.30,25.89,26.18,7232200
2013/1/4,26.25,26.52,26.24,26.44,6794000
2013/1/7,26.40,26.54,26.26,26.48,6489400
2013/1/8,26.36,26.47,26.09,26.20,6714200
2013/1/9,26.28,26.37,26.16,26.23,5530400
2013/1/10,26.32,26.44,26.08,26.27,7705600
2013/1/11,26.33,26.71,26.16,26.55,9791000
2013/1/14,26.59,26.74,26.50,26.59,5591800
2013/1/15,26.52,26.88,26.44,26.82,6507200
2013/1/16,26.76,27.00,26.62,26.86,5300200
2013/1/17,26.90,26.99,26.66,26.74,4864800
2013/1/18,26.74,26.78,26.49,26.65,6145400
2013/1/21,26.74,26.78,26.49,26.65,6145400
2013/1/22,26.71,26.75,26.52,26.74,6207600
2013/1/23,26.57,26.68,26.41,26.55,6779200
2013/1/24,26.59,26.94,26.58,26.93,6819800
2013/1/25,27.07,27.78,27.00,27.77,12542800
2013/1/28,27.70,27.76,27.16,27.25,8038200
2013/1/29,27.19,27.23,26.94,26.96,7214800
2013/1/30,26.99,27.08,26.78,26.81,6343000
2013/1/31,26.81,27.14,26.72,27.02,9143800
2013/2/1,27.23,27.36,26.80,26.85,6773400
2013/2/4,26.80,27.13,26.75,26.83,5075800
2013/2/5,26.97,27.16,26.93,26.94,4527200
2013/2/6,26.84,27.18,26.75,27.08,5297000
2013/2/7,27.11,27.36,27.03,27.34,5573000
2013/2/8,27.28,27.59,27.24,27.30,5100800
2013/2/11,27.64,27.95,27.36,27.61,8916600
2013/2/12,27.45,27.60,27.40,27.55,3866600
2013/2/13,27.51,27.68,27.20,27.28,6053800
2013/2/14,27.28,27.50,27.16,27.31,6164200
2013/2/15,27.34,27.57,27.26,27.48,7056200
2013/2/18,27.34,27.57,27.26,27.48,7056200
2013/2/19,27.44,27.58,27.15,27.24,8511200
2013/2/20,27.20,27.33,27.00,27.01,7587200
2013/2/21,27.42,27.52,27.06,27.27,9355800
2013/2/22,27.30,27.44,27.00,27.24,5855000
2013/2/25,27.27,27.50,27.02,27.02,8566000
2013/2/26,27.20,27.37,26.97,27.14,6085200
2013/2/27,27.08,27.26,26.98,27.17,6269200
2013/2/28,27.13,27.36,27.00,27.23,6713600
2013/3/1,27.21,27.42,27.09,27.41,8053400
2013/3/4,27.27,27.45,27.20,27.36,5291800
2013/3/5,27.45,27.50,27.26,27.45,8098000
2013/3/6,27.48,27.81,27.35,27.65,5812000
2013/3/7,27.70,27.83,27.57,27.61,5685200
2013/3/8,27.56,27.61,27.25,27.34,8013000
2013/3/11,27.28,27.32,27.08,27.26,6754800
2013/3/12,26.85,27.08,26.64,26.75,12341600
2013/3/13,26.81,27.50,26.80,27.42,8185400
2013/3/14,27.42,27.45,27.17,27.34,6910800
2013/3/15,27.33,27.42,27.15,27.39,8121000
2013/3/18,27.22,27.33,27.04,27.08,5079400
2013/3/19,27.15,27.22,26.77,26.92,6628400
2013/3/20,27.03,27.44,27.03,27.42,7941800
2013/3/21,27.23,27.36,26.76,26.80,15896200
2013/3/22,29.00,30.12,28.93,29.76,38657400
2013/3/25,29.69,29.99,29.51,29.78,13317400
2013/3/26,29.67,29.82,29.45,29.74,8948600
2013/3/27,29.51,29.65,29.07,29.23,10445000
2013/3/28,29.48,29.66,29.23,29.50,7612400
2013/3/29,29.48,29.66,29.23,29.50,7612400
2013/4/1,29.50,29.59,28.99,29.13,6969800
2013/4/2,29.18,29.69,29.18,29.45,9330600
2013/4/3,29.60,29.76,29.28,29.45,7626600
2013/4/4,29.40,29.75,29.37,29.67,4999400
2013/4/5,29.29,29.52,29.17,29.49,6189800
2013/4/8,29.44,29.98,29.41,29.98,8013200
2013/4/9,29.91,30.07,29.65,29.94,6675000
2013/4/10,29.96,30.27,29.96,30.15,5951000
2013/4/11,30.18,30.69,30.16,30.60,8789400
2013/4/12,30.53,30.61,30.22,30.29,5538800
2013/4/15,30.23,30.47,29.83,29.83,6662600
2013/4/16,30.01,30.26,29.83,30.25,5960600
2013/4/17,30.08,30.66,30.00,30.45,10434800
2013/4/18,30.49,30.60,29.85,30.09,6016400
2013/4/19,30.29,30.52,30.14,30.46,6768400
2013/4/22,30.55,30.75,30.32,30.68,5968600
2013/4/23,30.81,30.97,30.62,30.84,6119600
2013/4/24,30.92,31.00,30.70,30.76,4168000
2013/4/25,30.81,31.25,30.78,31.03,4367600
2013/4/26,31.08,31.24,30.79,30.94,4825600
2013/4/29,31.00,31.41,30.81,31.32,5841600
2013/4/30,31.36,31.89,31.33,31.80,10094800
2013/5/1,31.78,32.15,31.60,31.68,7924400
2013/5/2,31.75,31.78,31.48,31.66,5605400
2013/5/3,31.84,32.48,31.84,32.28,6950800
2013/5/6,32.20,32.28,31.89,31.98,4750200
2013/5/7,32.10,32.19,31.91,31.95,6298000
2013/5/8,31.85,32.06,31.83,31.95,6259000
