date,open,high,low,close,volume
2013/1/1,0.30,0.31,0.30,0.31,326460000
2013/1/2,0.31,0.32,0.31,0.32,478836000
2013/1/3,0.32,0.32,0.31,0.32,298888000
2013/1/4,0.32,0.33,0.32,0.33,524968000
2013/1/7,0.33,0.33,0.32,0.32,610732000
2013/1/8,0.32,0.32,0.31,0.31,466424000
2013/1/9,0.31,0.32,0.30,0.31,695020000
2013/1/10,0.31,0.31,0.30,0.31,506368000
2013/1/11,0.31,0.31,0.30,0.31,513172000
2013/1/14,0.31,0.31,0.30,0.31,305684000
2013/1/15,0.30,0.30,0.30,0.30,375888000
2013/1/16,0.30,0.30,0.30,0.30,337376000
2013/1/17,0.30,0.31,0.30,0.31,580736000
2013/1/18,0.31,0.31,0.30,0.30,397088000
2013/1/21,0.31,0.31,0.30,0.30,397088000
2013/1/22,0.30,0.31,0.30,0.30,308224000
2013/1/23,0.30,0.30,0.30,0.30,421808000
2013/1/24,0.30,0.31,0.30,0.30,396980000
2013/1/25,0.31,0.31,0.30,0.31,393920000
2013/1/28,0.31,0.32,0.31,0.32,422492000
2013/1/29,0.31,0.31,0.31,0.31,388872000
2013/1/30,0.31,0.31,0.31,0.31,287592000
2013/1/31,0.31,0.31,0.30,0.31,470544000
2013/2/1,0.31,0.31,0.31,0.31,288816000
2013/2/4,0.31,0.31,0.30,0.30,511744000
2013/2/5,0.31,0.31,0.30,0.31,367296000
2013/2/6,0.30,0.31,0.30,0.31,530688000
2013/2/7,0.31,0.31,0.30,0.31,440000000
2013/2/8,0.31,0.31,0.31,0.31,307232000
2013/2/11,0.31,0.32,0.31,0.31,408308000
2013/2/12,0.31,0.31,0.31,0.31,277804000
2013/2/13,0.31,0.32,0.31,0.31,856396000
2013/2/14,0.31,0.32,0.30,0.32,882096000
2013/2/15,0.32,0.32,0.31,0.32,733860000
2013/2/18,0.32,0.32,0.31,0.32,733860000
2013/2/19,0.32,0.32,0.31,0.31,433552000
2013/2/20,0.31,0.32,0.31,0.31,713012000
2013/2/21,0.31,0.31,0.31,0.31,580408000
2013/2/22,0.31,0.31,0.31,0.31,370148000
2013/2/25,0.31,0.32,0.31,0.31,644444000
2013/2/26,0.31,0.31,0.31,0.31,487504000
2013/2/27,0.31,0.32,0.31,0.31,476980000
2013/2/28,0.31,0.32,0.31,0.32,591392000
2013/3/1,0.31,0.32,0.31,0.32,389396000
2013/3/4,0.32,0.32,0.31,0.32,353680000
2013/3/5,0.32,0.32,0.32,0.32,366168000
2013/3/6,0.32,0.32,0.32,0.32,342928000
2013/3/7,0.32,0.32,0.32,0.32,314824000
2013/3/8,0.32,0.32,0.32,0.32,246464000
2013/3/11,0.32,0.32,0.31,0.32,299748000
2013/3/12,0.32,0.32,0.31,0.32,310856000
2013/3/13,0.32,0.32,0.32,0.32,485840000
2013/3/14,0.32,0.32,0.32,0.32,383304000
2013/3/15,0.32,0.32,0.31,0.32,355776000
2013/3/18,0.31,0.32,0.31,0.31,298312000
2013/3/19,0.31,0.32,0.31,0.31,355480000
2013/3/20,0.31,0.32,0.31,0.32,340588000
2013/3/21,0.31,0.31,0.31,0.31,339032000
2013/3/22,0.31,0.31,0.31,0.31,232476000
2013/3/25,0.31,0.31,0.31,0.31,362076000
2013/3/26,0.31,0.31,0.31,0.31,232540000
2013/3/27,0.31,0.32,0.31,0.32,254944000
2013/3/28,0.32,0.32,0.31,0.32,349276000
2013/3/29,0.32,0.32,0.31,0.32,349276000
2013/4/1,0.32,0.32,0.31,0.31,442828000
2013/4/2,0.31,0.31,0.31,0.31,371524000
2013/4/3,0.31,0.31,0.30,0.30,353156000
2013/4/4,0.30,0.31,0.30,0.31,294676000
2013/4/5,0.30,0.31,0.30,0.31,551352000
2013/4/8,0.31,0.31,0.31,0.31,326660000
2013/4/9,0.31,0.32,0.31,0.32,380584000
2013/4/10,0.32,0.32,0.32,0.32,384688000
2013/4/11,0.32,0.32,0.31,0.32,969220000
2013/4/12,0.32,0.33,0.32,0.33,770548000
2013/4/15,0.33,0.33,0.32,0.32,430420000
2013/4/16,0.32,0.33,0.32,0.32,468844000
2013/4/17,0.32,0.32,0.32,0.32,532948000
2013/4/18,0.32,0.32,0.31,0.31,402548000
2013/4/19,0.31,0.32,0.31,0.31,303028000
2013/4/22,0.31,0.32,0.31,0.31,245568000
2013/4/23,0.32,0.33,0.32,0.32,376948000
2013/4/24,0.32,0.34,0.32,0.33,556556000
2013/4/25,0.34,0.34,0.33,0.34,353224000
2013/4/26,0.34,0.34,0.33,0.34,324332000
2013/4/29,0.34,0.34,0.33,0.34,269712000
2013/4/30,0.34,0.34,0.34,0.34,276712000
2013/5/1,0.34,0.35,0.34,0.34,341316000
2013/5/2,0.34,0.35,0.34,0.35,323480000
2013/5/3,0.35,0.35,0.35,0.35,293864000
2013/5/6,0.35,0.35,0.34,0.35,217116000
2013/5/7,0.35,0.35,0.34,0.34,448068000
2013/5/8,0.34,0.35,0.34,0.35,334032000
2013/5/9,0.34,0.35,0.34,0.35,566800000
2013/5/10,0.35,0.37,0.35,0.36,861136000
2013/5/13,0.36,0.36,0.35,0.36,289812000
2013/5/14,0.36,0.36,0.36,0.36,454140000
2013/5/15,0.36,0.37,0.36,0.37,313172000
2013/5/16,0.37,0.37,0.36,0.37,308368000
2013/5/17,0.37,0.37,0.36,0.37,312116000
2013/5/20,0.37,0.37,0.37,0.37,236380000
2013/5/21,0.37,0.37,0.37,0.37,357784000
2013/5/22,0.37,0.37,0.36,0.36,480404000
2013/5/23,0.36,0.37,0.35,0.37,393884000
2013/5/24,0.36,0.37,0.36,0.36,283304000
2013/5/27,0.36,0.37,0.36,0.36,283304000
2013/5/28,0.37,0.37,0.36,0.36,279300000
2013/5/29,0.36,0.36,0.36,0.36,335052000
2013/5/30,0.36,0.37,0.36,0.37,284504000
2013/5/31,0.36,0.37,0.36,0.36,577508000
2013/6/3,0.36,0.37,0.35,0.36,444468000
2013/6/4,0.36,0.37,0.36,0.36,363676000
2013/6/5,0.36,0.36,0.35,0.35,464520000
2013/6/6,0.35,0.36,0.35,0.36,341044000
2013/6/7,0.36,0.36,0.36,0.36,274584000
2013/6/10,0.36,0.36,0.36,0.36,224148000
2013/6/11,0.36,0.36,0.35,0.35,296336000
2013/6/12,0.36,0.36,0.35,0.35,312588000
2013/6/13,0.35,0.36,0.35,0.36,236256000
2013/6/14,0.36,0.36,0.36,0.36,236012000
2013/6/17,0.36,0.37,0.36,0.36,255336000
2013/6/18,0.36,0.37,0.36,0.36,486772000
2013/6/19,0.36,0.39,0.36,0.37,1159588000
2013/6/20,0.37,0.37,0.36,0.36,628696000
2013/6/21,0.36,0.36,0.35,0.36,714228000
2013/6/24,0.36,0.36,0.35,0.35,580772000
2013/6/25,0.36,0.36,0.35,0.36,457360000
2013/6/26,0.36,0.36,0.35,0.35,579752000
2013/6/27,0.35,0.35,0.35,0.35,808036000
2013/6/28,0.35,0.35,0.35,0.35,431536000
2013/7/1,0.35,0.35,0.35,0.35,199524000
2013/7/2,0.35,0.36,0.35,0.35,256392000
2013/7/3,0.35,0.36,0.35,0.35,140388000
2013/7/4,0.35,0.36,0.35,0.35,140388000
2013/7/5,0.35,0.36,0.35,0.36,184684000
2013/7/8,0.36,0.36,0.35,0.35,262084000
2013/7/9,0.35,0.36,0.35,0.36,157364000
2013/7/10,0.36,0.36,0.35,0.36,208468000
2013/7/11,0.36,0.37,0.36,0.37,239832000
2013/7/12,0.37,0.37,0.36,0.37,216360000
2013/7/15,0.37,0.37,0.36,0.37,201332000
2013/7/16,0.37,0.37,0.37,0.37,162560000
2013/7/17,0.37,0.37,0.36,0.37,166100000
2013/7/18,0.36,0.37,0.36,0.36,344488000
2013/7/19,0.36,0.36,0.35,0.36,480532000
2013/7/22,0.36,0.36,0.35,0.36,292384000
2013/7/23,0.36,0.36,0.35,0.36,246792000
2013/7/24,0.36,0.36,0.35,0.36,284252000
2013/7/25,0.35,0.36,0.35,0.36,243320000
2013/7/26,0.35,0.36,0.35,0.35,227360000
2013/7/29,0.35,0.36,0.35,0.35,179540000
2013/7/30,0.36,0.37,0.36,0.36,266076000
2013/7/31,0.36,0.36,0.36,0.36,270160000
2013/8/1,0.36,0.37,0.36,0.37,277648000
2013/8/2,0.37,0.37,0.36,0.37,209628000
2013/8/5,0.37,0.37,0.37,0.37,185188000
2013/8/6,0.37,0.37,0.36,0.37,206608000
2013/8/7,0.36,0.37,0.36,0.37,244380000
2013/8/8,0.37,0.37,0.36,0.37,345696000
2013/8/9,0.35,0.37,0.35,0.36,906224000
2013/8/12,0.35,0.36,0.33,0.36,257568000
2013/8/13,0.36,0.36,0.36,0.36,197468000
2013/8/14,0.36,0.38,0.36,0.38,828508000
2013/8/15,0.37,0.38,0.37,0.38,723616000
2013/8/16,0.38,0.38,0.38,0.38,660456000
2013/8/19,0.38,0.38,0.37,0.37,393432000
2013/8/20,0.37,0.38,0.37,0.37,234192000
2013/8/21,0.37,0.38,0.37,0.37,261540000
2013/8/22,0.37,0.38,0.37,0.37,129016000
2013/8/23,0.37,0.38,0.37,0.37,245120000
2013/8/26,0.37,0.38,0.37,0.37,300152000
2013/8/27,0.37,0.37,0.37,0.37,277464000
2013/8/28,0.37,0.37,0.37,0.37,318824000
2013/8/29,0.37,0.37,0.37,0.37,276216000
2013/8/30,0.37,0.37,0.37,0.37,378120000
2013/9/2,0.37,0.37,0.37,0.37,378120000
2013/9/3,0.37,0.37,0.37,0.37,284680000
2013/9/4,0.37,0.37,0.37,0.37,222080000
2013/9/5,0.37,0.38,0.37,0.37,174904000
2013/9/6,0.37,0.38,0.37,0.37,226756000
2013/9/9,0.38,0.38,0.37,0.38,246408000
2013/9/10,0.38,0.39,0.38,0.39,292132000
2013/9/11,0.39,0.39,0.38,0.39,396164000
2013/9/12,0.39,0.40,0.39,0.39,303808000
2013/9/13,0.39,0.40,0.39,0.40,159696000
2013/9/16,0.40,0.40,0.39,0.40,231412000
2013/9/17,0.40,0.40,0.40,0.40,168608000
2013/9/18,0.40,0.40,0.39,0.40,268168000
2013/9/19,0.40,0.40,0.40,0.40,227572000
2013/9/20,0.40,0.40,0.39,0.39,356036000
2013/9/23,0.39,0.40,0.39,0.39,271244000
2013/9/24,0.39,0.39,0.39,0.39,229732000
2013/9/25,0.39,0.40,0.39,0.39,233156000
2013/9/26,0.39,0.39,0.39,0.39,148816000
2013/9/27,0.39,0.39,0.39,0.39,151920000
2013/9/30,0.39,0.39,0.38,0.39,226640000
2013/10/1,0.39,0.39,0.39,0.39,226976000
2013/10/2,0.38,0.39,0.38,0.39,162036000
2013/10/3,0.39,0.39,0.38,0.38,436768000
2013/10/4,0.38,0.39,0.38,0.39,246228000
2013/10/7,0.39,0.39,0.39,0.39,169952000
2013/10/8,0.39,0.39,0.38,0.39,290712000
2013/10/9,0.39,0.39,0.38,0.38,275860000
2013/10/10,0.38,0.39,0.38,0.38,223484000
2013/10/11,0.38,0.38,0.38,0.38,213704000
2013/10/14,0.38,0.39,0.38,0.39,166628000
2013/10/15,0.39,0.39,0.38,0.39,208820000
2013/10/16,0.39,0.39,0.39,0.39,210072000
2013/10/17,0.39,0.39,0.39,0.39,213324000
2013/10/18,0.39,0.40,0.39,0.40,255068000
2013/10/21,0.40,0.40,0.40,0.40,195008000
2013/10/22,0.40,0.40,0.39,0.39,179452000
2013/10/23,0.39,0.39,0.39,0.39,252216000
2013/10/24,0.39,0.39,0.38,0.38,236436000
2013/10/25,0.39,0.39,0.38,0.38,330492000
2013/10/28,0.38,0.38,0.38,0.38,394024000
2013/10/29,0.38,0.38,0.38,0.38,387952000
2013/10/30,0.38,0.38,0.38,0.38,204032000
2013/10/31,0.38,0.38,0.38,0.38,293368000
2013/11/1,0.38,0.38,0.38,0.38,206136000
2013/11/4,0.38,0.38,0.37,0.37,410264000
2013/11/5,0.37,0.37,0.36,0.37,422368000
2013/11/6,0.37,0.37,0.37,0.37,198044000
2013/11/7,0.37,0.37,0.36,0.36,553076000
2013/11/8,0.38,0.39,0.37,0.39,734532000
2013/11/11,0.39,0.39,0.39,0.39,297624000
2013/11/12,0.39,0.40,0.39,0.39,316032000
2013/11/13,0.39,0.40,0.39,0.40,332792000
2013/11/14,0.40,0.41,0.40,0.41,307980000
2013/11/15,0.41,0.41,0.40,0.40,450332000
2013/11/18,0.40,0.40,0.39,0.39,316948000
2013/11/19,0.39,0.39,0.39,0.39,206716000
2013/11/20,0.39,0.39,0.38,0.38,204776000
2013/11/21,0.38,0.38,0.38,0.38,213568000
2013/11/22,0.38,0.38,0.38,0.38,158668000
2013/11/25,0.38,0.39,0.38,0.39,248208000
2013/11/26,0.39,0.40,0.39,0.39,753176000
2013/11/27,0.39,0.39,0.39,0.39,181272000
2013/11/28,0.39,0.39,0.39,0.39,181272000
2013/11/29,0.39,0.39,0.39,0.39,116964000
2013/12/2,0.39,0.40,0.39,0.39,373872000
2013/12/3,0.39,0.40,0.39,0.39,290560000
2013/12/4,0.39,0.40,0.39,0.40,493176000
2013/12/5,0.40,0.40,0.39,0.39,271812000
2013/12/6,0.40,0.40,0.39,0.39,281000000
2013/12/9,0.39,0.39,0.38,0.38,385220000
2013/12/10,0.38,0.39,0.38,0.39,524268000
