date,open,high,low,close,volume
2013/1/1,67.00,67.97,66.83,67.89,9061900
2013/1/2,68.65,69.39,68.35,69.39,9987000
2013/1/3,69.44,69.50,68.94,68.95,7741900
2013/1/4,69.01,69.17,68.68,69.09,5853700
2013/1/7,68.92,68.92,68.38,68.62,5269800
2013/1/8,68.52,68.73,68.40,68.51,7362000
2013/1/9,68.77,69.11,68.61,68.88,5762900
2013/1/10,68.98,69.29,68.68,69.27,12855000
2013/1/11,69.30,69.30,69.01,69.22,12193500
2013/1/14,69.31,69.97,69.23,69.63,11570700
2013/1/15,69.16,69.96,69.15,69.88,7563400
2013/1/16,69.42,69.70,69.11,69.34,7061000
2013/1/17,69.56,69.96,69.34,69.67,6263300
2013/1/18,69.69,70.00,69.67,69.94,10610800
2013/1/21,69.69,70.00,69.67,69.94,10610800
2013/1/22,69.86,69.98,69.75,69.95,8313600
2013/1/23,69.84,70.70,69.80,70.69,10588600
2013/1/24,70.68,70.85,70.20,70.42,8877200
2013/1/25,71.75,73.25,71.75,73.25,28760300
2013/1/28,73.73,74.23,73.19,73.77,14010000
2013/1/29,73.55,75.31,73.52,75.00,17576700
2013/1/30,74.75,75.48,74.67,75.08,12677800
2013/1/31,74.83,75.26,74.67,75.16,11661500
2013/2/1,75.30,75.97,75.17,75.92,12204000
2013/2/4,75.69,75.80,74.95,75.25,11086000
2013/2/5,75.44,76.69,75.32,75.70,14851700
2013/2/6,75.32,76.19,75.04,76.15,17015800
2013/2/7,75.98,76.42,75.79,76.15,9897000
2013/2/8,76.15,76.48,75.56,75.75,9130700
2013/2/11,75.41,75.92,75.12,75.81,6928200
2013/2/12,75.96,76.31,75.81,75.98,6281000
2013/2/13,76.01,76.58,75.98,76.56,7113300
2013/2/14,76.30,76.97,76.25,76.78,10049400
2013/2/15,76.72,76.96,76.21,76.54,11165600
2013/2/18,76.72,76.96,76.21,76.54,11165600
2013/2/19,76.56,77.77,76.49,77.38,11783500
2013/2/20,77.27,77.52,76.92,77.08,9275400
2013/2/21,76.28,77.20,75.90,77.04,10305200
2013/2/22,77.05,77.19,76.75,76.99,8433200
2013/2/25,77.07,77.67,75.92,75.92,9970400
2013/2/26,75.99,76.38,75.77,76.08,8378900
2013/2/27,75.95,76.95,75.70,76.75,7567800
2013/2/28,76.66,76.91,76.17,76.18,10466900
2013/3/1,75.70,76.72,75.56,76.49,9599700
2013/3/4,76.25,76.68,75.97,76.68,7631000
2013/3/5,76.78,77.39,76.72,77.05,9716200
2013/3/6,77.01,77.45,76.81,77.20,7194700
2013/3/7,77.22,77.49,76.78,76.90,7111400
2013/3/8,77.01,77.20,76.46,77.18,7252800
2013/3/11,77.02,77.39,76.90,77.35,6621000
2013/3/12,77.19,77.45,77.00,77.17,7016700
2013/3/13,77.07,77.10,76.52,76.80,6340300
2013/3/14,76.87,77.47,76.83,77.39,8079100
2013/3/15,77.08,77.38,76.34,76.34,15237000
2013/3/18,75.90,76.55,75.80,76.16,7081800
2013/3/19,76.14,77.18,76.11,77.11,9326400
2013/3/20,77.29,77.82,77.27,77.58,8615800
2013/3/21,77.42,77.67,77.14,77.21,6319500
2013/3/22,77.18,77.45,77.00,77.27,5868400
2013/3/25,77.27,77.62,76.44,76.68,6843600
2013/3/26,77.02,77.50,76.89,77.40,5386000
2013/3/27,76.98,77.11,76.57,77.06,5274600
2013/3/28,76.95,77.16,76.66,77.06,8016700
2013/3/29,76.95,77.16,76.66,77.06,8016700
2013/4/1,76.85,77.85,76.73,77.70,7266000
2013/4/2,77.84,79.15,77.65,78.96,13373600
2013/4/3,78.88,79.08,77.84,78.12,8426700
2013/4/4,78.32,78.98,78.25,78.54,8770600
2013/4/5,77.88,78.39,77.83,78.23,6562600
2013/4/8,78.12,78.88,77.88,78.79,6284500
2013/4/9,78.82,78.89,78.07,78.26,6760600
2013/4/10,78.49,79.49,78.43,79.24,7947600
2013/4/11,79.37,80.13,79.33,79.67,11831600
2013/4/12,79.51,80.66,79.47,80.08,9383400
2013/4/15,79.79,80.84,79.60,79.65,10877200
2013/4/16,79.83,80.21,79.37,80.10,9365600
2013/4/17,79.98,80.14,78.85,79.06,10964600
