date,open,high,low,close,volume
2013/1/1,50.13,51.53,50.11,51.27,2525400
2013/1/2,52.00,52.47,51.58,52.23,5195400
2013/1/3,52.22,52.82,51.60,51.71,2838000
2013/1/4,52.08,53.91,52.08,52.93,3327900
2013/1/7,52.75,52.88,52.39,52.83,2156700
2013/1/8,52.86,53.65,52.74,53.65,3461100
2013/1/9,53.76,54.38,53.29,54.06,3315900
2013/1/10,54.17,54.19,53.45,54.12,2940300
2013/1/11,53.78,53.81,53.44,53.76,2616300
2013/1/14,53.82,54.11,53.60,53.73,1754700
2013/1/15,53.64,53.77,53.43,53.67,1374300
2013/1/16,53.57,53.96,53.52,53.81,1584300
2013/1/17,54.06,54.36,53.99,54.28,1566000
2013/1/18,54.41,54.74,53.93,54.67,2851500
2013/1/21,54.41,54.74,53.93,54.67,2851500
2013/1/22,54.75,54.82,54.31,54.57,2531400
2013/1/23,54.46,54.95,54.46,54.94,2171100
2013/1/24,55.00,55.75,54.94,55.26,2748600
2013/1/25,55.46,55.62,55.03,55.17,2355600
2013/1/28,55.06,55.20,54.42,54.70,2183400
2013/1/29,54.60,54.77,54.09,54.39,2321100
2013/1/30,54.53,54.87,53.85,54.10,3636900
2013/1/31,53.42,54.91,53.27,54.05,5520000
2013/2/1,54.23,54.90,54.08,54.61,2528100
2013/2/4,54.25,54.72,54.17,54.41,2890800
2013/2/5,54.61,54.73,53.92,54.39,2199600
2013/2/6,54.33,54.58,53.88,54.34,2132400
2013/2/7,54.26,54.46,53.58,54.30,1616700
2013/2/8,54.38,54.67,54.23,54.59,1139100
2013/2/11,54.48,54.90,54.22,54.83,1678800
2013/2/12,54.30,55.00,54.09,54.89,2105400
2013/2/13,55.00,55.23,54.86,55.15,1356900
2013/2/14,55.06,55.16,54.38,54.56,2083200
2013/2/15,54.78,55.76,54.78,55.57,2998800
2013/2/18,54.78,55.76,54.78,55.57,2998800
2013/2/19,55.40,55.50,54.07,54.70,2621400
2013/2/20,54.70,54.70,53.08,53.11,2779200
2013/2/21,52.83,52.92,51.56,51.97,3718200
2013/2/22,52.33,52.66,51.60,52.62,3208200
2013/2/25,52.83,53.14,51.42,51.45,2955000
2013/2/26,51.46,52.22,51.31,51.98,2943900
2013/2/27,52.09,53.94,52.03,53.74,3312600
2013/2/28,53.74,54.49,53.70,53.86,4348500
2013/3/1,53.50,54.58,53.24,54.16,2803800
2013/3/4,53.98,55.13,53.94,55.13,2478600
2013/3/5,55.42,55.83,54.80,54.95,2279400
2013/3/6,55.23,55.45,54.34,54.59,2117400
2013/3/7,54.71,55.16,54.64,54.95,1525500
2013/3/8,55.18,55.46,54.64,55.29,1374300
2013/3/11,55.39,55.96,55.34,55.91,1611000
2013/3/12,56.05,56.33,55.65,55.88,2075100
2013/3/13,55.68,56.72,55.66,56.37,2320200
2013/3/14,56.52,57.08,56.22,56.36,2442900
2013/3/15,56.20,56.70,56.13,56.23,3518700
2013/3/18,55.99,56.85,55.58,56.63,1639200
2013/3/19,56.71,56.94,56.05,56.49,1317000
2013/3/20,56.68,57.47,56.62,57.37,1406700
2013/3/21,57.04,57.33,56.29,56.30,1871400
2013/3/22,56.42,56.90,55.96,56.06,1519200
2013/3/25,56.35,56.72,55.78,56.07,1366500
2013/3/26,56.57,56.69,56.14,56.47,1667400
2013/3/27,56.17,56.49,55.88,56.43,1299300
2013/3/28,56.40,56.67,56.01,56.30,1641300
2013/3/29,56.40,56.67,56.01,56.30,1641300
2013/4/1,56.12,56.50,55.67,55.86,1880700
2013/4/2,56.18,56.18,55.64,55.97,1346700
2013/4/3,56.09,56.16,54.07,54.98,2706300
2013/4/4,55.11,55.48,54.73,55.21,1591800
2013/4/5,54.50,55.29,54.21,55.27,1719600
2013/4/8,55.21,55.49,54.68,55.28,1557000
2013/4/9,55.42,55.55,54.80,55.45,1440000
2013/4/10,55.49,56.15,55.24,56.09,1494000
2013/4/11,56.06,57.21,55.88,57.01,2255100
2013/4/12,56.75,57.27,56.49,56.91,1857000
2013/4/15,57.54,58.29,56.12,56.20,3779100
2013/4/16,56.58,58.49,56.58,58.18,4722000
2013/4/17,57.93,58.28,56.83,56.96,4896600
2013/4/18,56.66,59.00,56.20,58.29,5658600
2013/4/19,58.33,59.94,58.19,59.68,4623000
2013/4/22,59.31,60.42,58.92,60.23,2130900
2013/4/23,60.37,60.78,59.94,60.48,3212100
2013/4/24,60.60,60.87,60.20,60.34,1504800
2013/4/25,60.70,61.59,60.57,61.41,2682300
2013/4/26,61.43,61.52,60.41,61.07,2022900
2013/4/29,61.12,61.19,60.63,60.90,1560900
2013/4/30,60.74,61.04,60.28,61.04,1726500
2013/5/1,60.83,61.07,60.33,60.37,1495200
2013/5/2,60.64,61.56,60.59,61.38,1473000
2013/5/3,61.67,62.76,61.67,62.66,2114100
2013/5/6,62.65,62.69,62.01,62.59,1548900
2013/5/7,62.57,63.23,62.46,63.09,1849200
2013/5/8,63.08,63.33,62.84,63.21,1359900
2013/5/9,63.26,63.38,62.78,62.80,1947600
2013/5/10,62.89,63.22,62.56,62.67,1891800
2013/5/13,62.59,62.72,62.28,62.57,2262900
2013/5/14,62.59,64.85,62.59,64.51,3277200
2013/5/15,64.39,64.67,64.03,64.52,1613400
2013/5/16,64.41,64.41,63.16,63.33,1881600
2013/5/17,63.58,63.96,63.34,63.61,1695300
2013/5/20,63.49,63.81,62.67,62.90,1857300
2013/5/21,62.82,63.61,62.82,63.32,1254600
2013/5/22,63.33,63.71,62.18,62.38,1853400
2013/5/23,61.80,62.71,61.39,62.03,1685700
2013/5/24,62.68,63.26,62.04,63.07,1647600
2013/5/27,62.68,63.26,62.04,63.07,1647600
2013/5/28,63.68,64.41,63.63,63.97,1941000
2013/5/29,63.34,63.92,63.09,63.33,1668600
