date,open,high,low,close,volume
2013/1/1,139.66,142.56,139.54,142.41,243935200
2013/1/2,145.11,146.15,144.73,146.06,192059000
2013/1/3,145.99,146.37,145.34,145.73,144761800
2013/1/4,145.97,146.61,145.67,146.37,116817700
2013/1/7,145.85,146.11,145.43,145.97,110002500
2013/1/8,145.71,145.91,144.98,145.55,121265100
2013/1/9,145.87,146.32,145.64,145.92,90745600
2013/1/10,146.73,147.09,145.97,147.08,130735400
2013/1/11,147.04,147.15,146.61,147.07,113917300
2013/1/14,146.89,147.07,146.43,146.97,89567200
2013/1/15,146.29,147.21,146.20,147.07,93172600
2013/1/16,146.77,147.28,146.61,147.05,104849500
2013/1/17,147.70,148.42,147.15,148.00,133833500
2013/1/18,147.97,148.49,147.43,148.33,169906000
2013/1/21,147.97,148.49,147.43,148.33,169906000
2013/1/22,148.33,149.13,147.98,149.13,111797300
2013/1/23,149.13,149.50,148.86,149.37,104596100
2013/1/24,149.15,150.14,149.01,149.41,146426400
2013/1/25,149.88,150.25,149.37,150.25,147211600
2013/1/28,150.29,150.33,149.51,150.07,113357700
2013/1/29,149.77,150.85,149.67,150.66,105694400
2013/1/30,150.64,150.94,149.93,150.07,137447700
2013/1/31,149.89,150.38,149.60,149.70,108975800
2013/2/1,150.65,151.42,150.39,151.24,131173000
2013/2/4,150.32,151.27,149.43,149.54,159073600
2013/2/5,150.35,151.48,150.29,151.05,113912400
2013/2/6,150.52,151.26,150.41,151.16,138762800
2013/2/7,151.21,151.35,149.86,150.96,162490000
2013/2/8,151.22,151.89,151.22,151.80,103133700
2013/2/11,151.74,151.90,151.39,151.77,73775000
2013/2/12,151.78,152.30,151.61,152.02,65392700
2013/2/13,152.33,152.61,151.72,152.15,82322600
2013/2/14,151.69,152.47,151.52,152.29,80834300
2013/2/15,152.43,152.59,151.55,152.11,215226500
2013/2/18,152.43,152.59,151.55,152.11,215226500
2013/2/19,152.37,153.28,152.16,153.25,95105400
2013/2/20,153.14,153.19,151.26,151.34,160574800
2013/2/21,150.96,151.42,149.94,150.42,183257000
2013/2/22,151.15,151.89,150.49,151.89,106356600
2013/2/25,152.63,152.86,149.00,149.00,245824800
2013/2/26,149.72,150.20,148.73,150.02,186596200
2013/2/27,149.89,152.33,149.76,151.91,150781900
2013/2/28,151.90,152.87,151.41,151.61,126866000
2013/3/1,151.09,152.34,150.41,152.11,170634800
2013/3/4,151.76,152.92,151.52,152.92,99010200
2013/3/5,153.66,154.70,153.64,154.29,121431900
2013/3/6,154.84,154.92,154.16,154.50,94469900
2013/3/7,154.70,154.98,154.52,154.78,86101400
2013/3/8,155.46,155.65,154.66,155.44,123477800
2013/3/11,155.32,156.04,155.13,156.03,83746800
2013/3/12,155.92,156.10,155.21,155.68,105755800
2013/3/13,155.76,156.12,155.23,155.90,92550900
2013/3/14,156.31,156.80,155.91,156.73,126329900
2013/3/15,155.85,156.04,155.31,155.83,138601100
