date,open,high,low,close,volume
2013/1/1,71.01,71.84,70.73,71.82,2128600
2013/1/2,73.09,73.09,72.50,72.86,2886500
2013/1/3,72.80,73.60,72.52,73.42,2124800
2013/1/4,73.50,74.19,73.36,74.06,2013300
2013/1/7,73.67,73.89,72.60,73.06,2207500
2013/1/8,72.98,73.39,72.85,73.19,1431200
2013/1/9,73.42,74.13,73.32,73.94,1617100
2013/1/10,74.31,74.47,74.00,74.45,2358200
2013/1/11,74.39,74.87,74.29,74.85,1266600
2013/1/14,74.87,75.14,74.58,74.95,859300
2013/1/15,74.69,75.71,74.51,75.56,1803100
2013/1/16,75.48,75.92,75.11,75.55,1238300
2013/1/17,75.62,76.12,75.29,75.90,1524200
2013/1/18,76.09,76.67,75.95,76.31,2672100
2013/1/21,76.09,76.67,75.95,76.31,2672100
2013/1/22,79.50,80.00,77.76,77.95,4917500
2013/1/23,78.06,78.10,77.15,77.64,2496000
2013/1/24,77.78,78.49,77.62,78.09,1546700
2013/1/25,78.25,78.55,77.82,78.35,1524200
2013/1/28,78.20,78.44,77.33,77.35,1703600
2013/1/29,77.40,78.00,77.28,77.81,1455500
2013/1/30,77.63,77.87,77.09,77.58,1728200
2013/1/31,77.59,78.59,77.49,78.46,3044600
2013/2/1,79.00,80.44,78.96,79.89,3129600
2013/2/4,78.57,78.83,77.79,78.00,3545600
2013/2/5,78.20,79.03,78.00,78.65,2661400
2013/2/6,78.15,78.98,78.03,78.96,2224200
2013/2/7,79.14,79.16,78.05,79.12,2285900
2013/2/8,79.12,79.12,78.43,78.86,2422000
2013/2/11,78.75,79.32,78.53,79.21,1648800
2013/2/12,79.10,80.18,79.10,79.90,1745600
2013/2/13,79.90,80.31,79.81,79.99,1457600
2013/2/14,79.64,80.47,79.53,80.34,1810600
2013/2/15,80.76,80.85,79.95,80.39,2257700
2013/2/18,80.76,80.85,79.95,80.39,2257700
2013/2/19,80.50,81.07,80.27,80.60,2199800
2013/2/20,80.66,80.96,80.07,80.11,2046900
2013/2/21,80.08,80.40,79.92,80.38,2422200
2013/2/22,80.68,81.15,80.58,81.01,1773600
2013/2/25,80.99,81.00,79.25,79.25,2491300
2013/2/26,79.42,80.11,79.28,80.04,2062300
2013/2/27,80.11,80.84,79.87,80.78,1385800
2013/2/28,80.61,81.25,80.33,80.42,2160800
2013/3/1,80.16,80.72,79.35,80.69,1843700
2013/3/4,80.65,80.65,79.99,80.52,1501600
2013/3/5,80.79,82.00,80.56,81.46,2079000
2013/3/6,81.61,81.88,80.90,81.07,1277400
2013/3/7,81.11,81.44,80.90,81.20,1141600
2013/3/8,81.68,82.05,81.24,81.65,1396400
2013/3/11,81.58,81.80,81.18,81.75,1311300
2013/3/12,81.56,81.94,81.47,81.74,1234700
2013/3/13,81.77,82.27,81.72,82.12,1424200
2013/3/14,82.24,82.89,81.98,82.36,2082500
2013/3/15,82.64,83.15,81.96,82.28,4755100
2013/3/18,81.86,83.11,81.86,82.53,1996200
2013/3/19,82.74,83.41,82.66,83.19,2018500
2013/3/20,83.60,84.10,83.37,83.84,1941500
2013/3/21,83.53,84.09,83.40,83.75,1846300
2013/3/22,84.37,84.37,83.42,83.69,2379700
2013/3/25,84.03,84.11,82.94,83.37,2229700
2013/3/26,83.64,84.06,83.19,83.36,2034900
2013/3/27,83.10,83.59,82.57,83.37,2005800
2013/3/28,83.43,84.28,83.43,84.19,1312700
2013/3/29,83.43,84.28,83.43,84.19,1312700
2013/4/1,84.37,84.72,83.75,83.95,1306000
2013/4/2,84.10,84.62,84.10,84.41,1200900
2013/4/3,84.64,84.72,83.67,83.72,1674700
2013/4/4,83.92,84.61,83.85,84.34,1366900
2013/4/5,83.78,84.48,83.34,84.41,1912300
2013/4/8,84.38,84.79,83.98,84.73,1121100
2013/4/9,84.97,85.60,84.65,85.27,1401700
2013/4/10,85.29,85.61,84.64,84.81,1626400
2013/4/11,84.99,86.13,84.99,86.06,2246700
2013/4/12,85.91,86.41,85.61,86.26,1180900
2013/4/15,86.20,86.61,84.71,84.71,2303100
2013/4/16,85.08,86.60,84.75,86.55,2238100
2013/4/17,86.06,86.15,84.80,85.07,2145800
2013/4/18,85.43,85.70,83.73,84.10,1913800
2013/4/19,84.33,84.94,84.24,84.81,2164400
2013/4/22,84.80,85.03,83.95,84.58,2775200
2013/4/23,87.41,89.00,85.76,86.35,3445200
2013/4/24,86.36,86.64,85.57,85.86,2033600
2013/4/25,85.95,86.00,85.07,85.27,2137700
2013/4/26,85.22,85.85,85.13,85.15,1652200
2013/4/29,85.20,85.60,84.75,85.48,2124300
2013/4/30,85.26,85.64,85.04,85.41,1675100
2013/5/1,85.46,85.49,83.98,84.10,1821700
2013/5/2,84.11,84.51,84.00,84.42,1348000
2013/5/3,85.05,85.71,85.03,85.41,1659500
2013/5/6,85.37,85.56,84.91,85.31,1558300
2013/5/7,86.22,86.23,85.51,86.02,1181400
2013/5/8,86.12,87.29,86.02,87.28,2590300
2013/5/9,87.28,87.40,86.23,86.46,1651800
2013/5/10,86.56,86.69,86.00,86.49,1134300
2013/5/13,86.31,86.84,86.19,86.50,884600
2013/5/14,86.60,87.90,86.50,87.90,1635300
2013/5/15,87.65,87.91,87.03,87.78,1688200
2013/5/16,87.59,87.69,86.62,86.87,1674900
2013/5/17,87.10,87.35,86.05,86.50,2203700
2013/5/20,86.24,86.67,85.43,85.55,1668200
2013/5/21,85.35,85.66,83.16,83.63,4430000
2013/5/22,83.56,84.32,83.27,83.77,3411800
2013/5/23,83.14,83.84,82.76,83.50,2011200
2013/5/24,82.91,83.62,82.59,83.60,1294900
2013/5/27,82.91,83.62,82.59,83.60,1294900
2013/5/28,84.38,84.46,82.74,83.22,2388900
2013/5/29,82.89,83.96,82.63,83.67,2416300
2013/5/30,83.66,84.78,83.66,84.56,1721800
2013/5/31,84.39,85.09,83.72,83.72,2353600
2013/6/3,83.78,84.08,82.96,83.76,2294900
2013/6/4,83.90,84.32,83.43,83.82,2491200
2013/6/5,83.50,83.90,82.20,82.24,2958400
2013/6/6,81.86,81.95,80.63,81.74,2763500
2013/6/7,82.14,83.72,81.50,83.44,2970800
2013/6/10,83.44,83.62,82.52,83.30,2206000
2013/6/11,82.55,82.90,81.88,82.08,2147200
2013/6/12,82.56,82.84,81.44,81.45,1439200
2013/6/13,81.52,82.83,80.91,82.80,1655100
2013/6/14,82.88,83.08,81.97,82.15,1268900
2013/6/17,82.48,83.79,82.48,83.23,2043600
2013/6/18,83.42,84.27,83.41,84.09,2021700
2013/6/19,83.89,84.08,82.28,82.28,1913800
2013/6/20,81.52,81.71,79.68,79.78,2842600
2013/6/21,80.11,80.31,78.57,79.07,4046600
2013/6/24,78.14,78.50,77.38,77.85,2833300
2013/6/25,78.30,79.15,78.20,78.43,2287200
2013/6/26,78.93,80.02,78.90,79.79,2367600
2013/6/27,80.05,80.38,79.81,80.34,1886400
2013/6/28,80.05,80.64,79.49,79.92,2662700
2013/7/1,80.44,81.50,80.44,81.11,2291300
2013/7/2,81.01,81.31,79.52,79.82,2281900
2013/7/3,79.54,80.64,79.35,80.40,789400
2013/7/4,79.54,80.64,79.35,80.40,789400
2013/7/5,80.93,81.35,80.00,81.34,1374000
2013/7/8,81.60,82.31,81.60,81.76,1551000
2013/7/9,82.33,82.57,81.69,82.05,1915000
2013/7/10,82.02,82.08,81.09,81.57,1451200
2013/7/11,82.62,82.86,82.14,82.70,1620200
2013/7/12,82.55,84.24,82.55,84.18,2117500
2013/7/15,83.90,84.18,83.05,83.28,2313000
2013/7/16,83.46,83.76,82.96,83.23,1348900
2013/7/17,83.68,84.13,83.43,83.99,1720100
2013/7/18,84.38,84.70,84.27,84.53,2359600
2013/7/19,84.56,84.80,84.19,84.66,1514600
2013/7/22,84.66,85.53,84.57,85.43,1717200
2013/7/23,84.76,85.08,82.10,82.21,5637300
2013/7/24,82.33,82.83,81.64,82.18,2579100
2013/7/25,82.05,82.95,81.51,82.85,2656300
2013/7/26,82.55,83.60,82.12,83.60,2138000
2013/7/29,83.56,83.60,82.87,83.41,2011300
2013/7/30,83.60,83.93,82.97,83.39,2282800
2013/7/31,83.51,84.15,83.25,83.55,2481700
2013/8/1,84.25,84.77,84.10,84.36,1809900
2013/8/2,84.38,84.38,83.51,84.00,1525500
2013/8/5,83.87,84.00,83.00,83.15,1345600
2013/8/6,83.02,83.24,82.01,82.36,1921900
2013/8/7,82.10,82.23,81.47,81.86,1415700
2013/8/8,82.11,82.71,81.51,82.03,1908600
2013/8/9,82.09,82.18,81.49,82.10,1366000
2013/8/12,81.55,82.54,81.47,82.32,1788800
2013/8/13,82.35,82.43,81.14,81.94,2018300
2013/8/14,81.55,82.42,81.55,82.18,1925500
2013/8/15,81.52,81.92,80.83,81.07,1887900
2013/8/16,81.13,81.80,81.02,81.10,1752800
2013/8/19,81.15,81.19,80.19,80.23,1542900
2013/8/20,80.25,80.71,80.13,80.27,1578500
2013/8/21,80.10,80.10,79.13,79.42,2413800
2013/8/22,79.57,80.69,79.38,80.55,1145800
2013/8/23,80.56,80.60,79.93,80.19,1336200
2013/8/26,80.25,80.56,79.89,80.12,1572800
2013/8/27,79.34,79.99,79.16,79.74,2241400
2013/8/28,79.67,80.27,79.38,79.89,1880800
2013/8/29,79.69,80.75,79.50,80.25,1464900
2013/8/30,80.21,80.25,79.41,79.90,1438200
2013/9/2,80.21,80.25,79.41,79.90,1438200
2013/9/3,80.74,81.30,80.06,80.57,1527100
2013/9/4,80.49,81.32,80.26,81.07,1500300
2013/9/5,80.94,81.10,80.59,80.66,1682100
2013/9/6,80.48,81.05,79.12,80.49,1923300
2013/9/9,80.74,82.31,80.54,82.19,2797100
2013/9/10,82.70,82.85,81.69,82.54,2552300
2013/9/11,82.56,83.88,82.42,83.73,2431100
2013/9/12,83.13,83.60,82.92,83.12,1988700
2013/9/13,83.41,83.91,83.23,83.56,1198600
2013/9/16,84.57,84.98,84.25,84.57,2031200
2013/9/17,84.74,85.12,84.69,84.87,1711100
2013/9/18,84.10,86.00,84.10,85.91,2155900
2013/9/19,86.46,87.53,86.05,86.90,2876600
2013/9/20,86.95,87.42,86.06,86.06,5257600
2013/9/23,86.62,87.20,86.34,86.38,2246000
2013/9/24,86.32,86.76,85.77,85.87,2489000
2013/9/25,85.94,86.45,85.78,85.98,1341100
2013/9/26,85.92,86.44,85.56,85.83,1049400
2013/9/27,85.56,85.65,85.11,85.41,1143800
2013/9/30,84.89,85.15,84.36,84.77,1721400
2013/10/1,84.93,84.98,84.38,84.66,1392500
2013/10/2,84.46,84.48,83.70,84.48,2441000
2013/10/3,84.32,84.35,83.78,84.06,1998300
2013/10/4,84.08,84.74,83.94,84.68,1452100
2013/10/7,84.05,84.50,83.77,84.09,1271900
2013/10/8,84.00,84.17,82.93,82.99,1838900
2013/10/9,83.13,83.20,82.24,82.35,1675800
2013/10/10,83.02,84.30,83.02,84.17,2003300
2013/10/11,84.05,84.78,83.75,84.66,1695700
2013/10/14,84.23,85.28,84.20,85.20,1377900
2013/10/15,84.93,85.08,84.37,84.48,1753400
2013/10/16,85.16,86.29,85.05,86.08,2065900
2013/10/17,85.32,86.12,84.87,86.02,1998000
2013/10/18,86.55,86.76,86.13,86.58,2027700
2013/10/21,86.69,86.93,86.35,86.76,1768000
2013/10/22,88.05,88.05,86.26,86.71,3823600
2013/10/23,86.21,86.45,85.62,86.28,1945400
2013/10/24,86.28,87.34,86.17,87.03,1991600
2013/10/25,86.82,87.15,86.53,86.63,1764100
2013/10/28,86.66,87.46,86.64,87.11,1625900
2013/10/29,87.26,87.50,86.90,87.28,1562900
2013/10/30,87.28,87.49,86.53,86.90,1282200
2013/10/31,86.99,87.09,86.29,86.30,1821200
2013/11/1,86.58,86.60,86.02,86.40,1432000
2013/11/4,86.51,87.10,86.35,86.60,1095600
2013/11/5,86.47,86.93,86.14,86.46,1445300
2013/11/6,86.54,87.60,86.46,87.49,1940600
2013/11/7,87.60,88.03,87.15,87.22,2139400
2013/11/8,87.15,87.83,87.01,87.80,1758400
2013/11/11,87.78,88.31,87.65,87.97,1367300
2013/11/12,87.50,87.86,86.12,86.44,2496800
2013/11/13,86.24,87.52,86.08,87.22,2081900
2013/11/14,87.56,88.28,87.29,88.25,1585900
2013/11/15,88.22,88.87,88.07,88.67,1764700
2013/11/18,88.88,88.93,88.07,88.18,1676800
2013/11/19,88.21,88.44,87.90,88.09,1274100
2013/11/20,88.06,88.45,87.69,87.93,1755400
2013/11/21,88.18,89.42,88.00,89.22,1787700
2013/11/22,89.22,90.59,89.06,90.52,1885000
2013/11/25,90.55,90.99,90.53,90.79,2112200
2013/11/26,90.80,91.23,90.72,90.79,2454000
2013/11/27,90.99,91.43,90.79,90.99,1902200
2013/11/28,90.99,91.43,90.79,90.99,1902200
2013/11/29,91.21,91.68,90.74,90.74,917100
2013/12/2,90.26,90.40,88.87,89.00,3771100
2013/12/3,88.73,89.59,88.43,89.03,2531800
2013/12/4,88.71,89.46,87.89,88.61,2349600
2013/12/5,88.37,88.76,87.84,87.92,2334300
2013/12/6,88.18,89.42,88.18,89.01,1831200
2013/12/9,89.05,89.28,88.33,88.45,2539400
2013/12/10,88.09,88.83,88.03,88.44,1931100
2013/12/11,88.42,88.72,87.04,87.10,2179900
2013/12/12,87.12,87.37,86.50,86.63,1889300
2013/12/13,86.56,86.79,86.29,86.49,1568300
2013/12/16,86.99,87.36,86.65,87.05,2367800
2013/12/17,86.77,87.00,86.26,86.57,1852300
2013/12/18,86.96,88.15,86.62,88.14,2928000
2013/12/19,87.79,88.93,87.79,88.79,2140300
2013/12/20,88.67,89.64,88.62,89.18,3911300
2013/12/23,89.91,89.91,89.01,89.16,1277100
2013/12/24,89.11,89.55,89.01,89.49,512800
2013/12/25,89.11,89.55,89.01,89.49,512800
2013/12/26,89.89,90.16,89.38,90.01,938600
2013/12/27,90.01,90.21,89.45,89.85,758200
2013/12/30,90.04,90.53,89.86,90.28,1267900
2013/12/31,90.34,90.74,90.22,90.54,1107700
2014/1/1,90.34,90.74,90.22,90.54,1107700
2014/1/2,90.51,90.66,88.97,89.33,1543900
2014/1/3,89.30,89.67,88.88,89.16,1448600
2014/1/6,89.72,89.90,88.77,88.92,1763600
2014/1/7,89.06,89.17,88.07,88.40,1818300
2014/1/8,88.21,88.40,87.23,87.58,2627700
2014/1/9,87.76,88.22,87.17,87.68,1687200
2014/1/10,88.10,88.12,87.08,87.49,1863000
2014/1/13,87.33,87.55,86.27,86.34,2215800
2014/1/14,86.80,87.70,86.80,87.45,2034200
2014/1/15,87.60,88.00,87.32,87.88,2063900
2014/1/16,87.55,87.86,86.91,87.24,1412100
2014/1/17,87.23,87.30,86.42,86.47,2931500
2014/1/20,87.23,87.30,86.42,86.47,2931500
2014/1/21,86.25,86.27,83.66,85.00,6092100
2014/1/22,84.90,85.07,84.35,84.56,3080900
2014/1/23,83.42,84.37,82.92,83.07,4141800
2014/1/24,82.50,83.03,81.61,81.61,3753600
2014/1/27,81.25,83.15,81.22,82.29,4329300
2014/1/28,82.75,83.57,82.60,83.10,3158700
2014/1/29,82.31,82.80,82.01,82.21,3165200
2014/1/30,82.62,82.72,82.16,82.36,2754500
2014/1/31,81.39,81.99,80.88,81.28,5186100
2014/2/3,81.20,81.28,80.05,80.26,4116300
2014/2/4,80.57,80.63,79.89,80.35,2628500
2014/2/5,80.07,80.93,80.02,80.44,2342400
2014/2/6,80.65,80.73,79.95,80.69,2642800
2014/2/7,81.19,81.19,80.23,80.88,2538100
2014/2/10,81.33,82.44,80.65,82.35,4305000
2014/2/11,82.40,83.59,82.21,83.21,3105600
2014/2/12,82.76,83.10,81.88,82.26,3732900
2014/2/13,81.87,82.90,81.56,82.88,2650700
2014/2/14,82.54,84.07,82.54,84.02,2050800
2014/2/17,82.54,84.07,82.54,84.02,2050800
2014/2/18,84.08,84.79,84.07,84.37,2531500
2014/2/19,84.27,85.18,83.98,84.01,3115900
2014/2/20,84.18,84.37,83.37,83.81,2083500
2014/2/21,83.92,84.11,83.37,83.79,1895300
2014/2/24,83.83,84.39,83.40,83.44,2163200
2014/2/25,83.31,83.44,82.55,83.34,2681900
2014/2/26,83.40,83.70,83.01,83.43,2157100
2014/2/27,83.28,83.86,83.10,83.85,1584900
2014/2/28,83.72,84.20,83.49,83.84,2286700
2014/3/3,83.45,83.82,82.60,83.18,1728600
2014/3/4,84.16,84.49,83.81,84.11,1864900
2014/3/5,84.05,84.40,83.62,84.37,2582700
2014/3/6,83.94,84.53,83.75,84.40,1922100
2014/3/7,84.73,84.86,83.71,83.93,2733700
2014/3/10,83.70,83.89,83.34,83.78,1954400
2014/3/11,84.14,84.18,83.34,83.58,1859000
2014/3/12,83.15,83.73,83.00,83.43,1758500
2014/3/13,83.68,83.86,82.51,82.59,2121000
2014/3/14,82.59,82.84,82.32,82.66,2074400
2014/3/17,83.21,83.78,82.80,83.54,2758600
2014/3/18,83.69,84.24,83.36,83.95,2141100
2014/3/19,83.99,84.24,82.81,83.20,2526500
2014/3/20,82.90,83.51,82.51,83.23,2753400
2014/3/21,83.80,84.06,83.32,83.78,6498300
2014/3/24,83.87,84.26,83.64,83.86,2795100
2014/3/25,84.32,84.67,83.96,84.03,2021900
2014/3/26,84.43,84.49,83.42,83.43,2113300
2014/3/27,83.27,83.83,83.22,83.49,3563800
2014/3/28,83.86,84.17,83.44,83.99,2423300
2014/3/31,84.64,85.13,84.52,85.10,2106600
2014/4/1,85.17,85.24,84.16,84.39,2172800
2014/4/2,84.37,85.27,84.22,84.65,1997500
2014/4/3,84.83,85.11,84.45,84.98,1904600
2014/4/4,85.41,86.06,85.14,85.20,2333100
2014/4/7,85.19,85.55,84.93,85.00,2352500
2014/4/8,84.80,84.91,84.45,84.73,1750800
2014/4/9,84.83,85.83,84.67,85.82,2098700
2014/4/10,85.70,86.32,84.92,84.99,2138900
2014/4/11,84.91,85.62,84.86,85.30,2067000
2014/4/14,85.80,85.95,84.84,85.50,3153000
2014/4/15,84.90,85.96,84.90,85.89,2164600
2014/4/16,86.52,86.93,86.12,86.78,1826700
2014/4/17,87.15,87.39,86.40,86.68,1888600
2014/4/18,87.15,87.39,86.40,86.68,1888600
2014/4/21,86.71,86.84,86.06,86.40,2330000
2014/4/22,86.75,87.66,86.01,86.89,3181900
2014/4/23,86.90,88.57,86.73,88.13,2911100
2014/4/24,88.30,88.99,88.30,88.59,2239600
2014/4/25,88.70,88.70,87.99,88.31,2256200
2014/4/28,88.85,90.28,88.79,89.64,4086900
2014/4/29,90.00,90.94,89.89,90.90,3649300
2014/4/30,90.70,90.77,90.03,90.58,2744500
2014/5/1,90.64,90.92,90.25,90.83,2753600
2014/5/2,90.99,91.68,90.84,91.00,2100100
2014/5/5,90.82,90.92,89.93,90.65,1911400
2014/5/6,90.32,90.63,89.81,89.88,2301000
2014/5/7,90.33,91.51,90.33,91.07,3279200
2014/5/8,90.98,91.53,90.91,91.24,1775400
2014/5/9,91.07,91.36,90.74,91.30,1640400
2014/5/12,92.12,92.93,92.03,92.04,2072600
2014/5/13,92.37,93.06,92.22,92.91,2246800
2014/5/14,93.02,93.04,92.44,92.65,1330600
2014/5/15,92.45,92.65,91.91,92.37,2257200
2014/5/16,92.46,92.62,91.62,92.58,2331000
2014/5/19,92.48,92.89,92.14,92.77,1292200
2014/5/20,92.48,92.98,92.32,92.67,1391800
2014/5/21,93.03,93.34,92.57,92.86,1701900
2014/5/22,92.80,93.10,92.60,93.01,1364300
2014/5/23,93.01,93.34,92.41,92.86,1451200
2014/5/26,93.01,93.34,92.41,92.86,1451200
2014/5/27,93.15,93.65,92.98,93.49,1590800
2014/5/28,93.43,93.81,93.27,93.46,2048200
2014/5/29,93.40,94.31,93.40,94.10,1724200
2014/5/30,94.00,94.12,93.37,93.45,2276700
2014/6/2,93.70,94.01,93.65,93.71,1454800
2014/6/3,93.08,93.45,92.87,93.41,2012100
2014/6/4,93.39,94.75,93.13,94.67,2048300
2014/6/5,94.89,95.00,94.24,94.97,1854800
2014/6/6,94.54,94.97,94.29,94.36,2157500
2014/6/9,94.71,95.05,94.55,94.66,1871000
2014/6/10,94.69,95.16,94.65,95.10,1730400
2014/6/11,94.81,95.10,94.60,94.90,1555600
2014/6/12,94.97,95.19,94.57,95.00,1840500
2014/6/13,94.95,95.48,94.82,95.41,1446500
2014/6/16,95.21,95.75,95.20,95.46,1306200
2014/6/17,94.93,95.69,94.57,95.22,2175700
2014/6/18,95.19,95.57,94.91,95.40,2556600
2014/6/19,95.55,95.66,95.01,95.60,2115900
2014/6/20,95.82,96.18,94.56,94.59,4795700
2014/6/23,94.59,95.24,94.59,94.95,1930300
2014/6/24,94.81,95.39,94.53,94.67,1640200
2014/6/25,94.64,95.04,94.35,94.86,1298200
2014/6/26,94.88,94.96,93.61,94.41,1215500
2014/6/27,94.52,94.90,93.59,93.92,4143600
2014/6/30,94.08,94.38,93.65,94.07,2153900
2014/7/1,94.88,95.81,94.74,95.21,1631100
2014/7/2,94.91,95.25,94.43,94.62,1114500
2014/7/3,94.64,94.85,94.35,94.84,828900
2014/7/4,94.64,94.85,94.35,94.84,828900
2014/7/7,94.50,94.77,94.35,94.55,1319100
2014/7/8,94.42,94.58,93.85,94.14,2444700
2014/7/9,94.58,94.77,94.23,94.70,1512400
2014/7/10,93.73,94.38,93.55,94.30,1656100
