date,open,high,low,close,volume
2013/1/1,53.63,54.26,53.49,54.24,4948700
2013/1/2,54.88,55.00,54.01,54.54,5358100
2013/1/3,53.44,53.52,51.85,51.99,14413200
2013/1/4,52.20,52.73,52.06,52.09,10458000
2013/1/7,51.88,52.33,51.55,52.09,7804500
2013/1/8,52.00,52.24,51.36,51.40,8196200
2013/1/9,51.59,52.50,51.50,52.37,5154300
2013/1/10,52.52,53.19,52.33,53.11,6506500
2013/1/11,53.40,53.40,52.33,52.82,10182500
2013/1/14,52.87,54.42,52.60,53.36,7119900
2013/1/15,53.22,53.85,53.21,53.62,5802900
2013/1/16,53.64,53.80,53.34,53.66,6474500
2013/1/17,53.76,54.53,53.17,54.40,14438900
2013/1/18,54.40,54.63,54.22,54.56,7023900
2013/1/21,54.40,54.63,54.22,54.56,7023900
2013/1/22,54.65,56.09,54.56,56.02,9330000
2013/1/23,56.11,56.25,55.45,55.91,6665700
2013/1/24,56.03,56.44,55.90,56.22,4221700
2013/1/25,56.36,56.38,55.72,56.04,5604700
2013/1/28,56.42,56.53,55.80,55.81,5736900
2013/1/29,55.75,56.69,55.68,56.28,7317600
2013/1/30,56.25,56.44,55.92,56.08,6269200
2013/1/31,55.84,56.04,55.21,55.21,6957500
2013/2/1,55.74,55.84,55.37,55.77,6369500
2013/2/4,55.32,56.37,55.32,55.75,4795700
2013/2/5,57.07,57.83,56.83,57.77,8645500
2013/2/6,57.44,57.54,57.10,57.38,5266100
2013/2/7,57.36,57.50,56.65,57.05,6050700
2013/2/8,57.16,58.26,57.12,57.74,4554600
2013/2/11,57.56,57.71,57.05,57.12,4166800
2013/2/12,57.20,57.38,56.93,57.01,4448600
2013/2/13,57.01,57.37,56.75,57.23,4261200
2013/2/14,57.01,57.22,56.75,57.05,5173800
2013/2/15,57.06,57.49,57.04,57.32,5750400
2013/2/18,57.06,57.49,57.04,57.32,5750400
2013/2/19,54.20,56.88,54.04,56.66,14566200
2013/2/20,56.51,56.58,55.19,55.21,7542900
2013/2/21,55.57,55.94,54.88,55.24,6357300
2013/2/22,55.40,55.41,54.25,54.47,8400700
2013/2/25,54.69,54.75,53.29,53.30,6807800
2013/2/26,53.51,53.60,52.51,53.05,6325100
2013/2/27,52.96,54.01,52.93,53.87,5133800
