date,open,high,low,close,volume
2013/1/1,42.53,43.27,42.49,43.27,14650300
2013/1/2,44.49,44.51,43.84,44.27,16483900
2013/1/3,44.36,44.42,43.79,44.06,11227700
2013/1/4,44.04,44.36,43.75,44.30,14930400
2013/1/7,44.25,44.87,44.01,44.69,20891300
2013/1/8,44.03,44.26,43.04,43.10,21394400
2013/1/9,42.84,43.19,42.76,43.00,13346700
2013/1/10,43.22,43.59,42.97,43.59,11214800
2013/1/11,43.73,43.74,43.04,43.30,11624000
2013/1/14,42.92,43.09,42.49,42.59,15075300
2013/1/15,42.46,42.56,41.96,41.97,15099600
2013/1/16,41.91,42.05,41.50,41.51,17451400
2013/1/17,41.66,42.37,41.51,42.13,14209800
2013/1/18,42.20,42.54,42.07,42.54,14149500
2013/1/21,42.20,42.54,42.07,42.54,14149500
2013/1/22,43.00,43.42,42.49,42.94,30231800
2013/1/23,43.04,43.07,42.49,42.79,16208000
2013/1/24,42.84,43.08,42.57,42.59,11716000
2013/1/25,42.71,42.81,42.34,42.67,13779300
2013/1/28,42.77,42.89,42.46,42.77,13577000
2013/1/29,42.82,43.60,42.72,43.50,16429900
2013/1/30,43.38,43.96,43.34,43.61,16039900
2013/1/31,43.50,43.87,43.47,43.61,12880500
2013/2/1,44.20,44.84,44.11,44.56,17699900
2013/2/4,44.25,44.75,44.02,44.52,14188500
2013/2/5,44.71,44.88,44.54,44.56,9294200
2013/2/6,44.29,44.88,44.25,44.75,15116100
2013/2/7,44.64,44.75,44.12,44.46,8837200
2013/2/8,44.51,44.61,44.17,44.35,8161600
2013/2/11,44.30,44.44,44.12,44.32,5750100
2013/2/12,44.37,44.58,44.21,44.44,6329800
2013/2/13,44.54,44.70,44.28,44.52,7731800
2013/2/14,44.55,44.78,44.11,44.33,14665900
2013/2/15,44.39,44.62,44.16,44.40,11986200
2013/2/18,44.39,44.62,44.16,44.40,11986200
2013/2/19,44.26,44.71,44.26,44.50,9638000
2013/2/20,44.35,45.21,44.34,44.92,23275400
2013/2/21,44.73,45.28,44.40,45.12,15118000
2013/2/22,45.23,45.44,44.72,45.40,18829500
2013/2/25,45.50,45.99,45.43,45.72,19945900
2013/2/26,45.92,46.21,45.81,46.12,18641800
2013/2/27,46.13,46.42,45.85,46.35,14803400
2013/2/28,46.35,46.93,46.30,46.53,17154700
2013/3/1,46.22,46.76,46.11,46.72,12749700
2013/3/4,46.70,47.11,46.59,47.11,9936900
2013/3/5,47.40,47.88,47.14,47.69,16390000
2013/3/6,47.80,47.86,47.14,47.28,12203800
2013/3/7,47.40,47.57,47.21,47.48,10584700
2013/3/8,47.72,47.98,47.67,47.96,9991800
2013/3/11,47.86,47.97,47.55,47.81,9540100
2013/3/12,47.71,48.55,47.59,48.36,12637300
2013/3/13,48.37,48.57,47.79,47.94,13040900
2013/3/14,48.17,48.66,48.05,48.48,10588000
2013/3/15,48.19,48.38,47.64,48.02,16834000
2013/3/18,47.96,49.15,47.96,48.75,14772500
2013/3/19,48.90,49.09,48.56,48.95,13781300
2013/3/20,49.06,49.17,48.53,48.60,15013900
2013/3/21,48.33,48.88,48.28,48.80,12547800
2013/3/22,48.93,49.15,48.72,49.02,9484700
2013/3/25,49.19,49.44,48.97,49.16,12634400
2013/3/26,49.38,49.59,49.16,49.48,11663200
2013/3/27,49.31,49.40,48.75,48.94,12927500
2013/3/28,48.99,49.19,48.90,49.15,13567000
2013/3/29,48.99,49.19,48.90,49.15,13567000
2013/4/1,49.06,49.38,49.01,49.22,6926600
2013/4/2,49.53,49.86,49.26,49.50,12082000
2013/4/3,49.43,49.58,48.66,48.99,14373500
2013/4/4,49.00,49.31,48.73,49.30,37100800
2013/4/5,49.05,49.58,48.95,49.56,39951100
2013/4/8,48.99,49.43,48.77,49.43,11467000
2013/4/9,49.52,49.63,49.16,49.36,8307600
2013/4/10,49.47,49.86,49.30,49.86,7868300
2013/4/11,49.81,50.64,49.81,50.51,13298600
2013/4/12,50.49,50.86,50.44,50.86,9150300
2013/4/15,50.66,51.06,50.26,50.64,14449400
2013/4/16,50.80,51.15,50.33,50.46,14919100
2013/4/17,50.21,50.35,49.49,49.54,15233000
2013/4/18,51.05,51.67,50.77,50.91,18136400
2013/4/19,51.31,52.35,51.26,52.25,14594900
2013/4/22,52.20,52.29,51.89,52.19,11212700
2013/4/23,52.35,52.49,51.54,52.32,10363400
2013/4/24,52.00,52.12,51.17,51.80,14437000
2013/4/25,52.48,53.33,52.36,53.22,19142700
2013/4/26,53.25,53.71,53.20,53.63,14320100
2013/4/29,53.65,53.72,53.26,53.46,10124400
2013/4/30,53.51,54.31,53.45,53.91,16111500
2013/5/1,53.77,53.97,52.09,52.40,23874700
2013/5/2,52.49,52.82,52.13,52.53,12878400
2013/5/3,52.92,53.05,52.52,52.68,9577900
2013/5/6,52.57,52.65,51.94,52.05,7315600
2013/5/7,52.22,52.92,52.10,52.92,9629800
2013/5/8,52.83,53.15,52.67,53.11,7373300
2013/5/9,53.02,53.03,52.54,52.71,7379300
2013/5/10,52.79,52.95,52.54,52.89,6242100
2013/5/13,52.83,52.89,52.41,52.55,5347700
2013/5/14,52.50,53.18,52.41,53.17,7397700
2013/5/15,53.15,53.67,52.80,53.60,9204900
2013/5/16,53.54,53.54,53.13,53.20,7685600
2013/5/17,53.47,53.56,53.06,53.35,9296800
2013/5/20,53.29,53.40,52.60,52.74,8045300
2013/5/21,52.68,52.78,51.95,52.07,11217900
2013/5/22,51.90,52.43,51.17,51.47,14026500
2013/5/23,51.07,52.06,51.04,51.89,10342500
2013/5/24,51.59,51.71,51.19,51.39,6583800
2013/5/27,51.59,51.71,51.19,51.39,6583800
2013/5/28,51.77,51.98,50.45,50.82,10039500
2013/5/29,50.27,50.37,49.14,49.57,18588400
2013/5/30,49.48,50.06,49.08,49.08,12459800
2013/5/31,48.90,49.94,48.47,48.48,19667500
2013/6/3,48.43,48.71,47.77,48.66,17573200
2013/6/4,48.66,49.46,48.39,48.84,19897100
2013/6/5,48.91,48.93,48.23,48.30,11309100
2013/6/6,48.30,50.09,48.15,49.97,17669600
2013/6/7,50.17,50.31,49.77,50.24,12000100
2013/6/10,50.87,50.87,50.12,50.53,9617400
2013/6/11,50.22,50.79,49.93,50.18,9913100
2013/6/12,50.47,50.56,49.74,49.90,8216000
2013/6/13,49.89,50.71,49.80,50.64,7147000
2013/6/14,50.59,51.27,50.55,51.07,12020500
2013/6/17,51.45,51.63,50.35,50.71,9886600
2013/6/18,50.83,51.69,50.76,51.55,11104200
2013/6/19,51.31,51.45,50.04,50.05,11188400
2013/6/20,49.69,49.86,48.86,48.96,14661600
2013/6/21,49.43,49.78,49.10,49.52,35016000
2013/6/24,49.05,49.41,48.81,49.12,29396300
2013/6/25,49.43,50.68,49.43,50.44,31408000
2013/6/26,50.80,50.84,50.24,50.66,9200100
2013/6/27,50.96,51.50,50.93,51.00,8633500
2013/6/28,50.93,51.23,50.33,50.34,11162600
2013/7/1,50.29,50.65,50.18,50.36,9746200
2013/7/2,50.36,51.04,50.19,50.63,9660800
2013/7/3,50.56,51.29,50.45,51.01,5965700
2013/7/4,50.56,51.29,50.45,51.01,5965700
2013/7/5,51.30,51.30,50.34,51.30,8024400
2013/7/8,51.10,51.41,50.80,51.17,7234600
2013/7/9,51.50,51.58,50.87,50.96,6737900
2013/7/10,50.94,51.09,50.42,50.54,8373800
2013/7/11,51.00,51.29,50.77,51.21,10229300
2013/7/12,51.25,51.30,50.21,50.41,12701400
2013/7/15,50.20,50.22,49.40,49.96,10592900
2013/7/16,49.75,50.45,49.71,50.28,8841400
2013/7/17,50.62,51.27,50.57,50.74,8543900
2013/7/18,50.00,50.33,49.19,49.97,12949700
2013/7/19,50.05,50.27,49.71,49.95,12332200
2013/7/22,49.84,50.31,49.63,50.27,8792400
2013/7/23,50.33,50.46,50.03,50.36,6755700
2013/7/24,50.16,50.53,49.94,50.38,8468400
2013/7/25,50.29,50.80,50.10,50.71,6486600
2013/7/26,50.74,51.08,50.51,51.02,7090300
2013/7/29,51.03,51.74,50.92,51.49,8444900
2013/7/30,51.94,51.94,50.30,50.42,11576500
2013/7/31,50.27,50.46,49.45,49.48,14428200
2013/8/1,50.05,50.19,49.63,50.01,9001000
2013/8/2,49.83,50.44,49.81,50.25,6883300
2013/8/5,50.11,50.35,49.95,50.21,4533000
2013/8/6,50.19,50.22,49.81,50.09,5225500
2013/8/7,49.93,50.25,49.84,49.93,5366300
2013/8/8,50.06,50.07,49.46,49.62,8155000
2013/8/9,49.70,49.80,49.02,49.32,8583300
2013/8/12,49.28,49.76,49.17,49.65,5507700
2013/8/13,49.64,49.68,49.03,49.15,7881400
2013/8/14,49.10,49.27,48.72,48.89,7391900
2013/8/15,48.66,48.98,48.42,48.54,6610600
2013/8/16,48.29,48.53,47.33,47.71,15381800
2013/8/19,47.55,48.09,47.45,47.50,7869000
2013/8/20,47.54,48.18,47.50,47.91,7263000
2013/8/21,47.79,47.79,47.23,47.27,8432300
2013/8/22,47.45,47.45,46.74,47.02,9861100
2013/8/23,47.02,47.70,46.95,47.61,6779300
2013/8/26,47.53,47.53,46.94,46.94,6943000
2013/8/27,46.58,47.00,46.25,46.95,9654300
2013/8/28,46.88,46.92,46.54,46.56,6798000
2013/8/29,48.62,48.66,47.57,47.82,36425300
2013/8/30,47.83,47.97,47.10,47.38,13416200
2013/9/2,47.83,47.97,47.10,47.38,13416200
2013/9/3,45.52,46.45,45.08,46.01,47084100
2013/9/4,45.71,47.07,45.70,46.78,26556600
2013/9/5,47.11,47.58,46.33,46.64,17784300
2013/9/6,47.01,47.04,46.04,46.34,13434300
2013/9/9,46.35,46.40,45.82,45.91,12732600
2013/9/10,45.96,46.59,45.47,46.47,19005500
2013/9/11,46.49,46.90,46.32,46.52,16048000
2013/9/12,46.60,47.52,46.44,47.35,18127800
2013/9/13,47.80,48.36,47.56,47.76,16631800
2013/9/16,48.31,48.50,48.06,48.30,15342700
2013/9/17,48.47,48.70,48.27,48.57,10265600
2013/9/18,48.51,48.83,47.87,48.72,10933800
2013/9/19,48.62,48.89,48.22,48.51,11498400
2013/9/20,48.59,48.59,47.54,47.78,15178200
2013/9/23,47.71,48.00,47.37,47.98,9088700
2013/9/24,47.69,47.70,46.88,47.27,16939100
2013/9/25,47.30,47.35,46.76,46.95,13291600
2013/9/26,47.05,47.71,47.05,47.67,10233200
2013/9/27,47.42,47.45,46.69,47.00,10311600
2013/9/30,46.57,46.91,46.32,46.67,12315600
2013/10/1,46.62,47.00,46.53,46.99,10054900
2013/10/2,46.84,46.98,46.33,46.79,11939100
2013/10/3,46.68,47.18,46.52,47.01,14961500
2013/10/4,47.05,47.12,46.65,47.10,47164000
2013/10/7,46.88,47.65,46.76,47.29,45152600
2013/10/8,46.72,46.73,46.03,46.05,15794300
2013/10/9,46.21,46.78,46.06,46.20,13270800
2013/10/10,46.65,46.86,46.20,46.86,11555100
2013/10/11,46.81,47.09,46.66,47.09,11131200
2013/10/14,46.79,47.10,46.68,46.81,10940400
2013/10/15,46.80,46.94,46.27,46.32,12571300
2013/10/16,46.60,47.44,46.40,47.25,18900300
2013/10/17,48.57,49.24,48.12,48.90,29363600
2013/10/18,49.36,50.06,49.17,50.01,22190700
2013/10/21,50.01,50.61,50.00,50.58,14398500
2013/10/22,50.56,51.30,50.15,51.14,15220100
2013/10/23,51.03,51.38,50.77,50.82,11362000
2013/10/24,51.04,51.19,50.32,50.42,10354600
2013/10/25,50.33,50.78,50.11,50.71,9184600
2013/10/28,50.69,50.72,50.28,50.57,12444600
2013/10/29,50.62,51.49,50.58,51.09,14668300
2013/10/30,51.39,51.40,50.39,50.53,12593900
2013/10/31,50.49,50.91,50.05,50.51,10922600
2013/11/1,50.79,51.46,50.34,50.49,11448800
2013/11/4,50.92,51.09,50.53,51.08,8296500
2013/11/5,50.81,50.87,50.08,50.10,11824600
2013/11/6,50.38,50.86,50.35,50.61,9305600
2013/11/7,50.55,51.00,50.05,50.17,10806500
2013/11/8,50.06,50.24,49.52,50.20,16392100
2013/11/11,50.12,50.25,49.77,49.96,5166900
2013/11/12,50.01,50.47,49.78,50.16,9595800
2013/11/13,49.88,50.00,49.36,49.99,10915600
2013/11/14,50.09,50.43,50.09,50.27,8874000
2013/11/15,50.16,50.42,49.87,50.31,9101200
2013/11/18,50.35,50.81,50.34,50.76,10224600
2013/11/19,50.83,51.05,50.50,50.78,7936800
2013/11/20,50.79,51.25,50.31,50.40,9634100
2013/11/21,50.60,50.80,50.35,50.38,6608000
2013/11/22,50.30,50.40,50.01,50.22,9849600
2013/11/25,50.29,50.34,49.92,50.01,5947500
2013/11/26,50.08,50.36,49.91,50.05,8631600
2013/11/27,50.14,50.20,49.64,49.93,7320300
2013/11/28,50.14,50.20,49.64,49.93,7320300
2013/11/29,50.04,50.05,49.54,49.62,4908600
2013/12/2,49.66,49.70,49.14,49.26,10657800
2013/12/3,49.27,49.60,49.13,49.60,10224900
2013/12/4,49.32,49.79,49.10,49.37,10725900
2013/12/5,49.18,49.18,48.43,48.91,14821100
2013/12/6,49.25,49.60,48.95,49.48,11177200
2013/12/9,49.07,49.63,48.79,49.57,11946000
2013/12/10,49.49,49.50,48.85,49.05,13270800
2013/12/11,49.00,49.00,48.04,48.49,16154300
2013/12/12,48.49,48.53,47.87,48.13,12161700
2013/12/13,48.11,48.17,47.52,47.84,11903800
2013/12/16,48.34,49.41,48.20,48.26,16042700
2013/12/17,48.07,48.07,47.45,47.56,13276700
2013/12/18,47.83,48.53,47.47,48.47,16094000
2013/12/19,48.18,48.65,48.02,48.43,10188500
2013/12/20,48.51,48.75,48.08,48.08,17676700
2013/12/23,48.38,48.74,48.37,48.58,11735800
2013/12/24,48.61,49.08,48.61,48.98,5052400
2013/12/25,48.61,49.08,48.61,48.98,5052400
2013/12/26,49.02,49.34,48.93,49.18,5101200
2013/12/27,49.29,49.35,48.99,49.17,5372600
2013/12/30,49.05,49.28,48.99,49.15,5460000
2013/12/31,49.00,49.22,48.78,49.14,7557100
2014/1/1,49.00,49.22,48.78,49.14,7557100
2014/1/2,49.08,49.23,48.95,49.00,9270200
2014/1/3,49.33,49.33,48.22,48.42,12022200
2014/1/6,48.77,49.07,48.20,48.69,16054800
2014/1/7,49.12,49.40,48.58,49.30,17594600
2014/1/8,48.69,49.07,48.36,48.50,13110700
2014/1/9,48.43,48.51,47.49,47.50,14567000
2014/1/10,47.84,48.09,47.43,47.75,11445900
2014/1/13,47.65,47.75,46.95,47.03,18784000
2014/1/14,47.04,47.23,46.58,47.08,19270700
2014/1/15,47.35,48.38,47.28,48.27,21722300
2014/1/16,48.26,48.66,47.95,48.53,14193200
2014/1/17,48.66,48.69,48.00,48.35,15988600
2014/1/20,48.66,48.69,48.00,48.35,15988600
2014/1/21,48.84,48.90,46.76,47.70,33165500
2014/1/22,47.44,47.52,47.09,47.33,17975700
2014/1/23,47.06,47.86,46.94,47.86,22638200
2014/1/24,47.61,48.51,47.51,47.63,25665600
