date,open,high,low,close,volume
2013/1/1,37.09,37.90,37.09,37.90,12868000
2013/1/2,38.54,38.99,38.48,38.85,15826400
2013/1/3,39.28,39.52,38.71,38.88,14937200
2013/1/4,38.90,39.30,38.69,39.19,10376000
2013/1/7,39.24,39.69,39.20,39.47,10242400
2013/1/8,39.41,39.84,39.25,39.84,11800400
2013/1/9,40.35,40.64,39.93,40.45,17552800
2013/1/10,40.51,40.69,39.82,40.13,16313600
2013/1/11,39.94,40.31,39.88,40.29,9578000
2013/1/14,40.32,40.45,39.89,40.16,8877600
2013/1/15,39.96,40.16,39.77,40.11,6696000
2013/1/16,40.03,40.19,39.83,40.05,5464400
2013/1/17,40.25,40.27,39.90,39.97,7833600
2013/1/18,39.63,39.63,39.12,39.57,13812400
2013/1/21,39.63,39.63,39.12,39.57,13812400
2013/1/22,39.67,39.92,39.44,39.76,6918000
2013/1/23,39.57,39.99,39.52,39.76,7108800
2013/1/24,39.83,40.04,39.72,39.89,6794000
2013/1/25,39.98,40.03,39.76,39.96,6701600
2013/1/28,40.07,40.15,39.08,39.09,13532000
2013/1/29,38.94,39.27,38.78,39.17,11664000
2013/1/30,39.25,39.77,38.69,38.75,18708000
2013/1/31,39.75,39.88,39.09,39.48,16685600
2013/2/1,39.75,39.87,39.34,39.64,12738400
2013/2/4,39.44,39.60,39.14,39.16,10532000
2013/2/5,39.40,39.90,39.20,39.88,11105200
2013/2/6,39.81,40.22,39.65,40.21,15056800
2013/2/7,39.74,39.95,39.24,39.26,20182800
2013/2/8,39.35,39.74,39.28,39.45,12914000
2013/2/11,39.40,39.54,38.99,39.08,11032400
2013/2/12,39.21,39.42,39.10,39.20,9805600
2013/2/13,39.11,39.35,38.53,38.69,13917600
2013/2/14,38.65,39.16,38.58,38.99,12760000
2013/2/15,39.09,39.52,38.94,39.50,17884400
2013/2/18,39.09,39.52,38.94,39.50,17884400
2013/2/19,39.50,39.70,39.17,39.40,13210000
2013/2/20,39.28,39.40,38.80,38.85,15688800
2013/2/21,38.78,39.57,38.70,39.36,14220800
2013/2/22,39.58,39.90,39.17,39.86,11738000
2013/2/25,39.80,40.09,38.97,38.97,11183200
2013/2/26,39.00,39.65,39.00,39.46,11354000
2013/2/27,39.36,40.03,39.33,39.97,8318000
2013/2/28,40.08,40.08,39.58,39.66,11228000
2013/3/1,39.48,39.72,39.16,39.52,13212000
2013/3/4,39.44,39.88,39.39,39.88,6570000
2013/3/5,40.02,40.44,39.97,40.07,10267600
2013/3/6,40.22,40.42,40.05,40.26,7516000
2013/3/7,40.22,40.44,39.91,40.13,8687200
2013/3/8,40.33,40.35,39.97,40.17,9571600
2013/3/11,40.34,40.40,40.10,40.29,6742000
2013/3/12,40.17,40.24,39.76,39.95,8340800
2013/3/13,39.88,40.10,39.71,39.84,11021600
2013/3/14,39.85,40.27,39.83,40.17,14853600
2013/3/15,40.01,40.16,39.63,39.64,17599600
2013/3/18,39.32,39.79,39.10,39.52,15162800
2013/3/19,39.50,39.84,38.92,39.00,17652400
2013/3/20,39.25,39.99,39.18,39.83,16070400
2013/3/21,39.61,39.93,39.45,39.45,14883200
2013/3/22,39.55,40.04,39.43,40.02,18790400
2013/3/25,40.19,41.07,40.12,41.00,19336800
2013/3/26,41.22,41.94,41.13,41.87,17264800
2013/3/27,41.65,42.31,41.38,42.17,13371200
2013/3/28,42.19,42.74,42.03,42.46,12456400
2013/3/29,42.19,42.74,42.03,42.46,12456400
2013/4/1,42.44,42.75,41.72,41.84,13235200
2013/4/2,42.10,42.22,41.83,41.99,9582000
2013/4/3,42.10,42.13,41.07,41.19,16624800
2013/4/4,41.35,41.63,41.25,41.62,8903600
2013/4/5,41.05,41.35,40.90,41.29,7962400
2013/4/8,41.41,41.59,41.12,41.57,6125600
2013/4/9,41.71,41.72,41.00,41.19,6004400
2013/4/10,41.24,41.83,41.24,41.75,8996400
2013/4/11,41.75,41.97,41.56,41.90,6590000
2013/4/12,41.48,41.71,41.28,41.44,7076800
2013/4/15,41.15,41.22,40.32,40.32,10774000
2013/4/16,40.66,41.20,40.62,41.18,10092000
2013/4/17,40.94,41.01,40.49,40.56,9543600
2013/4/18,40.65,40.85,40.32,40.35,21010800
2013/4/19,40.52,41.03,40.44,40.99,7620400
2013/4/22,40.89,41.09,40.62,40.88,5403600
2013/4/23,41.07,41.42,40.88,41.42,6324000
2013/4/24,41.42,41.89,41.40,41.76,7447200
2013/4/25,41.98,42.62,41.86,42.19,9322800
2013/4/26,42.19,42.40,41.78,41.81,6127200
2013/4/29,41.93,42.12,41.79,41.97,10694400
2013/4/30,42.15,42.47,42.01,42.12,12161600
2013/5/1,41.75,42.06,40.90,41.51,12252400
2013/5/2,42.50,44.92,42.50,43.85,30677200
2013/5/3,44.24,45.21,44.11,44.88,15026400
2013/5/6,44.83,45.19,44.53,44.72,13084000
2013/5/7,44.87,44.97,44.31,44.95,11876400
2013/5/8,44.87,44.88,44.42,44.81,14449200
2013/5/9,44.81,44.97,44.56,44.65,11501200
2013/5/10,44.67,44.76,44.39,44.69,13837600
2013/5/13,44.65,45.11,44.53,44.73,12480000
2013/5/14,44.74,45.37,44.66,45.08,16074800
2013/5/15,45.00,45.45,44.92,45.44,13624400
2013/5/16,45.44,45.44,44.94,44.95,9913600
2013/5/17,45.22,46.15,45.13,46.14,13248800
2013/5/20,45.98,46.22,45.20,45.40,21192000
2013/5/21,45.38,45.67,45.10,45.39,13422800
2013/5/22,45.52,46.10,45.03,45.03,19563200
2013/5/23,44.60,44.88,44.28,44.53,16906000
2013/5/24,44.47,45.28,44.22,45.11,12306400
2013/5/27,44.47,45.28,44.22,45.11,12306400
2013/5/28,45.61,45.63,44.92,45.01,9937200
2013/5/29,44.81,45.05,44.52,44.53,7490400
2013/5/30,44.58,45.50,44.58,45.26,9628000
2013/5/31,45.14,45.35,44.53,44.53,12514400
2013/6/3,44.69,45.17,44.38,45.05,15232400
2013/6/4,44.85,45.44,44.67,45.05,13528400
2013/6/5,44.97,45.05,44.22,44.31,12176800
2013/6/6,44.17,44.85,44.10,44.84,14664800
2013/6/7,45.16,45.25,44.89,44.99,13899200
2013/6/10,45.13,45.78,44.91,45.58,13779200
2013/6/11,45.14,45.49,44.89,44.92,7856400
2013/6/12,45.16,45.16,44.68,44.79,9994800
2013/6/13,44.79,45.69,44.68,45.56,9760400
2013/6/14,45.51,45.62,45.03,45.23,7427200
2013/6/17,45.58,45.93,45.38,45.59,14779200
2013/6/18,45.43,46.31,45.43,46.00,7579200
2013/6/19,46.06,46.28,45.63,45.66,12220800
2013/6/20,45.38,45.62,44.62,44.62,15534000
2013/6/21,45.00,45.38,44.70,44.88,17923200
2013/6/24,44.53,44.87,43.92,44.57,15527600
2013/6/25,44.95,45.35,44.62,45.12,12721600
2013/6/26,45.47,45.78,45.12,45.66,10392800
2013/6/27,45.86,46.25,45.62,46.06,11102400
2013/6/28,46.06,46.18,45.56,45.69,12656400
2013/7/1,45.97,46.87,45.91,46.31,11616000
2013/7/2,46.27,46.76,46.06,46.31,8749200
2013/7/3,46.04,46.86,45.98,46.76,4533200
2013/7/4,46.04,46.86,45.98,46.76,4533200
2013/7/5,47.22,47.72,46.88,47.70,8495600
2013/7/8,47.90,48.19,47.01,47.03,19588000
2013/7/9,47.24,47.38,46.65,46.80,23330400
2013/7/10,46.84,46.95,46.45,46.67,15523200
2013/7/11,47.33,47.51,46.88,47.49,14235200
2013/7/12,47.47,47.68,47.29,47.68,7782800
2013/7/15,47.88,47.96,47.45,47.56,14529200
2013/7/16,47.55,47.68,47.17,47.35,7515200
2013/7/17,47.11,47.49,47.03,47.41,11118000
2013/7/18,47.55,47.85,47.49,47.75,5938400
2013/7/19,47.77,48.00,47.35,47.48,9048400
2013/7/22,47.55,47.83,47.31,47.81,7930400
2013/7/23,47.68,47.87,47.13,47.15,11710800
2013/7/24,47.45,47.46,46.42,46.69,13993600
2013/7/25,47.75,49.00,47.75,48.65,21923200
2013/7/26,48.50,48.65,47.96,48.30,8709200
2013/7/29,48.22,48.37,47.81,47.99,5776400
2013/7/30,48.17,48.30,47.79,47.86,13911200
2013/7/31,48.44,48.72,42.75,44.25,90073600
2013/8/1,45.44,45.44,43.32,44.79,74287200
2013/8/2,45.40,46.02,45.21,46.00,21698400
2013/8/5,46.00,46.28,45.70,46.13,11479600
2013/8/6,46.05,46.08,45.21,45.72,19986800
2013/8/7,45.35,45.50,44.97,45.35,15556400
2013/8/8,45.60,45.64,44.98,45.19,9626800
2013/8/9,45.20,45.34,44.89,44.95,10028400
2013/8/12,44.85,44.99,44.60,44.94,13622400
2013/8/13,45.12,45.16,44.67,44.81,11407200
2013/8/14,44.88,45.37,44.59,44.59,15338800
2013/8/15,44.36,44.37,43.36,43.48,17288400
2013/8/16,43.43,43.68,43.09,43.28,12612400
2013/8/19,43.08,44.22,43.05,43.74,11982000
2013/8/20,43.65,43.82,43.22,43.31,14135200
2013/8/21,43.31,45.38,43.13,44.60,30930800
2013/8/22,44.91,45.36,44.26,44.73,10586400
2013/8/23,45.10,45.15,44.40,44.78,9807200
2013/8/26,44.87,44.87,43.74,43.75,13789200
2013/8/27,43.24,43.77,43.14,43.54,12762400
2013/8/28,43.34,43.95,43.34,43.80,15672000
2013/8/29,43.78,44.32,43.70,43.84,9404800
2013/8/30,43.85,43.88,43.45,43.60,9886400
2013/9/2,43.85,43.88,43.45,43.60,9886400
2013/9/3,44.01,44.60,43.81,44.26,12550400
2013/9/4,44.22,44.47,43.81,44.05,9753200
2013/9/5,44.03,44.17,43.81,44.05,7406800
2013/9/6,44.08,44.47,43.76,44.17,6697200
2013/9/9,44.32,44.66,44.32,44.64,10801600
2013/9/10,45.60,46.16,45.33,46.15,19507200
2013/9/11,46.25,46.63,45.73,46.58,11006000
2013/9/12,46.61,46.95,46.26,46.26,14212000
2013/9/13,46.37,47.33,46.30,47.25,16403600
2013/9/16,47.74,47.77,47.22,47.35,11380800
2013/9/17,47.33,47.97,47.14,47.90,10400800
2013/9/18,47.60,48.50,47.54,48.41,10474800
2013/9/19,48.63,49.50,48.50,48.68,14966400
2013/9/20,48.83,49.71,48.47,49.71,57707200
2013/9/23,49.49,50.22,49.00,49.06,19551600
2013/9/24,49.06,49.20,48.15,48.33,15296400
2013/9/25,48.32,48.50,47.67,47.89,10594800
2013/9/26,48.11,48.62,47.92,48.39,9326400
2013/9/27,48.00,48.43,47.95,48.26,7258400
2013/9/30,47.70,47.99,47.56,47.78,9561600
2013/10/1,47.82,48.40,47.52,48.31,9384800
2013/10/2,47.97,48.25,47.75,47.96,8712400
2013/10/3,48.00,48.03,46.94,47.16,19646000
2013/10/4,47.16,47.79,47.00,47.62,9365600
2013/10/7,46.99,46.99,46.58,46.58,11785200
2013/10/8,46.56,47.10,45.63,45.63,16039600
2013/10/9,45.85,46.17,45.03,45.96,13448000
2013/10/10,46.49,47.28,46.39,47.26,10865600
2013/10/11,47.20,48.05,46.88,48.05,11915200
2013/10/14,47.59,48.45,47.51,48.36,8922400
2013/10/15,48.26,48.60,47.84,47.84,10567600
2013/10/16,48.10,48.95,47.96,48.91,10382800
2013/10/17,48.92,49.69,48.87,49.57,12605200
2013/10/18,49.68,50.25,49.24,50.11,14387200
2013/10/21,50.26,50.42,49.81,50.01,11526000
2013/10/22,50.01,50.67,49.88,49.99,12202800
2013/10/23,49.67,49.78,49.29,49.72,7476400
2013/10/24,49.97,50.85,49.90,50.73,8885600
2013/10/25,50.94,50.97,50.38,50.76,11014400
2013/10/28,50.89,51.12,50.61,50.77,6854400
2013/10/29,50.87,51.31,50.87,51.06,8599600
2013/10/30,51.22,51.22,50.41,50.96,11946400
2013/10/31,49.26,49.72,48.56,49.17,24035200
2013/11/1,49.74,50.24,49.63,49.79,13233600
2013/11/4,49.92,50.00,49.05,49.10,11089200
2013/11/5,48.85,49.49,48.75,49.34,11058000
2013/11/6,49.69,50.05,49.35,49.76,8878800
2013/11/7,49.99,50.09,49.03,49.03,10832400
2013/11/8,48.94,49.62,48.94,49.57,11462400
2013/11/11,49.66,49.92,49.56,49.82,8385200
2013/11/12,49.70,49.79,49.21,49.57,9016400
2013/11/13,49.16,49.94,49.12,49.94,8181600
2013/11/14,49.98,50.06,49.69,50.04,10909600
2013/11/15,49.94,50.63,49.94,50.50,12391600
2013/11/18,50.50,50.68,49.82,49.97,16380800
2013/11/19,50.09,50.10,49.21,49.35,14462800
2013/11/20,49.44,50.05,49.42,49.53,10197200
2013/11/21,49.82,50.50,49.36,50.40,12776400
2013/11/22,50.42,50.58,49.96,50.53,8150800
2013/11/25,50.63,50.66,50.33,50.48,6742000
2013/11/26,50.67,50.90,50.40,50.88,11246000
2013/11/27,50.88,51.21,50.76,51.00,5939600
2013/11/28,50.88,51.21,50.76,51.00,5939600
2013/11/29,51.13,51.27,50.87,50.87,4139200
2013/12/2,51.03,51.62,51.03,51.28,8762000
2013/12/3,49.98,50.65,49.98,50.44,17032800
2013/12/4,50.44,50.83,50.27,50.69,11739200
