date,open,high,low,close,volume
2013/1/1,22.50,22.77,22.46,22.74,21037500
2013/1/2,22.98,23.08,22.82,23.08,31172400
2013/1/3,23.08,23.12,22.79,22.93,26730300
2013/1/4,22.91,23.06,22.78,23.02,19314000
2013/1/7,22.94,22.97,22.71,22.80,18604200
2013/1/8,22.76,22.96,22.74,22.86,17600700
2013/1/9,22.89,22.90,22.74,22.86,15165600
2013/1/10,22.89,23.01,22.57,22.79,34361400
2013/1/11,22.87,22.93,22.74,22.88,18673500
2013/1/14,22.83,22.89,22.70,22.77,16471200
2013/1/15,22.73,23.08,22.70,22.99,18421200
2013/1/16,22.98,23.12,22.96,23.07,14753700
2013/1/17,23.10,23.11,22.90,22.95,21697800
2013/1/18,22.95,23.07,22.95,23.07,23440200
2013/1/21,22.95,23.07,22.95,23.07,23440200
2013/1/22,23.02,23.22,22.99,23.19,17243700
2013/1/23,23.13,23.21,23.05,23.16,19096200
2013/1/24,23.22,23.33,23.12,23.26,27417000
2013/1/25,23.30,23.33,22.98,23.00,23903100
2013/1/28,23.03,23.17,22.93,23.12,21164400
2013/1/29,23.07,23.40,23.07,23.30,28682700
2013/1/30,23.37,23.37,23.17,23.25,21061800
2013/1/31,23.23,23.48,23.23,23.32,21048600
2013/2/1,23.37,23.51,23.32,23.50,19349400
2013/2/4,23.15,23.30,23.04,23.21,32277900
2013/2/5,23.29,23.69,23.25,23.59,31576500
2013/2/6,23.49,23.77,23.43,23.77,29273400
2013/2/7,23.81,23.88,23.63,23.74,24920700
2013/2/8,23.73,23.88,23.69,23.83,17719800
2013/2/11,23.75,23.84,23.51,23.80,18607800
2013/2/12,23.83,23.89,23.70,23.80,14286000
2013/2/13,23.76,23.90,23.74,23.80,11905800
2013/2/14,23.70,23.74,23.58,23.61,20463000
2013/2/15,23.18,23.33,22.71,23.10,77051100
2013/2/18,23.18,23.33,22.71,23.10,77051100
2013/2/19,23.06,23.15,22.85,22.92,44046900
2013/2/20,22.91,23.28,22.77,23.07,35920800
2013/2/21,23.33,23.82,23.24,23.42,61239300
2013/2/22,23.41,23.51,23.30,23.47,27495600
2013/2/25,23.50,23.78,23.48,23.48,35452800
2013/2/26,23.56,23.80,23.54,23.70,31672800
2013/2/27,23.64,23.99,23.53,23.89,26457000
2013/2/28,23.86,23.96,23.59,23.59,56650800
2013/3/1,23.59,23.97,23.59,23.91,26706900
2013/3/4,23.84,24.42,23.84,24.42,31701600
2013/3/5,24.49,24.68,24.33,24.57,27426000
2013/3/6,24.58,24.71,24.42,24.46,21448800
2013/3/7,24.50,24.54,24.40,24.44,20040000
2013/3/8,24.43,24.46,24.28,24.34,17233800
2013/3/11,24.36,24.41,24.27,24.33,15446100
2013/3/12,24.32,24.63,24.28,24.53,24460200
2013/3/13,24.63,24.73,24.51,24.55,15978300
2013/3/14,24.62,24.67,24.38,24.41,19059600
2013/3/15,24.34,24.50,24.14,24.17,51585300
2013/3/18,24.10,24.24,24.00,24.08,17313000
2013/3/19,24.14,24.29,24.06,24.15,17258400
2013/3/20,24.27,24.46,24.25,24.33,18960900
2013/3/21,24.29,24.49,24.28,24.38,16520100
2013/3/22,24.45,24.76,24.43,24.76,21971400
2013/3/25,24.71,25.04,24.71,24.95,31316100
2013/3/26,24.98,25.03,24.81,24.92,19927200
2013/3/27,24.77,24.99,24.75,24.93,17910900
2013/3/28,24.95,24.99,24.79,24.94,22104900
2013/3/29,24.95,24.99,24.79,24.94,22104900
2013/4/1,25.00,25.31,24.97,25.14,25246200
2013/4/2,25.18,25.35,25.14,25.34,19928400
2013/4/3,25.44,25.56,25.24,25.33,22361700
