Open,High,Low,Close,Adj Close,Volume
238.67,240.79,237.21,237.59,236.52,"55,688,300"
234.12,239.86,234.01,239.36,238.28,"45,486,100"
230.85,240.19,230.81,238.26,237.19,"75,707,000"
224.02,232.15,223.98,229.86,228.83,"94,863,400"
224.78,225.63,221.41,222.78,221.78,"54,697,900"
224.74,227.03,222.3,223.66,222.65,"60,234,800"
219.79,224.12,219.79,223.83,222.82,"64,126,500"
224,224.42,219.38,222.64,221.64,"98,070,400"
232.12,232.29,228.48,229.98,228.94,"68,488,300"
237.35,238.01,228.03,228.26,227.23,"71,759,000"
234.64,238.96,232.43,237.87,236.8,"39,832,000"
234.75,236.12,232.47,233.28,232.23,"39,435,300"
233.53,234.67,229.72,234.4,233.34,"49,637,000"
240.01,240.16,233,236.85,235.78,"61,710,900"
241.92,243.71,240.05,242.7,241.61,"37,628,900"
242.98,245.55,241.35,242.21,241.12,"40,856,600"
244.31,247.33,243.2,245,243.9,"45,064,500"
243.36,244.18,241.89,243.36,242.26,"40,244,100"
248.93,249.1,241.82,243.85,242.75,"55,740,700"
